timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,102.7,103.0,99.88,100.3,889.522267185,2793333,0.0,1.0
1999-11-02,100.4,102.2,99.13,99.25,880.210219523,2446667,0.0,1.0
1999-11-03,99.44,101.9,98.63,101.6,901.051469053,2389333,0.0,1.0
1999-11-04,103.0,106.9,101.9,102.1,905.485777464,2826667,0.0,1.0
1999-11-05,104.5,108.2,104.5,105.4,934.752212974,3261333,0.0,1.0
1999-11-08,106.1,108.1,105.8,107.6,954.263169981,1530667,0.0,1.0
1999-11-09,109.5,109.5,106.1,107.3,951.602584935,2053333,0.0,1.0
1999-11-10,106.0,107.4,105.8,106.6,945.39455316,2257333,0.0,1.0
1999-11-11,106.8,106.8,105.1,105.9,939.186521385,1353333,0.0,1.0
1999-11-12,106.3,109.7,105.0,105.8,938.299659703,2754667,0.0,1.0
1999-11-15,105.9,106.1,103.4,104.2,924.109872789,2586667,0.0,1.0
1999-11-16,105.1,109.9,105.1,109.8,973.774126989,3972000,0.0,1.0
1999-11-17,108.5,111.2,108.3,110.3,978.208435399,3050667,0.0,1.0
1999-11-18,110.1,111.9,109.6,111.6,989.737637267,2498667,0.0,1.0
1999-11-19,111.9,111.9,108.8,109.6,972.000403624,1733333,0.0,1.0
1999-11-22,108.7,109.1,105.6,108.9,965.792371849,2017333,0.0,1.0
1999-11-23,108.7,109.2,105.3,105.5,935.639074657,2196000,0.0,1.0
1999-11-24,106.0,107.6,104.8,106.1,940.960244749,1772000,0.0,1.0
1999-11-26,107.5,107.5,104.6,105.7,937.412798021,844000,0.0,1.0
1999-11-29,104.8,104.9,102.1,102.6,909.920085875,2150667,0.0,1.0
1999-11-30,102.6,105.3,102.6,103.8,921.005856901,3056000,0.05,1.0
1999-12-01,102.6,104.7,102.5,103.4,917.456701383,1873333,0.0,1.0
1999-12-02,103.0,103.9,102.3,103.0,913.907545865,2144000,0.0,1.0
1999-12-03,104.1,106.5,103.5,104.0,922.78043466,3604000,0.0,1.0
1999-12-06,104.3,104.8,102.6,103.4,917.456701383,1522667,0.0,1.0
1999-12-07,102.9,107.6,102.3,106.1,941.413501129,3036000,0.0,1.0
1999-12-08,106.3,108.3,105.8,106.9,948.511812165,1729333,0.0,1.0
1999-12-09,108.3,110.4,107.9,110.2,977.792345188,2452000,0.0,1.0
1999-12-10,111.0,112.9,109.4,111.7,991.10167838,2300000,0.0,1.0
1999-12-13,111.8,112.4,109.8,110.9,984.003367344,1792000,0.0,1.0
1999-12-14,110.5,110.7,107.8,109.5,971.581323032,1854667,0.0,1.0
1999-12-15,108.9,109.6,107.5,108.8,965.370300875,1758667,0.0,1.0
1999-12-16,109.0,109.8,105.8,106.5,944.962656647,2602667,0.0,1.0
1999-12-17,103.5,106.0,103.1,103.5,918.343990263,4645333,0.0,1.0
1999-12-20,102.6,103.8,100.5,102.5,909.471101468,3065333,0.0,1.0
