timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,51.88,52.0,51.25,51.31,12.619964204,45200,0.0,1.0
1999-11-02,51.19,52.63,50.63,51.5,12.6666957027,69900,0.0,1.0
1999-11-03,52.0,52.5,52.0,52.5,12.9126509591,19700,0.0,1.0
1999-11-04,52.25,53.13,52.25,53.06,13.0503859026,35100,0.0,1.0
1999-11-05,53.06,55.69,53.06,55.5,13.6505167282,58800,0.0,1.0
1999-11-08,55.75,57.25,55.69,56.0,13.7734943563,39800,0.0,1.0
1999-11-09,56.06,56.06,54.81,54.88,13.4980244692,21500,0.0,1.0
1999-11-10,54.88,54.88,53.5,54.63,13.4365356551,30700,0.0,1.0
1999-11-11,54.63,55.25,54.38,54.88,13.4980244692,20100,0.0,1.0
1999-11-12,54.63,55.19,54.38,55.19,13.5742705987,15100,0.0,1.0
1999-11-15,55.25,55.25,54.0,54.0,13.2815838436,9800,0.0,1.0
1999-11-16,54.25,55.5,54.19,55.5,13.6505167282,21400,0.0,1.0
1999-11-17,55.5,55.5,54.0,54.5,13.4045614718,14200,0.0,1.0
1999-11-18,54.31,54.81,54.31,54.63,13.4365356551,11700,0.0,1.0
1999-11-19,54.38,54.38,53.88,53.88,13.2520692128,30300,0.0,1.0
1999-11-22,53.75,54.63,53.5,54.56,13.4193187872,28900,0.0,1.0
1999-11-23,54.75,56.38,54.69,55.75,13.7120055422,61100,0.0,1.0
1999-11-24,55.69,55.69,53.56,53.63,13.1905803988,27900,0.0,1.0
1999-11-26,53.69,53.69,53.5,53.63,13.1905803988,5900,0.0,1.0
1999-11-29,53.5,54.0,53.44,53.69,13.2053377141,37400,0.0,1.0
1999-11-30,53.63,54.5,53.5,54.5,13.4045614718,43100,0.0,1.0
1999-12-01,54.38,55.63,54.31,54.94,13.5127817846,88900,0.0,1.0
1999-12-02,54.81,55.25,54.63,54.63,13.4365356551,24800,0.0,1.0
1999-12-03,54.63,55.56,54.5,55.44,13.6357594128,18200,0.0,1.0
1999-12-06,55.31,56.0,55.25,55.44,13.6357594128,19500,0.0,1.0
1999-12-07,55.38,55.69,55.38,55.69,13.6972482269,8800,0.0,1.0
1999-12-08,55.69,55.94,55.69,55.88,13.7439797256,21600,0.0,1.0
1999-12-09,55.88,55.88,54.31,54.31,13.3578299731,29100,0.0,1.0
1999-12-10,54.38,54.38,53.63,54.38,13.375046841,20700,0.0,1.0
1999-12-13,54.25,54.25,53.0,53.5,13.1586062154,17800,0.0,1.0
1999-12-14,53.63,54.25,53.63,54.06,13.296341159,48000,0.0,1.0
1999-12-15,54.06,56.13,54.0,55.94,13.758737041,88500,0.0,1.0
1999-12-16,55.88,58.06,55.81,57.5,14.1424272409,30000,0.0,1.0
1999-12-17,58.0,60.12,58.0,59.62,14.6638523844,68000,0.0,1.0
1999-12-20,59.69,59.69,58.81,59.0,14.5113601254,28800,0.0,1.0
1999-12-21,59.0,60.38,58.69,60.38,14.8507783792,52100,0.0,1.0
