timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,19.31,19.44,18.56,18.94,15.9620108884,577800,0.0,1.0
1999-11-02,19.0,20.06,19.0,19.38,16.3328284592,942200,0.0,1.0
1999-11-03,19.5,20.0,19.44,19.75,16.6446523256,1599200,0.0,1.0
1999-11-04,20.25,20.38,19.75,19.94,16.8047780948,758700,0.0,1.0
1999-11-05,20.13,20.81,20.13,20.75,17.4874195319,2583300,0.0,1.0
1999-11-08,20.75,21.19,20.69,21.06,17.7486773659,2423200,0.0,1.0
1999-11-09,22.5,22.88,22.0,22.88,19.2825136815,1695300,0.0,1.0
1999-11-10,22.25,23.31,22.25,23.31,19.6449035802,1090300,0.0,1.0
1999-11-11,23.5,23.94,23.13,23.81,20.0662871834,1733800,0.0,1.0
1999-11-12,24.0,24.0,23.06,23.5,19.8050293494,907200,0.0,1.0
1999-11-15,23.75,24.81,23.5,24.5,20.6477965558,1352100,0.0,1.0
1999-11-16,24.5,25.5,24.38,25.5,21.4905637621,1243800,0.0,1.0
1999-11-17,25.31,26.31,25.19,25.63,21.6001234989,913700,0.0,1.0
1999-11-18,25.94,27.25,25.81,27.06,22.805280604,2400200,0.0,1.0
1999-11-19,27.19,27.25,26.63,26.88,22.6535825069,1112400,0.0,1.0
1999-11-22,27.06,27.06,26.69,26.88,22.6535825069,404000,0.0,1.0
1999-11-23,26.88,26.88,25.25,25.94,21.8613813329,798100,0.0,1.0
1999-11-24,25.81,26.19,24.25,25.88,21.8108153005,882800,0.0,1.0
1999-11-26,26.13,26.38,26.0,26.25,22.1226391669,214400,0.0,1.0
1999-11-29,27.0,27.0,26.13,26.56,22.3838970009,686800,0.0,1.0
1999-11-30,26.56,26.69,26.0,26.13,22.0215071021,1074500,0.0,1.0
1999-12-01,26.06,26.5,25.69,26.38,22.2321989037,745300,0.0,1.0
1999-12-02,26.38,27.38,26.38,26.5,22.3333309685,1298700,0.0,1.0
1999-12-03,27.0,27.63,26.75,27.13,22.8642743085,519500,0.0,1.0
1999-12-06,27.38,27.88,26.75,27.0,22.7547145717,843400,0.0,1.0
1999-12-07,27.0,27.5,27.0,27.5,23.1760981748,1084500,0.0,1.0
1999-12-08,27.5,28.0,27.31,28.0,23.597481778,1556100,0.0,1.0
1999-12-09,28.0,28.88,28.0,28.75,24.2295571828,2774700,0.0,1.0
1999-12-10,29.0,29.25,28.75,29.0,24.4402489844,987900,0.0,1.0
1999-12-13,28.88,28.88,28.38,28.69,24.1789911504,577600,0.0,1.0
1999-12-14,28.75,29.19,27.75,27.75,23.3867899764,977600,0.0,1.0
1999-12-15,29.38,31.38,29.25,30.81,25.9656576279,2975500,0.0,1.0
1999-12-16,31.0,31.25,29.75,30.19,25.4431419599,1272800,0.0,1.0
1999-12-17,30.56,32.0,30.38,31.75,26.7578588019,1142800,0.0,1.0
1999-12-20,31.88,33.25,31.75,31.94,26.9179845711,1343600,0.0,1.0
1999-12-21,31.81,31.81,29.75,30.63,25.8139595307,363900,0.0,1.0
1999-12-22,30.56,30.94,30.06,30.19,25.4431419599,374700,0.0,1.0
1999-12-23,30.38,30.69,29.19,30.69,25.8645255631,350800,0.0,1.0
