timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,59.88,60.25,58.5,59.5,1.68338252002,58400,0.0,1.0
1999-11-02,59.5,60.75,59.0,60.25,1.70460162742,60600,0.0,1.0
1999-11-03,60.38,61.25,59.5,59.75,1.69045555582,40000,0.0,1.0
1999-11-04,60.25,63.5,60.25,61.06,1.7275182634,100000,0.0,1.0
1999-11-05,61.0,62.0,61.0,61.56,1.741664335,41600,0.0,1.0
1999-11-08,61.38,63.0,61.0,62.56,1.7699564782,53000,0.0,1.0
1999-11-09,62.56,63.69,62.56,63.69,1.8019266,35800,0.0,1.0
1999-11-10,63.25,64.5,63.25,64.25,1.81777020019,44600,0.0,1.0
1999-11-11,64.25,64.44,64.0,64.31,1.81946772878,21200,0.0,1.0
1999-11-12,64.38,64.38,63.63,64.0,1.81069716439,55000,0.0,1.0
1999-11-15,64.0,69.25,64.0,68.0,1.92386573717,161200,0.0,1.0
1999-11-16,67.94,68.0,67.63,67.75,1.91679270137,11200,0.0,1.0
1999-11-17,67.69,67.75,67.69,67.75,1.91679270137,28800,0.0,1.0
1999-11-18,67.5,69.5,66.5,68.0,1.92386573717,345800,0.0,1.0
1999-11-19,68.0,68.0,66.5,66.5,1.88142752238,29200,0.0,1.0
1999-11-22,66.25,68.25,66.25,67.75,1.91679270137,36400,0.0,1.0
1999-11-23,67.63,68.44,67.0,67.88,1.92047067999,57400,0.0,1.0
1999-11-24,67.88,67.88,66.63,66.63,1.88510550099,36400,0.0,1.0
1999-11-26,66.63,66.63,65.69,66.13,1.8709594294,12600,0.0,1.0
1999-11-29,66.13,67.75,65.88,67.5,1.90971966557,58200,0.0,1.0
1999-11-30,67.5,68.5,67.5,68.31,1.93263630156,39000,0.0,1.0
1999-12-01,68.19,68.19,67.75,68.0,1.92386573717,34000,0.0,1.0
1999-12-02,68.0,68.5,68.0,68.19,1.92924124438,27200,0.0,1.0
1999-12-03,68.19,68.81,68.0,68.38,1.93461675158,29600,0.0,1.0
1999-12-06,68.5,69.0,68.5,68.75,1.94508484456,24800,0.0,1.0
1999-12-07,69.0,70.25,69.0,69.56,1.96800148055,123600,0.0,1.0
1999-12-08,70.0,71.5,69.56,69.63,1.96998193057,5515000,0.0,1.0
1999-12-09,69.56,69.56,63.5,63.5,1.7965510928,967600,0.0,1.0
1999-12-10,66.5,67.38,64.0,66.0,1.86728145078,1395000,0.0,1.0
1999-12-13,66.0,66.5,63.88,65.25,1.84606234339,265000,0.0,1.0
1999-12-14,65.25,65.38,64.88,65.0,1.83898930759,898800,0.0,1.0
1999-12-15,65.0,66.38,64.5,65.0,1.83898930759,573800,0.0,1.0
1999-12-16,65.13,65.13,64.13,64.5,1.82484323599,120200,0.0,1.0
1999-12-17,65.44,66.44,65.25,65.44,1.85143785059,266400,0.0,1.0
1999-12-20,65.19,66.0,64.31,65.13,1.8426672862,174400,0.0,1.0
1999-12-21,66.25,66.5,65.0,65.31,1.84775987198,135800,0.0,1.0
1999-12-22,65.38,65.63,64.94,65.13,1.8426672862,48400,0.0,1.0
1999-12-23,65.38,66.25,64.81,66.0,1.86728145078,244000,0.0,1.0
1999-12-27,66.25,66.25,65.25,65.63,1.8568133578,179000,0.0,1.0
1999-12-28,65.75,66.56,65.63,66.56,1.88312505097,85000,0.0,1.0
1999-12-29,66.56,67.13,66.19,66.5,1.88142752238,59800,0.0,1.0
1999-12-30,66.75,66.94,66.13,66.13,1.8709594294,49400,0.0,1.0
1999-12-31,66.38,66.88,65.81,66.56,1.88312505097,65400,0.0,1.0
2000-01-03,67.44,67.75,66.62,67.25,1.90264662977,131300,0.0,1.0
2000-01-04,66.88,66.94,64.75,64.94,1.837291779,210200,0.0,1.0
2000-01-05,64.69,64.69,62.06,62.44,1.76656142101,227800,0.0,1.0
2000-01-06,63.25,63.25,61.56,61.75,1.74703984221,97600,0.0,1.0
2000-01-07,62.0,62.38,60.63,62.38,1.76486389242,226400,0.0,1.0
2000-01-10,62.5,65.5,62.5,65.31,1.84775987198,95400,0.0,1.0
2000-01-11,65.38,67.13,65.38,66.88,1.89217853679,155200,0.0,1.0
2000-01-12,67.75,78.0,67.75,76.13,2.15388086133,1630400,0.0,1.0
2000-01-13,76.38,77.81,74.0,75.13,2.12558871814,345600,0.0,1.0
2000-01-14,75.0,78.0,75.0,76.69,2.16972446152,144000,0.0,1.0
2000-01-18,78.81,81.0,78.38,78.75,2.2280062765,320200,0.0,1.0
2000-01-19,78.5,80.0,76.63,78.0,2.20678716911,239800,0.0,1.0
2000-01-20,79.25,80.88,77.5,77.56,2.1943386261,195400,0.0,1.0
2000-01-21,77.56,78.0,74.5,74.56,2.10946219652,147600,0.0,1.0
2000-01-24,74.81,77.25,73.0,74.0,2.09361859633,187600,0.0,1.0
2000-01-25,74.0,74.0,71.13,71.94,2.03533678135,101600,0.0,1.0
2000-01-26,71.94,73.56,70.0,73.0,2.06532645314,168000,0.0,1.0
2000-01-27,73.25,74.44,71.69,71.94,2.03533678135,137600,0.0,1.0
2000-01-28,71.94,72.56,68.38,68.56,1.93970933736,69000,0.0,1.0
2000-01-31,68.56,69.5,66.81,67.88,1.92047067999,168000,0.0,1.0
2000-02-01,67.88,68.19,66.88,67.44,1.90802213698,101600,0.0,1.0
2000-02-02,67.44,70.5,67.44,68.88,1.94876282318,88800,0.0,1.0
2000-02-03,69.5,69.69,68.94,69.19,1.95753338757,90600,0.0,1.0
2000-02-04,70.19,70.19,69.38,70.19,1.98582553076,57800,0.0,1.0
2000-02-07,69.5,70.06,68.75,69.06,1.95385540895,50800,0.0,1.0
2000-02-08,69.75,71.5,69.75,69.75,1.97337698776,129000,0.0,1.0
2000-02-09,69.81,69.81,67.5,67.69,1.91509517278,72800,0.0,1.0
2000-02-10,67.88,68.0,66.31,66.69,1.88680302958,58200,0.0,1.0
2000-02-11,66.75,67.38,65.5,66.25,1.87435448658,86000,0.0,1.0
2000-02-14,66.25,82.0,65.94,81.94,2.31825821329,1514000,0.0,1.0
2000-02-15,81.75,81.75,73.63,75.13,2.12558871814,510400,0.0,1.0
2000-02-16,75.19,78.38,75.19,78.0,2.20678716911,307600,0.0,1.0
2000-02-17,77.13,77.38,75.13,75.81,2.14482737551,126800,0.0,1.0
2000-02-18,75.94,76.0,71.88,72.69,2.05655588875,133200,0.0,1.0
2000-02-22,71.69,72.0,69.19,71.31,2.01751273114,188600,0.0,1.0
2000-02-23,71.81,72.75,68.5,72.5,2.05118038154,181800,0.0,1.0
2000-02-24,72.75,74.75,72.63,73.94,2.09192106774,155600,0.0,1.0
2000-02-25,74.0,76.63,73.44,73.94,2.09192106774,228800,0.0,1.0
2000-02-28,74.25,75.0,73.06,75.0,2.12191073952,245600,0.0,1.0
2000-02-29,75.0,81.25,75.0,79.94,2.2616739269,251000,0.0,1.0
2000-03-01,80.0,85.5,79.56,85.5,2.41897824306,262200,0.0,1.0
2000-03-02,85.25,85.25,81.38,82.25,2.32702877768,231400,0.0,1.0
2000-03-03,83.0,84.5,82.0,82.06,2.32165327047,91800,0.0,1.0
2000-03-06,82.13,83.88,81.63,82.5,2.33410181348,226600,0.0,1.0
2000-03-07,82.5,83.13,78.0,78.56,2.22263076929,96200,0.0,1.0
2000-03-08,77.5,78.06,73.38,76.13,2.15388086133,183000,0.0,1.0
2000-03-09,75.88,77.25,75.25,76.88,2.17509996873,77800,0.0,1.0
2000-03-10,84.75,88.0,83.63,86.13,2.43680229327,801000,0.0,1.0
2000-03-13,83.75,85.25,82.38,83.25,2.35532092087,188400,0.0,1.0
2000-03-14,83.88,85.5,80.31,80.75,2.28459056289,160600,0.0,1.0
2000-03-15,86.0,89.94,83.25,86.13,2.43680229327,770200,0.0,1.0
2000-03-16,86.63,88.75,85.19,88.38,2.50045961546,205200,0.0,1.0
2000-03-17,87.75,95.0,87.0,94.94,2.68605607481,428000,0.0,1.0
2000-03-20,94.94,95.5,92.75,93.06,2.6328668456,285000,0.0,1.0
2000-03-21,92.81,94.0,91.31,92.75,2.62409628121,248200,0.0,1.0
2000-03-22,93.0,94.5,93.0,93.81,2.654085953,91600,0.0,1.0
2000-03-23,94.0,98.38,94.0,98.13,2.77630801159,164000,0.0,1.0
2000-03-24,97.88,103.75,96.5,96.5,2.73019181819,209400,0.0,1.0
2000-03-27,95.5,104.3,95.13,103.3,2.9225783919,294800,0.0,1.0
2000-03-28,103.1,103.1,99.13,99.88,2.82581926218,161000,0.0,1.0
2000-03-29,100.8,102.6,96.25,96.38,2.726796761,199600,0.0,1.0
2000-03-30,96.25,97.56,95.38,96.38,2.726796761,272600,0.0,1.0
2000-03-31,97.25,102.7,96.81,102.3,2.89428624871,285600,0.0,1.0
2000-04-03,101.8,101.8,100.3,100.7,2.8490188196,264000,0.0,1.0
2000-04-04,100.1,102.0,90.5,101.0,2.85750646256,411400,0.0,1.0
