timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,28.88,29.13,28.38,29.13,13.6409794511,19500,0.0,1.0
1999-11-02,29.06,29.56,29.06,29.5,13.8142428358,20100,0.0,1.0
1999-11-03,29.63,30.38,29.63,30.38,14.2263287238,24000,0.0,1.0
1999-11-04,30.25,30.44,29.88,30.0,14.0483825449,19900,0.0,1.0
1999-11-05,30.19,30.5,29.69,29.88,13.9921890147,12200,0.0,1.0
1999-11-08,29.94,30.13,29.94,30.0,14.0483825449,6900,0.0,1.0
1999-11-09,30.0,30.0,29.63,29.94,14.0202857798,9600,0.0,1.0
1999-11-10,29.81,30.0,29.56,29.56,13.8423396009,25300,0.0,1.0
1999-11-11,29.69,29.94,29.5,29.63,13.8751191602,8600,0.0,1.0
1999-11-12,29.63,30.0,29.56,30.0,14.0483825449,11200,0.0,1.0
1999-11-15,29.94,30.0,29.5,29.75,13.9313126903,10900,0.0,1.0
1999-11-16,29.81,29.94,29.63,29.63,13.8751191602,9800,0.0,1.0
1999-11-17,29.56,29.69,29.5,29.63,13.8751191602,11800,0.0,1.0
1999-11-18,29.69,29.94,29.31,29.94,14.0202857798,76800,0.0,1.0
1999-11-19,30.25,30.25,29.63,29.88,13.9921890147,41000,0.0,1.0
1999-11-22,30.13,30.25,29.94,30.0,14.0483825449,65100,0.0,1.0
1999-11-23,30.06,30.06,29.63,29.81,13.9594094554,105900,0.0,1.0
1999-11-24,29.81,29.94,29.44,29.5,13.8142428358,21700,0.0,1.0
1999-11-26,29.63,29.69,29.25,29.25,13.6971729813,12000,0.0,1.0
1999-11-29,29.13,29.25,28.88,29.0,13.5801031267,15200,0.0,1.0
1999-11-30,28.94,29.56,28.75,29.31,13.7252697463,21900,0.0,1.0
1999-12-01,29.31,29.81,29.31,29.56,13.8423396009,56000,0.0,1.0
1999-12-02,29.69,29.81,29.25,29.44,13.7861460707,60000,0.0,1.0
1999-12-03,29.56,29.69,29.31,29.31,13.7252697463,16100,0.0,1.0
1999-12-06,29.38,29.5,29.0,29.06,13.6081998918,104400,0.0,1.0
1999-12-07,29.13,29.19,29.06,29.13,13.6409794511,12100,0.0,1.0
1999-12-08,29.25,29.63,29.19,29.63,13.8751191602,43700,0.0,1.0
1999-12-09,29.5,29.5,29.19,29.31,13.7252697463,3900,0.0,1.0
1999-12-10,29.56,29.69,29.13,29.13,13.6409794511,26400,0.0,1.0
1999-12-13,29.38,29.5,28.81,28.81,13.4911300373,12000,0.0,1.0
1999-12-14,28.94,28.94,28.44,28.56,13.3740601827,5700,0.0,1.0
1999-12-15,28.69,28.75,28.56,28.69,13.4349365071,7900,0.0,1.0
1999-12-16,28.81,28.81,28.0,28.25,13.2288935631,28900,0.0,1.0
1999-12-17,27.88,29.0,27.88,29.0,13.5801031267,43400,0.0,1.0
1999-12-20,29.06,29.13,28.69,28.69,13.4349365071,11000,0.0,1.0
1999-12-21,28.81,29.0,28.56,28.69,13.4349365071,91800,0.0,1.0
1999-12-22,28.88,29.19,28.81,29.0,13.5801031267,50200,0.0,1.0
1999-12-23,29.13,29.13,28.63,28.88,13.5239095965,20400,0.0,1.0
1999-12-27,29.0,29.13,28.88,29.13,13.6409794511,6300,0.0,1.0
