timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,62.63,62.69,60.94,60.94,35.0014163054,322100,0.0,1.0
1999-11-02,60.94,61.94,60.5,60.94,35.0014163054,385700,0.0,1.0
1999-11-03,60.69,62.44,60.38,61.69,35.432185295,173000,0.0,1.0
1999-11-04,62.06,62.88,60.94,61.13,35.1105444494,254100,0.0,1.0
1999-11-05,60.88,63.88,60.88,62.81,36.0754669862,210100,0.0,1.0
1999-11-08,62.69,63.44,62.38,62.75,36.0410054671,269500,0.0,1.0
1999-11-09,62.69,62.69,61.25,61.56,35.3575186702,224600,0.0,1.0
1999-11-10,61.5,61.75,60.5,61.13,35.1105444494,234600,0.0,1.0
1999-11-11,61.88,62.44,61.38,62.31,35.7882876598,142400,0.0,1.0
1999-11-12,62.31,62.44,61.5,62.44,35.8629542847,136100,0.0,1.0
1999-11-15,62.19,62.94,61.19,62.63,35.9720824287,118900,0.0,1.0
1999-11-16,62.88,63.44,61.81,62.0,35.6102364774,493100,0.0,1.0
1999-11-17,61.75,62.13,60.69,62.0,35.6102364774,376700,0.0,1.0
1999-11-18,62.06,63.38,61.69,63.19,36.2937232743,244200,0.0,1.0
1999-11-19,62.19,62.19,61.06,61.75,35.4666468142,263500,0.0,1.0
1999-11-22,61.63,61.94,60.69,60.69,34.8578266422,207200,0.0,1.0
1999-11-23,60.63,60.88,60.13,60.25,34.6051088349,166100,0.0,1.0
1999-11-24,59.75,59.75,59.06,59.75,34.3179295085,343100,0.0,1.0
1999-11-26,59.88,59.88,59.56,59.63,34.2490064701,142800,0.0,1.0
1999-11-29,59.25,59.31,58.88,59.0,34.0422373551,315900,0.27,1.0
1999-11-30,58.5,61.06,58.5,59.38,34.2614924432,494000,0.0,1.0
1999-12-01,59.38,59.38,58.38,58.81,33.9326098111,181400,0.0,1.0
1999-12-02,58.56,59.75,58.56,59.31,34.221103348,204100,0.0,1.0
1999-12-03,59.38,59.88,59.19,59.5,34.330730892,241800,0.0,1.0
1999-12-06,59.56,59.56,58.81,58.94,34.0076181307,238000,0.0,1.0
1999-12-07,59.19,59.69,58.0,58.75,33.8979905866,257700,0.0,1.0
1999-12-08,58.63,59.56,58.56,58.75,33.8979905866,149400,0.0,1.0
1999-12-09,59.13,59.81,58.81,59.38,34.2614924432,285900,0.0,1.0
1999-12-10,59.63,61.69,59.44,61.69,35.5943325837,305700,0.0,1.0
1999-12-13,61.94,61.94,60.94,61.56,35.5193242641,365600,0.0,1.0
1999-12-14,61.38,62.88,61.38,62.69,36.1713196575,309600,0.0,1.0
1999-12-15,62.69,64.88,62.69,63.81,36.8175451802,625500,0.0,1.0
1999-12-16,64.19,65.25,63.38,64.94,37.4695405736,513700,0.0,1.0
1999-12-17,66.25,68.94,66.0,67.88,39.1658825706,647100,0.0,1.0
1999-12-20,67.75,69.5,67.0,67.81,39.1254934754,428100,0.0,1.0
1999-12-21,68.0,68.75,67.88,67.94,39.200501795,497300,0.0,1.0
1999-12-22,68.0,69.06,67.94,68.75,39.6678613248,278100,0.0,1.0
