timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,55.31,55.5,50.0,51.56,15.5306330137,2910267,0.0,1.0
1999-11-02,51.63,53.81,50.19,50.88,15.325806977,4395600,0.0,1.0
1999-11-03,51.94,53.31,51.0,51.63,15.5517180469,2474978,0.0,1.0
1999-11-04,53.94,54.31,51.69,52.0,15.663167508,2052444,0.0,1.0
1999-11-05,54.25,54.5,50.0,50.63,15.2505032871,3824000,0.0,1.0
1999-11-08,50.0,50.44,47.13,49.0,14.7595232287,4679778,0.0,1.0
1999-11-09,48.0,49.63,45.88,48.5,14.6089158488,3498400,0.0,1.0
1999-11-10,48.5,49.56,48.0,48.5,14.6089158488,1523867,0.0,1.0
1999-11-11,49.13,54.44,49.06,54.38,16.3800586362,5191867,0.0,1.0
1999-11-12,54.56,55.25,50.88,52.75,15.8890785778,2138000,0.0,1.0
1999-11-15,52.69,53.44,52.06,52.06,15.6812403936,1246844,0.0,1.0
1999-11-16,52.88,53.94,51.25,52.38,15.7776291167,1356578,0.0,1.0
1999-11-17,52.5,53.63,50.94,51.13,15.401110667,1295778,0.0,1.0
1999-11-18,51.0,51.81,49.5,49.75,14.9854342985,2056667,0.0,1.0
1999-11-19,49.63,50.56,49.0,50.25,15.1360416784,1872044,0.0,1.0
1999-11-22,50.75,52.13,50.13,51.5,15.5125601281,1795378,0.0,1.0
1999-11-23,52.0,56.44,51.94,53.94,16.2475241419,4222267,0.0,1.0
1999-11-24,55.5,56.0,53.56,55.56,16.7354920528,2317644,0.0,1.0
1999-11-26,56.0,58.94,55.88,57.88,17.4343102954,1633200,0.0,1.0
1999-11-29,61.94,67.0,61.75,66.63,20.0699394434,5910400,0.0,1.0
1999-11-30,65.88,65.88,62.25,62.5,18.8259224856,3078178,0.0,1.0
1999-12-01,63.0,66.56,62.75,66.5,20.0307815246,2560667,0.0,1.0
1999-12-02,61.25,62.81,60.0,62.0,18.6753151057,5758444,0.0,1.0
1999-12-03,60.88,63.25,56.25,56.5,17.0186339269,4892178,0.0,1.0
