timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,41.0,41.31,40.38,40.5,25.2731520757,3057800,0.0,1.0
1999-11-02,39.94,40.75,39.56,39.75,24.8051307409,3452800,0.0,1.0
1999-11-03,39.81,39.94,39.38,39.69,24.7676890342,2250400,0.0,1.0
1999-11-04,40.0,40.81,40.0,40.75,25.4291591873,1493300,0.0,1.0
1999-11-05,41.88,42.06,40.75,40.88,25.5102828853,1780100,0.0,1.0
1999-11-08,41.25,42.38,41.19,42.13,26.2903184432,1620100,0.0,1.0
1999-11-09,42.38,42.38,40.81,40.94,25.5477245921,1243200,0.0,1.0
1999-11-10,40.88,42.31,40.75,42.31,26.4026435635,2245200,0.0,1.0
1999-11-11,42.25,42.88,41.75,42.31,26.4026435635,1580200,0.0,1.0
1999-11-12,42.63,44.94,42.56,44.5,27.7692658609,1951300,0.0,1.0
1999-11-15,44.94,45.06,44.06,44.81,27.9627146793,1444100,0.0,1.0
1999-11-16,44.81,45.19,43.75,44.31,27.6507004561,1568500,0.0,1.0
1999-11-17,44.0,44.19,42.88,42.88,26.7583397779,1708400,0.0,1.0
1999-11-18,43.5,43.5,42.25,42.63,26.6023326663,1638300,0.0,1.0
1999-11-19,42.38,42.94,42.25,42.31,26.4026435635,1149300,0.0,1.0
1999-11-22,42.31,42.31,41.25,41.56,25.9346222288,1409800,0.0,1.0
1999-11-23,41.13,41.38,40.5,40.63,25.3542757737,1415900,0.0,1.0
1999-11-24,40.81,41.25,40.44,40.75,25.4291591873,892500,0.0,1.0
1999-11-26,40.75,41.75,40.63,41.44,25.8597388152,471200,0.0,1.0
1999-11-29,41.44,41.44,39.69,39.81,24.8425724477,1785300,0.0,1.0
1999-11-30,39.81,40.88,39.75,39.94,24.9236961457,1762900,0.0,1.0
1999-12-01,39.75,40.25,39.44,39.5,24.6491236294,2543300,0.0,1.0
1999-12-02,39.38,39.94,38.94,39.94,24.9236961457,2837200,0.0,1.0
1999-12-03,40.0,41.69,40.0,41.31,25.7786151172,2027600,0.0,1.0
1999-12-06,40.5,40.56,38.13,38.13,23.7942046579,3289200,0.0,1.0
1999-12-07,38.0,38.0,36.38,36.38,22.7021548769,3836300,0.0,1.0
1999-12-08,36.63,37.19,36.0,36.0,22.4650240673,2330000,0.0,1.0
1999-12-09,36.31,37.56,36.31,37.56,23.4385084435,1392600,0.0,1.0
1999-12-10,40.25,41.5,39.19,41.5,25.897180522,3713000,0.0,1.0
1999-12-13,40.88,41.0,40.31,40.73,25.4166786183,1468700,0.0,1.0
1999-12-14,40.19,40.56,39.69,40.13,25.0422615505,2394100,0.0,1.0
1999-12-15,40.19,40.94,39.56,40.0,24.9611378525,2258300,0.0,1.0
1999-12-16,40.13,40.5,38.38,39.13,24.4182331042,2425100,0.0,1.0
1999-12-17,39.25,39.81,38.5,39.25,24.4931165178,2499000,0.0,1.0
1999-12-20,39.13,39.88,38.88,39.19,24.455674811,1284600,0.0,1.0
1999-12-21,39.0,40.13,38.88,38.88,24.2622259927,1631700,0.0,1.0
1999-12-22,39.0,39.13,38.63,38.69,24.1436605879,990900,0.0,1.0
1999-12-23,39.31,39.88,39.19,39.69,24.7676890342,664500,0.0,1.0
1999-12-27,39.88,40.19,38.5,38.56,24.0625368898,1342400,0.0,1.0
1999-12-28,38.75,39.13,38.0,38.38,23.9502117695,1158400,0.0,1.0
1999-12-29,38.31,39.63,38.13,39.5,24.6491236294,877200,0.0,1.0
1999-12-30,39.88,40.69,39.5,40.5,25.2731520757,969200,0.0,1.0
