timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,29.94,30.13,29.75,29.94,11.3824837936,281400,0.0,1.0
1999-11-02,29.94,30.5,29.88,30.44,11.5725720333,309900,0.0,1.0
1999-11-03,30.5,30.69,30.38,30.63,11.6448055644,239500,0.0,1.0
1999-11-04,30.75,30.88,30.5,30.56,11.6181932109,167700,0.0,1.0
1999-11-05,30.5,30.69,30.0,30.25,11.5003385022,132800,0.0,1.0
1999-11-08,30.0,30.0,29.31,29.5,11.2152061427,285100,0.0,1.0
1999-11-09,29.5,29.63,29.31,29.31,11.1429726116,189100,0.0,1.0
1999-11-10,29.31,29.31,28.69,28.75,10.9300737831,1277000,0.0,1.0
1999-11-11,28.75,28.94,28.63,28.75,10.9300737831,94500,0.0,1.0
1999-11-12,28.88,28.88,28.56,28.63,10.8844526056,119800,0.0,1.0
1999-11-15,28.75,28.81,28.13,28.19,10.7171749547,193700,0.0,1.0
1999-11-16,28.25,28.44,28.19,28.38,10.7894084857,137200,0.0,1.0
1999-11-17,28.31,28.75,28.25,28.63,10.8844526056,189600,0.0,1.0
1999-11-18,28.5,28.81,28.44,28.5,10.8350296633,137000,0.0,1.0
1999-11-19,28.56,28.56,28.0,28.31,10.7627961322,168000,0.0,1.0
1999-11-22,28.44,28.5,27.88,28.0,10.6449414236,610800,0.0,1.0
1999-11-23,28.0,28.0,27.5,27.63,10.5042761262,142200,0.0,1.0
1999-11-24,27.75,28.31,27.75,28.25,10.7399855434,230400,0.0,1.0
1999-11-26,28.13,28.19,28.0,28.06,10.6677520123,17400,0.0,1.0
1999-11-29,28.25,28.38,28.06,28.25,10.7399855434,137600,0.0,1.0
1999-11-30,28.13,28.5,28.13,28.31,10.7627961322,124600,0.0,1.0
1999-12-01,28.5,29.0,28.5,29.0,11.025117903,255600,0.0,1.0
1999-12-02,29.0,29.06,28.81,29.06,11.0479284917,266200,0.0,1.0
1999-12-03,29.13,29.88,29.13,29.75,11.3102502625,280700,0.0,1.0
1999-12-06,29.75,30.13,29.69,29.75,11.3102502625,245800,0.0,1.0
1999-12-07,29.56,29.75,29.44,29.5,11.2152061427,239300,0.0,1.0
1999-12-08,29.38,29.5,29.0,29.31,11.1429726116,167900,0.0,1.0
1999-12-09,29.31,29.44,29.0,29.38,11.1695849652,161300,0.0,1.0
1999-12-10,29.25,29.5,29.13,29.25,11.1201620228,178800,0.0,1.0
1999-12-13,29.06,29.13,28.63,28.75,10.9300737831,210200,0.0,1.0
1999-12-14,28.5,28.75,27.25,27.63,10.5042761262,495100,0.0,1.0
1999-12-15,27.69,27.75,27.31,27.5,10.4548531839,202400,0.0,1.0
1999-12-16,27.75,27.81,27.56,27.69,10.5270867149,100000,0.0,1.0
1999-12-17,29.38,29.38,29.38,29.38,11.1695849652,258400,0.0,1.0
1999-12-20,29.13,30.13,29.13,29.81,11.3330608513,195000,0.0,1.0
1999-12-21,29.75,29.88,29.63,29.88,11.3596732049,131600,0.0,1.0
1999-12-22,29.81,29.88,29.56,29.69,11.2874396738,132400,0.0,1.0
1999-12-23,29.75,30.31,29.69,30.31,11.523149091,88800,0.0,1.0
1999-12-27,30.31,30.63,30.06,30.13,11.4547173247,68600,0.0,1.0
1999-12-28,30.25,31.0,30.13,30.75,11.8615061577,130900,0.45,1.0
1999-12-29,30.81,31.31,30.44,31.13,12.008087372,72700,0.0,1.0
1999-12-30,31.38,31.44,30.88,31.13,12.008087372,53900,0.0,1.0
1999-12-31,30.88,31.31,30.75,31.13,12.008087372,65700,0.0,1.0
2000-01-03,31.12,31.12,30.5,30.69,11.8383617554,59900,0.0,1.0
2000-01-04,30.69,30.75,30.13,30.19,11.6454917366,95800,0.0,1.0
2000-01-05,30.31,30.44,30.13,30.38,11.7187823438,101000,0.0,1.0
2000-01-06,30.56,31.13,30.31,31.0,11.9579411671,143100,0.0,1.0
2000-01-07,30.94,32.25,30.94,32.13,12.3938274096,139000,0.0,1.0
2000-01-10,32.13,32.44,31.94,32.38,12.4902624191,189100,0.0,1.0
2000-01-11,32.38,32.44,31.88,32.06,12.366825607,85300,0.0,1.0
2000-01-12,32.19,32.19,31.44,31.56,12.1739555882,61100,0.0,1.0
2000-01-13,31.56,31.81,31.5,31.75,12.2472461953,40800,0.0,1.0
2000-01-14,31.63,31.88,31.25,31.56,12.1739555882,64400,0.0,1.0
2000-01-18,31.63,31.63,31.13,31.25,12.0543761765,73000,0.0,1.0
2000-01-19,31.13,31.38,31.0,31.25,12.0543761765,100500,0.0,1.0
2000-01-20,31.06,31.31,30.81,30.88,11.9116523626,158700,0.0,1.0
2000-01-21,30.88,31.0,30.25,30.56,11.7882155505,272300,0.0,1.0
2000-01-24,30.75,31.0,30.44,30.44,11.741926746,117100,0.0,1.0
2000-01-25,30.69,30.75,30.44,30.56,11.7882155505,135300,0.0,1.0
2000-01-26,30.5,31.0,30.5,30.69,11.8383617554,119700,0.0,1.0
2000-01-27,30.63,30.69,30.5,30.56,11.7882155505,118600,0.0,1.0
2000-01-28,30.56,30.69,30.13,30.44,11.741926746,228200,0.0,1.0
2000-01-31,30.5,30.5,30.0,30.0,11.5722011294,127900,0.0,1.0
2000-02-01,30.13,30.44,29.0,29.81,11.4989105223,2240200,0.0,1.0
2000-02-02,30.13,30.13,29.75,29.94,11.5490567272,428800,0.0,1.0
2000-02-03,30.0,30.25,29.94,30.19,11.6454917366,149400,0.0,1.0
2000-02-04,29.94,30.56,29.88,29.94,11.5490567272,506300,0.0,1.0
2000-02-07,29.88,30.19,29.63,30.0,11.5722011294,105800,0.0,1.0
2000-02-08,30.0,30.56,29.94,30.56,11.7882155505,76500,0.0,1.0
2000-02-09,30.31,30.94,30.31,30.56,11.7882155505,91700,0.0,1.0
2000-02-10,30.44,30.56,30.25,30.31,11.6917805411,68600,0.0,1.0
2000-02-11,30.44,30.63,29.94,30.06,11.5953455317,84900,0.0,1.0
2000-02-14,30.13,30.31,30.0,30.13,11.6223473343,124600,0.0,1.0
2000-02-15,30.38,30.38,29.94,30.0,11.5722011294,153100,0.0,1.0
2000-02-16,30.0,30.19,30.0,30.19,11.6454917366,102300,0.0,1.0
2000-02-17,30.25,30.63,30.25,30.5,11.7650711483,144900,0.0,1.0
2000-02-18,30.25,30.44,29.88,30.13,11.6223473343,80000,0.0,1.0
2000-02-22,29.94,30.19,29.88,30.06,11.5953455317,93400,0.0,1.0
2000-02-23,30.19,30.38,30.0,30.38,11.7187823438,73300,0.0,1.0
2000-02-24,30.38,30.5,30.38,30.44,11.741926746,45500,0.0,1.0
2000-02-25,30.5,30.63,30.38,30.5,11.7650711483,113900,0.0,1.0
2000-02-28,30.5,30.5,30.31,30.38,11.7187823438,83000,0.0,1.0
2000-02-29,30.5,30.56,30.31,30.31,11.6917805411,105900,0.0,1.0
2000-03-01,30.5,30.5,30.31,30.38,11.7187823438,84800,0.0,1.0
2000-03-02,30.31,30.5,30.31,30.38,11.7187823438,64200,0.0,1.0
2000-03-03,30.38,30.5,30.38,30.38,11.7187823438,160000,0.0,1.0
2000-03-06,30.31,30.5,30.25,30.31,11.6917805411,60600,0.0,1.0
2000-03-07,30.13,30.31,29.56,29.88,11.5259123249,97100,0.0,1.0
2000-03-08,29.69,30.13,29.69,30.0,11.5722011294,49100,0.0,1.0
2000-03-09,30.19,30.69,30.19,30.44,11.741926746,113500,0.0,1.0
2000-03-10,30.44,30.5,30.13,30.38,11.7187823438,132000,0.0,1.0
2000-03-13,29.94,30.13,29.75,30.0,11.5722011294,53100,0.0,1.0
2000-03-14,30.0,30.38,30.0,30.38,11.7187823438,51900,0.0,1.0
2000-03-15,30.44,30.75,30.13,30.63,11.8152173532,337200,0.0,1.0
2000-03-16,30.5,31.0,30.5,30.88,11.9116523626,102900,0.0,1.0
2000-03-17,30.75,31.13,30.63,31.0,11.9579411671,84200,0.0,1.0
2000-03-20,31.0,31.25,30.94,31.25,12.0543761765,149400,0.0,1.0
2000-03-21,31.44,31.44,31.06,31.25,12.0543761765,124400,0.0,1.0
2000-03-22,31.25,31.38,31.13,31.25,12.0543761765,107100,0.0,1.0
2000-03-23,31.19,31.56,31.13,31.25,12.0543761765,142700,0.0,1.0
2000-03-24,31.38,31.38,31.06,31.25,12.0543761765,119900,0.0,1.0
2000-03-27,31.38,31.44,31.19,31.31,12.0775205788,87100,0.0,1.0
2000-03-28,31.25,31.5,31.25,31.44,12.1276667837,188000,0.0,1.0
2000-03-29,31.0,31.31,31.0,31.25,12.2279591935,34700,0.45,1.0
2000-03-30,31.5,31.63,31.25,31.5,12.325782867,218000,0.0,1.0
2000-03-31,31.5,31.81,31.44,31.81,12.4470842222,156600,0.0,1.0
2000-04-03,31.69,32.06,31.5,31.75,12.4236065405,272400,0.0,1.0
2000-04-04,31.94,32.25,31.81,32.0,12.5214302141,324600,0.0,1.0
2000-04-05,32.0,32.5,32.0,32.44,12.6935998795,243100,0.0,1.0
2000-04-06,32.56,34.44,32.56,34.13,13.3548879127,224400,0.0,1.0
2000-04-07,34.06,34.31,33.56,34.25,13.401843276,180000,0.0,1.0
2000-04-10,34.25,34.44,34.06,34.44,13.4761892679,91000,0.0,1.0
2000-04-11,34.63,34.63,34.25,34.31,13.4253209577,125100,0.0,1.0
2000-04-12,34.19,34.5,34.19,34.5,13.4996669496,141900,0.0,1.0
2000-04-13,34.5,34.75,34.0,34.38,13.4527115863,325400,0.0,1.0
2000-04-14,34.5,34.5,33.88,34.0,13.3040196025,185600,0.0,1.0
2000-04-17,33.81,34.25,33.81,34.0,13.3040196025,139400,0.0,1.0
2000-04-18,34.0,34.13,33.81,34.13,13.3548879127,141200,0.0,1.0
2000-04-19,34.13,34.25,33.94,34.19,13.3783655944,185500,0.0,1.0
2000-04-20,34.13,34.31,34.13,34.19,13.3783655944,52700,0.0,1.0
2000-04-24,34.19,34.38,34.13,34.38,13.4527115863,115100,0.0,1.0
2000-04-25,34.75,34.75,34.19,34.31,13.4253209577,161800,0.0,1.0
2000-04-26,34.63,35.19,34.56,35.0,13.6953142967,349100,0.0,1.0
2000-04-27,35.0,35.13,34.81,35.0,13.6953142967,112500,0.0,1.0
2000-04-28,35.0,35.19,34.88,34.88,13.6483589334,189400,0.0,1.0
2000-05-01,35.0,35.44,34.56,35.38,13.8440062805,259100,0.0,1.0
2000-05-02,35.38,36.75,35.38,36.19,14.1609549828,558200,0.0,1.0
2000-05-03,36.13,36.25,35.94,36.0,14.0866089909,349500,0.0,1.0
2000-05-04,36.13,36.19,35.56,36.0,14.0866089909,258500,0.0,1.0
2000-05-05,35.94,36.25,35.88,36.13,14.1374773011,266000,0.0,1.0
2000-05-08,36.06,36.31,35.94,36.31,14.2079103461,181500,0.0,1.0
2000-05-09,36.19,36.5,36.0,36.38,14.2353009746,315900,0.0,1.0
2000-05-10,36.19,36.44,36.19,36.31,14.2079103461,136700,0.0,1.0
2000-05-11,36.5,36.5,36.25,36.44,14.2587786563,138100,0.0,1.0
2000-05-12,36.38,36.69,36.38,36.63,14.3331246482,128700,0.0,1.0
2000-05-15,36.63,36.69,36.13,36.25,14.1844326644,389400,0.0,1.0
2000-05-16,36.19,36.25,36.06,36.19,14.1609549828,154500,0.0,1.0
2000-05-17,36.13,36.44,36.13,36.44,14.2587786563,167100,0.0,1.0
2000-05-18,36.31,36.5,36.19,36.38,14.2353009746,126300,0.0,1.0
2000-05-19,36.19,36.63,36.06,36.56,14.3057340196,71300,0.0,1.0
2000-05-22,36.5,36.5,35.94,36.38,14.2353009746,158100,0.0,1.0
2000-05-23,36.38,36.5,36.0,36.19,14.1609549828,90800,0.0,1.0
2000-05-24,36.25,36.25,35.56,35.63,13.941829954,233100,0.0,1.0
2000-05-25,35.63,35.75,35.38,35.44,13.8674839621,109100,0.0,1.0
2000-05-26,35.5,35.5,35.25,35.44,13.8674839621,128800,0.0,1.0
2000-05-30,35.5,35.5,35.0,35.0,13.6953142967,237700,0.0,1.0
2000-05-31,35.13,35.19,34.94,35.0,13.6953142967,175800,0.0,1.0
2000-06-01,35.0,35.0,34.5,34.88,13.6483589334,223700,0.0,1.0
2000-06-02,34.88,35.5,34.88,35.44,13.8674839621,123300,0.0,1.0
2000-06-05,35.69,35.69,35.13,35.25,13.7931379702,89300,0.0,1.0
2000-06-06,35.25,35.63,35.06,35.56,13.9144393254,79500,0.0,1.0
2000-06-07,35.63,36.19,35.44,36.13,14.1374773011,82300,0.0,1.0
2000-06-08,36.0,36.5,35.88,36.5,14.282256338,105300,0.0,1.0
2000-06-09,36.38,36.5,36.06,36.31,14.2079103461,66200,0.0,1.0
2000-06-12,36.38,36.69,36.19,36.59,14.3174728604,208200,0.0,1.0
2000-06-13,36.69,36.75,36.56,36.69,14.3566023298,114000,0.0,1.0
2000-06-14,36.75,38.31,36.69,37.69,14.747897024,195400,0.0,1.0
2000-06-15,37.88,37.88,36.69,37.13,14.5287719953,197400,0.0,1.0
2000-06-16,37.19,37.19,36.81,37.06,14.5013813667,276000,0.0,1.0
2000-06-19,37.25,37.25,36.88,37.06,14.5013813667,60100,0.0,1.0
2000-06-20,37.0,37.88,37.0,37.88,14.8222430159,100000,0.0,1.0
2000-06-21,37.81,37.81,37.19,37.5,14.6735510321,98100,0.0,1.0
2000-06-22,37.25,37.31,37.13,37.13,14.5287719953,82800,0.0,1.0
2000-06-23,37.0,37.44,37.0,37.31,14.5992050402,86100,0.0,1.0
2000-06-26,37.38,37.63,37.31,37.44,14.6500733505,161900,0.0,1.0
2000-06-27,37.38,38.31,37.38,38.19,14.9435443711,176100,0.0,1.0
2000-06-28,37.63,38.13,37.56,38.0,15.0765845672,1302200,0.53,1.0
2000-06-29,38.25,39.0,38.06,38.97,15.4614342258,202700,0.0,1.0
2000-06-30,39.0,39.31,38.13,38.63,15.3265384692,340300,0.0,1.0
2000-07-03,38.63,38.88,38.56,38.72,15.3622461695,44000,0.0,1.0
2000-07-05,39.25,39.25,38.63,38.63,15.3265384692,299400,0.0,1.0
2000-07-06,38.75,38.75,38.13,38.19,15.15196749,336400,0.0,1.0
2000-07-07,38.25,38.25,37.5,38.0,15.0765845672,567600,0.0,1.0
2000-07-10,38.0,38.0,37.88,38.0,15.0765845672,112800,0.0,1.0
2000-07-11,38.0,38.0,37.81,37.94,15.0527794336,77600,0.0,1.0
2000-07-12,37.94,38.0,37.81,37.94,15.0527794336,100800,0.0,1.0
2000-07-13,38.0,38.0,37.75,37.88,15.0289743001,130000,0.0,1.0
2000-07-14,37.75,37.88,37.75,37.75,14.9773965108,77000,0.0,1.0
2000-07-17,37.75,37.81,37.5,37.81,15.0012016443,75300,0.0,1.0
2000-07-18,37.69,37.81,37.63,37.75,14.9773965108,69600,0.0,1.0
2000-07-19,37.63,37.69,37.56,37.56,14.902013588,89200,0.0,1.0
2000-07-20,37.75,37.88,37.63,37.88,15.0289743001,257900,0.0,1.0
2000-07-21,37.63,38.13,37.63,38.13,15.1281623565,266000,0.0,1.0
2000-07-24,38.25,38.88,38.25,38.81,15.3979538698,494100,0.0,1.0
2000-07-25,38.81,39.81,38.81,39.28,15.5844274157,415900,0.0,1.0
2000-07-26,39.69,40.56,39.69,40.22,15.9573745077,397500,0.0,1.0
2000-07-27,40.75,41.81,40.75,41.47,16.4533147895,378900,0.0,1.0
2000-07-28,41.38,42.06,41.38,41.66,16.5286977123,379000,0.0,1.0
2000-07-31,41.75,41.75,41.0,41.47,16.4533147895,253800,0.0,1.0
2000-08-01,41.31,41.88,41.31,41.84,16.6001131129,302400,0.0,1.0
2000-08-02,41.75,41.75,41.13,41.47,16.4533147895,217400,0.0,1.0
2000-08-03,41.56,42.0,41.5,41.91,16.6278857687,247400,0.0,1.0
2000-08-04,41.88,42.06,41.75,42.03,16.6754960357,426900,0.0,1.0
2000-08-07,41.94,42.0,41.88,41.97,16.6516909022,180200,0.0,1.0
2000-08-08,41.81,42.31,41.81,42.25,16.7627815253,208500,0.0,1.0
2000-08-09,42.25,42.5,42.25,42.5,16.8619695817,191400,0.0,1.0
2000-08-10,42.5,43.19,42.38,42.56,16.8857747152,215700,0.0,1.0
