timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,45.0,45.56,42.88,44.31,14.9107523007,2462800,0.0,1.0
1999-11-02,44.81,46.88,44.5,45.0,15.1429441104,2414400,0.0,1.0
1999-11-03,45.75,46.13,44.75,44.94,15.1227535183,1624667,0.0,1.0
1999-11-04,45.0,45.44,44.38,44.69,15.038626051,2006267,0.0,1.0
1999-11-05,44.88,45.25,42.5,43.0,14.4699243722,2524667,0.0,1.0
1999-11-08,43.0,44.88,43.0,44.75,15.0588166431,1591600,0.0,1.0
1999-11-09,45.0,45.5,43.81,44.75,15.0588166431,2088400,0.0,1.0
1999-11-10,44.81,44.94,43.75,44.81,15.0790072353,952400,0.0,1.0
1999-11-11,44.31,44.63,43.75,44.38,14.9343079916,2532200,0.0,1.0
1999-11-12,44.25,45.94,44.25,45.5,15.311199045,1532800,0.0,1.0
1999-11-15,45.5,46.88,45.31,46.75,15.7318363814,1727267,0.0,1.0
1999-11-16,46.81,50.56,46.75,50.06,16.8456840482,1629267,0.0,1.0
1999-11-17,50.0,50.38,49.5,50.0,16.825493456,1098200,0.0,1.0
1999-11-18,49.75,52.38,49.69,51.38,17.2898770754,1051267,0.0,1.0
1999-11-19,51.94,52.13,51.06,51.44,17.3100676676,504600,0.0,1.0
1999-11-22,51.0,52.0,50.0,51.63,17.3740045427,652400,0.0,1.0
1999-11-23,51.56,52.75,51.44,52.56,17.686958721,1091867,0.0,1.0
1999-11-24,51.25,52.75,51.25,52.69,17.730705004,662200,0.0,1.0
1999-11-26,52.69,52.94,52.19,52.56,17.686958721,133000,0.0,1.0
1999-11-29,52.5,53.44,51.5,53.38,17.9628968137,764867,0.0,1.0
1999-11-30,51.75,52.44,51.38,52.31,17.6028312537,855067,0.0,1.0
1999-12-01,52.0,52.44,49.5,49.81,16.7615565809,1096067,0.0,1.0
1999-12-02,49.94,49.94,46.25,48.0,16.1524737178,1534667,0.0,1.0
1999-12-03,49.0,50.94,48.88,50.25,16.9096209233,1308800,0.0,1.0
1999-12-06,49.0,50.19,48.75,49.88,16.7851122717,964667,0.0,1.0
1999-12-07,49.5,50.25,47.5,47.75,16.0683462505,2442400,0.0,1.0
1999-12-08,48.63,48.94,48.0,48.06,16.1726643099,835200,0.0,1.0
1999-12-09,48.13,48.38,46.56,47.06,15.8361544408,855000,0.0,1.0
1999-12-10,47.25,47.38,45.25,47.19,15.8799007238,1267667,0.0,1.0
1999-12-13,46.25,47.25,46.13,46.61,15.6847249997,767467,0.0,1.0
1999-12-14,46.69,47.75,46.13,46.75,15.7318363814,1077400,0.0,1.0
1999-12-15,46.63,47.0,45.69,45.94,15.4592633874,1563267,0.0,1.0
1999-12-16,45.0,46.88,45.0,46.19,15.5433908547,1332667,0.0,1.0
1999-12-17,46.0,46.31,43.5,44.0,14.8064342413,2550267,0.0,1.0
1999-12-20,43.88,44.25,42.75,43.88,14.766053057,1937000,0.0,1.0
1999-12-21,43.88,45.06,43.75,44.75,15.0588166431,2132000,0.0,1.0
1999-12-22,44.63,46.63,44.06,46.31,15.583772039,963067,0.0,1.0
1999-12-23,46.5,48.25,45.38,46.19,15.5433908547,783667,0.0,1.0
1999-12-27,48.0,48.0,46.75,47.31,15.9202819081,634600,0.0,1.0
1999-12-28,47.56,48.5,47.06,47.5,15.9842187832,469267,0.0,1.0
1999-12-29,47.5,48.0,47.0,47.69,16.0565684051,392600,0.025,1.0
1999-12-30,48.0,48.25,47.5,48.13,16.2047103656,497400,0.0,1.0
1999-12-31,48.06,48.63,46.94,47.88,16.1205387971,341000,0.0,1.0
2000-01-03,48.75,49.56,48.75,49.31,16.6020001689,815067,0.0,1.0
2000-01-04,49.75,50.5,48.5,48.75,16.4134558555,1300800,0.0,1.0
