timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,57.56,59.69,57.56,58.94,30.5326225289,1011100,0.0,1.0
1999-11-02,58.88,60.75,58.81,59.56,30.8538004381,598400,0.0,1.0
1999-11-03,59.5,59.63,58.44,58.63,30.3720335743,507000,0.0,1.0
1999-11-04,58.63,60.38,58.63,59.75,30.9522259264,543800,0.0,1.0
1999-11-05,60.94,61.25,60.56,60.63,31.4080913459,230900,0.0,1.0
1999-11-08,60.75,60.75,60.0,60.13,31.149076903,283400,0.0,1.0
1999-11-09,60.06,60.5,58.88,59.13,30.6310480172,395700,0.0,1.0
1999-11-10,58.69,58.69,58.0,58.0,30.0456753762,370000,0.0,1.0
1999-11-11,58.0,58.5,57.38,57.94,30.0145936431,225400,0.0,1.0
1999-11-12,58.06,59.25,58.0,58.81,30.4652787737,442900,0.0,1.0
1999-11-15,58.81,60.06,58.44,59.75,30.9522259264,299300,0.0,1.0
1999-11-16,60.0,60.25,59.0,59.81,30.9833076595,355200,0.0,1.0
1999-11-17,59.56,59.56,58.31,58.44,30.273608086,358600,0.0,1.0
1999-11-18,58.44,58.5,57.0,57.38,29.724497467,393000,0.0,1.0
1999-11-19,56.38,56.69,56.19,56.19,29.1080430929,956300,0.0,1.0
1999-11-22,55.75,55.75,54.06,54.13,28.0409035882,682600,0.0,1.0
1999-11-23,53.25,53.5,52.94,52.94,27.4244492141,982000,0.0,1.0
1999-11-24,52.75,53.69,52.69,53.25,27.5850381687,502800,0.0,1.0
1999-11-26,52.88,54.0,52.88,53.94,27.9424780999,206900,0.0,1.0
1999-11-29,53.0,53.0,52.0,52.06,26.9685837946,453500,0.0,1.0
1999-11-30,51.81,53.19,51.75,53.0,27.4555309472,504000,0.0,1.0
1999-12-01,52.63,53.69,52.31,53.44,27.683463657,933800,0.0,1.0
1999-12-02,53.56,53.75,52.88,53.44,27.683463657,622300,0.0,1.0
1999-12-03,54.38,55.69,54.13,54.44,28.2014925428,926200,0.0,1.0
1999-12-06,54.06,54.06,50.0,50.81,26.3210476873,759700,0.0,1.0
1999-12-07,50.5,50.5,49.25,49.56,25.6735115801,896300,0.0,1.0
1999-12-08,49.81,49.81,47.81,47.81,24.7669610299,699500,0.0,1.0
1999-12-09,48.13,49.25,48.06,48.5,25.1244009611,1136200,0.0,1.0
1999-12-10,48.81,50.0,48.81,49.25,25.5129226255,634300,0.0,1.0
1999-12-13,48.63,48.63,48.0,48.19,25.1503024054,589800,0.36,1.0
1999-12-14,47.5,47.81,47.13,47.44,24.7588783174,752500,0.0,1.0
1999-12-15,47.44,47.44,46.25,46.25,24.1378187643,621600,0.0,1.0
1999-12-16,46.0,46.13,44.75,45.44,23.7150807492,688900,0.0,1.0
1999-12-17,45.19,45.81,44.94,45.06,23.5167592112,645500,0.0,1.0
1999-12-20,45.31,45.94,44.88,44.94,23.4541313571,507100,0.0,1.0
1999-12-21,45.06,46.5,44.5,45.69,23.8455554452,727300,0.0,1.0
1999-12-22,45.81,46.0,44.0,45.0,23.4854452842,443200,0.0,1.0
1999-12-23,45.88,46.5,45.81,46.38,24.2056656062,467700,0.0,1.0
1999-12-27,46.44,47.44,46.31,46.38,24.2056656062,446900,0.0,1.0
1999-12-28,46.5,46.81,45.38,45.63,23.8142415182,467200,0.0,1.0
1999-12-29,45.75,47.13,45.75,47.13,24.5970896943,396000,0.0,1.0
1999-12-30,47.0,47.0,46.5,46.75,24.3987681563,268800,0.0,1.0
1999-12-31,46.63,46.69,46.44,46.69,24.3674542293,130500,0.0,1.0
2000-01-03,46.25,46.25,44.56,45.0,23.4854452842,1102400,0.0,1.0
2000-01-04,44.63,44.63,42.94,43.13,22.5094945579,665700,0.0,1.0
2000-01-05,42.63,43.5,42.63,43.0,22.441647716,774000,0.0,1.0
2000-01-06,43.0,44.5,43.0,44.25,23.0940211961,573100,0.0,1.0
2000-01-07,44.38,44.5,43.88,44.19,23.0627072691,490800,0.0,1.0
2000-01-10,42.75,44.0,42.44,42.75,22.31117302,592100,0.0,1.0
2000-01-11,42.25,42.25,41.44,41.63,21.7266463818,646700,0.0,1.0
2000-01-12,41.63,42.5,41.56,42.38,22.1180704699,572700,0.0,1.0
2000-01-13,42.5,43.25,42.44,42.81,22.342486947,1152500,0.0,1.0
2000-01-14,43.75,44.38,43.56,44.06,22.9948604271,698400,0.0,1.0
2000-01-18,44.0,44.0,42.5,43.06,22.472961643,462200,0.0,1.0
2000-01-19,43.25,44.13,43.13,43.19,22.540808485,986900,0.0,1.0
2000-01-20,43.19,43.19,41.31,41.31,21.5596387709,734800,0.0,1.0
2000-01-21,41.31,41.38,40.56,40.81,21.2986893788,646900,0.0,1.0
2000-01-24,41.06,41.31,40.06,40.44,21.1055868287,491400,0.0,1.0
2000-01-25,40.19,41.0,40.06,40.38,21.0742729017,513900,0.0,1.0
2000-01-26,40.0,42.38,39.94,42.19,22.0189097009,501700,0.0,1.0
2000-01-27,42.31,43.0,42.13,42.88,22.3790198619,454100,0.0,1.0
2000-01-28,42.88,43.06,42.13,42.5,22.1806983239,1044000,0.0,1.0
