timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,43.44,43.5,39.94,40.36,15.0271966181,2974100,0.0,1.0
1999-11-02,39.75,40.44,37.81,39.38,14.6623142424,5228400,0.0,1.0
1999-11-03,39.38,39.81,38.75,38.75,14.4277470008,2018600,0.0,1.0
1999-11-04,39.56,39.75,38.06,38.31,14.2639222607,2120600,0.0,1.0
1999-11-05,38.25,38.75,37.0,38.0,14.1485002847,3556200,0.0,1.0
1999-11-08,38.38,38.63,37.19,37.25,13.8692535685,2132800,0.0,1.0
1999-11-09,37.75,37.94,37.19,37.19,13.8469138312,1735700,0.0,1.0
1999-11-10,37.13,37.13,35.25,35.63,13.2660806616,4106000,0.0,1.0
1999-11-11,35.63,35.81,32.94,35.5,13.2176778975,6005700,0.0,1.0
1999-11-12,35.75,36.06,34.06,36.06,13.4261821122,4356600,0.0,1.0
1999-11-15,36.5,38.94,36.06,38.81,14.4500867381,3428500,0.0,1.0
1999-11-16,40.25,40.75,39.31,39.75,14.8000759557,3435700,0.0,1.0
1999-11-17,39.63,40.63,39.63,40.38,15.0346431972,2131100,0.0,1.0
1999-11-18,40.38,40.56,39.19,39.44,14.6846539796,2540100,0.0,1.0
1999-11-19,39.81,40.31,39.69,40.06,14.9154979317,1573000,0.0,1.0
1999-11-22,40.0,40.13,39.0,40.13,14.9415609585,2658300,0.0,1.0
1999-11-23,39.75,40.06,39.25,39.81,14.8224156929,1767300,0.0,1.0
1999-11-24,39.69,40.0,39.0,39.06,14.5431689768,1409100,0.0,1.0
1999-11-26,39.06,39.94,39.06,39.69,14.7777362184,354300,0.0,1.0
1999-11-29,39.63,40.38,38.94,40.19,14.9639006958,1960000,0.0,1.0
1999-11-30,39.94,40.31,39.69,39.69,14.7777362184,1396000,0.0,1.0
1999-12-01,39.56,40.19,38.81,39.63,14.7553964811,2206700,0.0,1.0
1999-12-02,39.56,39.56,37.75,38.0,14.1485002847,2365000,0.0,1.0
1999-12-03,38.0,39.13,38.0,38.88,14.4761497649,2518600,0.0,1.0
1999-12-06,39.19,40.0,37.0,37.5,13.9623358072,2634100,0.0,1.0
1999-12-07,37.44,37.44,35.81,36.06,13.4261821122,3048300,0.0,1.0
1999-12-08,36.06,36.06,35.56,35.69,13.2884203989,1835500,0.0,1.0
1999-12-09,36.25,37.5,35.13,35.56,13.2400176348,1916800,0.0,1.0
1999-12-10,35.88,36.81,35.69,35.94,13.3815026376,1919700,0.0,1.0
1999-12-13,37.5,37.5,35.06,35.56,13.2400176348,1841900,0.0,1.0
1999-12-14,35.25,35.31,33.31,33.94,12.6368447279,4027600,0.0,1.0
1999-12-15,34.13,34.88,33.5,34.06,12.6815242025,1883400,0.0,1.0
