timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,36.0,36.06,35.38,36.06,11.4756865539,815900,0.0,1.0
1999-11-02,36.13,37.63,36.13,36.69,11.676176918,1027500,0.0,1.0
1999-11-03,38.13,39.0,37.69,38.56,12.2712832368,1206900,0.0,1.0
1999-11-04,38.5,38.75,38.31,38.56,12.2712832368,911500,0.0,1.0
1999-11-05,39.25,39.38,38.56,39.06,12.4304025734,962500,0.0,1.0
1999-11-08,39.06,39.25,38.94,39.13,12.4526792805,577700,0.0,1.0
1999-11-09,39.06,39.38,38.94,39.13,12.4526792805,556000,0.0,1.0
1999-11-10,39.0,39.5,39.0,39.25,12.4908679213,919800,0.0,1.0
1999-11-11,39.13,39.56,39.13,39.31,12.5099622417,422700,0.0,1.0
1999-11-12,39.44,39.5,38.56,39.44,12.5513332692,523400,0.0,1.0
1999-11-15,39.75,41.75,39.63,41.0,13.0477855993,801900,0.0,1.0
1999-11-16,39.63,41.19,39.63,40.19,12.790012274,909800,0.0,1.0
1999-11-17,40.13,40.25,39.56,39.75,12.6499872578,511700,0.0,1.0
1999-11-18,39.81,40.44,39.81,40.0,12.7295469261,776700,0.0,1.0
1999-11-19,38.69,39.06,37.81,38.13,12.1344406073,1179000,0.0,1.0
1999-11-22,38.13,39.31,38.13,39.0,12.411308253,1057800,0.0,1.0
1999-11-23,38.75,41.38,38.06,41.25,13.1273452676,1893200,0.0,1.0
1999-11-24,41.0,44.5,41.0,43.13,13.7256339731,1652100,0.0,1.0
1999-11-26,43.13,43.63,41.94,41.94,13.346929952,517900,0.0,1.0
1999-11-29,41.25,42.0,40.63,41.0,13.0477855993,1224300,0.0,1.0
1999-11-30,41.19,43.69,41.0,42.94,13.6651686252,1227000,0.0,1.0
1999-12-01,42.0,43.0,41.63,42.25,13.4455839407,1160500,0.0,1.0
1999-12-02,42.19,43.88,42.06,43.0,13.6842629456,1687800,0.0,1.0
1999-12-03,43.0,43.63,42.81,43.0,13.6842629456,863000,0.0,1.0
1999-12-06,42.38,42.88,41.69,41.88,13.3278356317,569700,0.0,1.0
