timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,28.19,29.75,28.13,29.44,5.75798928809,241300,0.0,1.0
1999-11-02,29.38,29.88,29.06,29.19,5.70909331927,114500,0.0,1.0
1999-11-03,29.0,29.63,28.81,29.56,5.78145935312,38900,0.0,1.0
1999-11-04,31.0,31.63,30.69,30.94,6.051365101,95300,0.0,1.0
1999-11-05,30.94,30.94,30.31,30.75,6.0142041647,77100,0.0,1.0
1999-11-08,30.63,31.0,30.5,30.81,6.02593919721,41100,0.0,1.0
1999-11-09,30.81,30.94,30.69,30.94,6.051365101,46600,0.0,1.0
1999-11-10,30.94,30.94,30.0,30.0,5.86751625824,245400,0.0,1.0
1999-11-11,29.75,30.0,29.69,29.94,5.85578122573,50700,0.0,1.0
1999-11-12,29.94,30.25,29.88,30.0,5.86751625824,306100,0.0,1.0
1999-11-15,29.88,30.25,29.88,30.25,5.91641222706,120800,0.0,1.0
1999-11-16,30.13,31.0,30.13,30.38,5.94183813085,214300,0.0,1.0
1999-11-17,30.38,30.5,30.38,30.5,5.96530819588,105200,0.0,1.0
1999-11-18,30.63,31.0,30.63,31.0,6.06310013352,226900,0.0,1.0
1999-11-19,31.13,31.13,30.5,30.56,5.9770432284,217700,0.0,1.0
1999-11-22,30.56,31.06,30.56,30.88,6.03963006848,75400,0.0,1.0
1999-11-23,30.88,31.56,30.88,31.0,6.06310013352,125100,0.0,1.0
1999-11-24,30.88,31.38,29.88,30.25,5.91641222706,77600,0.0,1.0
1999-11-26,30.25,30.63,30.25,30.38,5.94183813085,46600,0.0,1.0
1999-11-29,30.44,30.69,30.38,30.38,5.94183813085,41200,0.0,1.0
1999-11-30,30.38,30.5,30.13,30.44,5.95357316336,31900,0.0,1.0
1999-12-01,30.88,32.94,30.88,31.25,6.11199610234,287200,0.0,1.0
1999-12-02,31.06,31.06,30.56,30.94,6.051365101,141300,0.0,1.0
1999-12-03,31.06,31.44,30.69,30.75,6.0142041647,33200,0.0,1.0
1999-12-06,30.75,31.44,30.75,31.13,6.0885260373,85200,0.0,1.0
1999-12-07,31.25,31.5,31.13,31.31,6.12373113485,195000,0.0,1.0
1999-12-08,31.38,31.38,31.0,31.06,6.07483516603,74700,0.0,1.0
1999-12-09,31.19,31.38,30.94,31.13,6.0885260373,64000,0.0,1.0
1999-12-10,31.13,31.13,30.88,30.88,6.03963006848,66000,0.0,1.0
1999-12-13,31.13,31.31,30.94,31.19,6.10026106982,72600,0.0,1.0
1999-12-14,31.13,31.19,30.81,30.81,6.02593919721,96000,0.0,1.0
1999-12-15,30.81,30.81,30.31,30.38,5.94183813085,64000,0.0,1.0
1999-12-16,30.38,30.81,30.25,30.56,5.9770432284,20700,0.0,1.0
1999-12-17,30.44,30.5,28.94,29.5,5.7697243206,99400,0.0,1.0
1999-12-20,29.5,29.75,29.5,29.69,5.80688525691,95500,0.0,1.0
1999-12-21,29.69,29.88,29.63,29.75,5.81862028942,50000,0.0,1.0
1999-12-22,29.94,30.31,28.88,29.19,5.70909331927,85500,0.0,1.0
1999-12-23,29.25,29.56,28.88,29.25,5.72082835179,22000,0.0,1.0
1999-12-27,29.13,30.25,29.13,30.06,5.87925129076,81000,0.0,1.0
1999-12-28,30.0,30.0,29.72,29.88,5.84404619321,30800,0.0,1.0
1999-12-29,29.88,30.38,29.88,30.19,5.90467719454,29500,0.0,1.0
