timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,33.19,34.25,33.06,33.81,13.1234231039,473100,0.0,1.0
1999-11-02,34.0,35.25,33.94,34.81,13.5115752217,1033700,0.0,1.0
1999-11-03,34.94,34.94,34.44,34.81,13.5115752217,526300,0.0,1.0
1999-11-04,35.0,35.0,33.88,34.13,13.2476317816,427200,0.0,1.0
1999-11-05,34.56,34.88,34.31,34.81,13.5115752217,465700,0.0,1.0
1999-11-08,34.63,34.88,34.44,34.81,13.5115752217,247600,0.0,1.0
1999-11-09,34.63,34.75,34.0,34.0,13.1971720063,1536900,0.0,1.0
1999-11-10,33.75,34.13,33.56,33.56,13.0263850744,454400,0.0,1.0
1999-11-11,33.06,33.81,33.06,33.69,13.0768448498,476300,0.0,1.0
1999-11-12,33.63,34.13,33.38,33.56,13.0263850744,458000,0.0,1.0
1999-11-15,33.56,33.75,33.19,33.38,12.9565176932,206500,0.0,1.0
1999-11-16,33.63,33.69,33.38,33.5,13.0030959474,259600,0.0,1.0
1999-11-17,33.56,33.63,33.38,33.5,13.0030959474,318300,0.0,1.0
1999-11-18,33.63,33.75,33.38,33.5,13.0030959474,263500,0.0,1.0
1999-11-19,33.31,33.5,33.06,33.25,12.9060579179,413600,0.0,1.0
1999-11-22,33.0,33.13,32.56,32.84,12.7469155496,354600,0.0,1.0
1999-11-23,32.44,32.5,32.0,32.06,12.4441568977,291200,0.0,1.0
1999-11-24,32.25,32.94,32.0,32.69,12.6886927319,772900,0.0,1.0
1999-11-26,33.31,33.31,32.81,32.81,12.7352709861,161400,0.0,1.0
1999-11-29,32.56,32.56,31.5,32.06,12.4441568977,397800,0.0,1.0
1999-11-30,32.06,33.06,32.0,33.06,12.8323090155,1157600,0.0,1.0
1999-12-01,33.0,33.06,32.5,32.63,12.6654036049,618800,0.0,1.0
1999-12-02,32.69,33.06,32.69,32.94,12.7857307614,108500,0.0,1.0
1999-12-03,33.19,33.75,33.19,33.44,12.9798068203,212600,0.0,1.0
1999-12-06,33.25,33.5,33.06,33.38,12.9565176932,473500,0.0,1.0
1999-12-07,33.38,33.75,33.38,33.5,13.0030959474,741400,0.0,1.0
1999-12-08,33.44,33.56,33.38,33.46,12.9875698627,419600,0.0,1.0
1999-12-09,33.44,33.63,33.38,33.44,12.9798068203,616700,0.0,1.0
1999-12-10,33.44,33.44,32.63,32.63,12.6654036049,450500,0.0,1.0
1999-12-13,32.88,32.88,32.25,32.31,12.5411949271,490800,0.0,1.0
1999-12-14,32.38,32.44,32.0,32.38,12.5683655754,385300,0.0,1.0
1999-12-15,32.38,32.69,32.13,32.31,12.5411949271,6488600,0.0,1.0
1999-12-16,32.0,32.5,31.5,31.69,12.5004389548,1359000,0.515,1.0
1999-12-17,31.56,31.56,31.56,31.56,12.4491591484,450400,0.0,1.0
1999-12-20,31.5,32.0,31.31,31.57,12.4531037489,327800,0.0,1.0
1999-12-21,31.88,32.44,31.5,32.19,12.6976689793,904900,0.0,1.0
1999-12-22,32.06,32.19,31.31,31.56,12.4491591484,379500,0.0,1.0
1999-12-23,31.69,32.19,31.56,32.06,12.6463891729,169900,0.0,1.0
1999-12-27,32.0,32.31,31.63,31.63,12.4767713518,330800,0.0,1.0
1999-12-28,31.56,32.06,31.56,31.75,12.5241065577,95700,0.0,1.0
1999-12-29,31.63,31.75,31.19,31.19,12.3032089302,120200,0.0,1.0
1999-12-30,31.44,31.56,31.25,31.38,12.3781563396,236300,0.0,1.0
1999-12-31,31.75,31.75,31.06,31.63,12.4767713518,183900,0.0,1.0
2000-01-03,31.38,31.38,29.88,30.06,11.8574690748,572300,0.0,1.0
2000-01-04,29.56,30.13,29.56,30.13,11.8850812782,561200,0.0,1.0
