timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,80.63,84.53,80.63,82.31,20.5245420366,2452700,0.0,1.0
1999-11-02,82.44,82.44,78.63,79.25,19.7615108298,823500,0.0,1.0
1999-11-03,79.06,80.5,77.13,77.44,19.3101753774,941800,0.0,1.0
1999-11-04,77.56,79.5,77.5,79.25,19.7615108298,1264400,0.0,1.0
1999-11-05,80.38,82.0,79.38,81.88,20.4173186971,2016200,0.0,1.0
1999-11-08,81.88,84.25,81.69,83.0,20.696598093,471300,0.0,1.0
1999-11-09,83.94,86.69,82.63,84.69,21.118010753,722300,0.0,1.0
1999-11-10,83.5,88.25,83.38,87.81,21.896003356,829900,0.0,1.0
1999-11-11,87.75,90.25,87.69,89.5,22.317416016,1111000,0.0,1.0
1999-11-12,90.0,90.06,86.0,89.06,22.2076991104,926000,0.0,1.0
1999-11-15,89.25,90.5,88.38,88.56,22.0830208087,363400,0.0,1.0
1999-11-16,88.75,90.81,87.38,90.69,22.6141503742,898500,0.0,1.0
1999-11-17,90.63,91.13,87.88,87.94,21.9284197145,602800,0.0,1.0
1999-11-18,88.25,90.0,88.0,89.75,22.3797551669,608800,0.0,1.0
1999-11-19,90.25,94.5,89.88,92.0,22.9408075248,1127600,0.0,1.0
1999-11-22,98.5,110.3,98.0,108.3,27.0053201624,5121600,0.0,1.0
1999-11-23,107.9,120.3,105.6,117.1,29.1996582734,2239000,0.0,1.0
1999-11-24,117.0,119.5,116.5,119.0,29.6734358201,2843500,0.0,1.0
1999-11-26,119.0,119.0,116.5,116.8,29.1248512924,636300,0.0,1.0
1999-11-29,116.4,119.0,114.1,116.1,28.9503016699,1094300,0.0,1.0
1999-11-30,115.9,115.9,104.8,104.9,26.1575077104,1730500,0.0,1.0
1999-12-01,106.9,107.9,99.88,101.6,25.3346309187,1558200,0.0,1.0
1999-12-02,102.3,111.0,99.25,107.4,26.7808992192,1179500,0.0,1.0
1999-12-03,109.4,110.1,105.4,109.6,27.3294837469,500800,0.0,1.0
1999-12-06,110.1,111.0,103.0,106.1,26.4567356346,562800,0.0,1.0
1999-12-07,107.0,108.8,103.8,108.6,27.0801271434,516100,0.0,1.0
1999-12-08,108.0,110.1,104.5,108.1,26.9554488417,978900,0.0,1.0
1999-12-09,109.3,114.4,105.1,106.5,26.556478276,1045600,0.0,1.0
1999-12-10,107.9,114.4,107.9,114.2,28.4765241232,724000,0.0,1.0
1999-12-13,114.1,124.4,111.4,121.0,30.1721490272,981000,0.0,1.0
1999-12-14,120.6,120.6,114.3,115.0,28.676009406,862100,0.0,1.0
1999-12-15,115.2,115.2,107.9,111.3,27.753389973,1170200,0.0,1.0
1999-12-16,111.9,111.9,105.4,109.4,27.2796124262,2470000,0.0,1.0
1999-12-17,110.8,114.8,78.25,81.5,20.3225631877,11148200,0.0,1.0
1999-12-20,86.11,86.13,82.63,83.06,20.7115594892,6938600,0.0,1.0
1999-12-21,84.13,84.56,78.5,84.44,21.0556716021,3222100,0.0,1.0
1999-12-22,84.44,86.63,81.0,83.13,20.7290144515,1892600,0.0,1.0
1999-12-23,84.25,86.5,81.38,84.81,21.1479335454,1276600,0.0,1.0
1999-12-27,85.0,86.5,79.88,82.06,20.4622028857,743000,0.0,1.0
1999-12-28,82.97,84.75,82.0,83.94,20.9309933004,584500,0.0,1.0
1999-12-29,84.0,84.88,82.13,84.63,21.1030493568,369600,0.0,1.0
1999-12-30,85.0,85.25,81.63,82.25,20.5095806404,344700,0.0,1.0
1999-12-31,82.81,84.5,81.63,84.0,20.9459546966,391500,0.0,1.0
2000-01-03,85.0,115.1,83.38,101.1,25.2099526169,2260200,0.0,1.0
2000-01-04,95.0,98.0,89.25,89.38,22.2874932236,1582800,0.0,1.0
2000-01-05,88.0,97.5,86.06,86.19,21.4920456583,1268000,0.0,1.0
2000-01-06,88.25,90.5,79.38,80.0,19.9485282824,1602100,0.0,1.0
