timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,37.88,38.25,37.63,38.06,12.941569878,173100,0.0,1.0
1999-11-02,38.0,38.88,37.75,37.75,12.8361603493,207200,0.0,1.0
1999-11-03,37.88,38.19,37.63,38.0,12.9211680338,293100,0.0,1.0
1999-11-04,38.0,38.06,37.06,37.63,12.7953566608,296600,0.0,1.0
1999-11-05,38.25,38.38,37.88,37.88,12.8803643452,325800,0.0,1.0
1999-11-08,38.0,38.38,37.25,37.31,12.6865468247,615800,0.0,1.0
1999-11-09,37.5,37.5,36.63,36.75,12.4961296116,572600,0.0,1.0
1999-11-10,36.63,36.75,36.5,36.75,12.4961296116,583500,0.0,1.0
1999-11-11,36.75,36.94,36.19,36.81,12.5165314559,309300,0.0,1.0
1999-11-12,36.81,37.19,36.63,36.75,12.4961296116,1653200,0.0,1.0
1999-11-15,36.13,36.44,35.88,36.19,12.4876288432,436200,0.535,1.0
1999-11-16,36.63,36.63,36.0,36.13,12.4669253966,450700,0.0,1.0
1999-11-17,36.19,36.25,36.0,36.0,12.4220679291,553400,0.0,1.0
1999-11-18,36.06,36.13,35.94,36.0,12.4220679291,381900,0.0,1.0
1999-11-19,36.0,36.13,35.94,36.06,12.4427713756,544300,0.0,1.0
1999-11-22,36.0,36.0,35.5,35.5,12.2495392079,979200,0.0,1.0
1999-11-23,35.44,35.5,34.81,34.88,12.0356035935,396200,0.0,1.0
1999-11-24,34.88,35.19,34.81,34.94,12.0563070401,544600,0.0,1.0
1999-11-26,34.88,35.0,34.81,34.88,12.0356035935,122600,0.0,1.0
1999-11-29,34.75,34.75,33.63,33.88,11.690546151,452800,0.0,1.0
1999-11-30,34.25,35.19,34.19,34.5,11.9044817654,1239900,0.0,1.0
1999-12-01,34.38,34.56,34.25,34.5,11.9044817654,932500,0.0,1.0
1999-12-02,34.38,34.75,34.38,34.56,11.9251852119,535300,0.0,1.0
1999-12-03,34.63,35.19,34.63,35.0,12.0770104866,619500,0.0,1.0
1999-12-06,35.0,35.13,34.81,35.0,12.0770104866,543700,0.0,1.0
1999-12-07,35.25,35.25,35.0,35.0,12.0770104866,942700,0.0,1.0
1999-12-08,35.0,35.0,34.56,34.75,11.990746126,1055000,0.0,1.0
1999-12-09,34.81,34.81,34.44,34.56,11.9251852119,644600,0.0,1.0
1999-12-10,34.69,34.69,34.0,34.38,11.8630748723,418200,0.0,1.0
1999-12-13,34.13,34.13,33.63,33.95,11.714700172,512000,0.0,1.0
1999-12-14,34.0,34.19,33.81,33.94,11.7112495976,523700,0.0,1.0
1999-12-15,33.94,34.56,33.88,34.56,11.9251852119,1216800,0.0,1.0
1999-12-16,34.75,34.75,34.0,34.0,11.7319530441,589600,0.0,1.0
1999-12-17,33.75,34.19,33.56,33.75,11.6456886835,1259500,0.0,1.0
1999-12-20,33.75,34.38,33.75,34.25,11.8182174048,685900,0.0,1.0
1999-12-21,34.25,35.13,34.19,35.0,12.0770104866,825000,0.0,1.0
1999-12-22,34.81,34.81,34.56,34.63,11.9493392329,647900,0.0,1.0
1999-12-23,34.88,35.25,34.81,35.13,12.1218679541,175400,0.0,1.0
1999-12-27,35.19,35.38,35.13,35.19,12.1425714007,435600,0.0,1.0
1999-12-28,35.13,35.44,35.13,35.13,12.1218679541,506000,0.0,1.0
1999-12-29,35.19,35.19,34.75,34.75,11.990746126,381800,0.0,1.0
1999-12-30,34.75,35.0,34.75,34.88,12.0356035935,413400,0.0,1.0
1999-12-31,34.94,34.94,34.5,34.5,11.9044817654,105000,0.0,1.0
2000-01-03,34.38,34.44,33.75,33.75,11.6456886835,581900,0.0,1.0
2000-01-04,33.56,34.31,33.56,34.19,11.7975139582,602400,0.0,1.0
2000-01-05,34.38,35.56,34.38,35.5,12.2495392079,817800,0.0,1.0
2000-01-06,35.25,35.88,35.06,35.81,12.356507015,680900,0.0,1.0
2000-01-07,35.81,36.19,35.63,36.06,12.4427713756,391100,0.0,1.0
2000-01-10,36.13,36.13,35.0,35.13,12.1218679541,481700,0.0,1.0
2000-01-11,35.06,35.19,34.31,34.44,11.8837783188,544600,0.0,1.0
2000-01-12,34.44,35.0,34.38,34.56,11.9251852119,749000,0.0,1.0
2000-01-13,34.88,34.88,34.0,34.25,11.8182174048,452600,0.0,1.0
2000-01-14,34.13,34.38,33.56,33.69,11.624985237,646700,0.0,1.0
2000-01-18,33.25,33.44,32.5,32.63,11.259224348,740500,0.0,1.0
2000-01-19,32.88,33.5,32.81,33.25,11.4731599623,453700,0.0,1.0
2000-01-20,33.25,33.38,32.81,32.88,11.3454887086,526300,0.0,1.0
2000-01-21,33.13,34.25,33.0,33.56,11.5801277695,695400,0.0,1.0
2000-01-24,34.38,34.5,34.0,34.0,11.7319530441,643500,0.0,1.0
2000-01-25,34.13,34.25,32.88,33.0,11.3868956017,492000,0.0,1.0
2000-01-26,33.25,34.0,33.0,34.0,11.7319530441,341600,0.0,1.0
2000-01-27,34.0,34.25,32.81,33.31,11.4938634088,469300,0.0,1.0
2000-01-28,33.31,33.81,32.5,32.56,11.235070327,631600,0.0,1.0
2000-01-31,32.63,32.88,32.31,32.69,11.2799277945,555800,0.0,1.0
2000-02-01,32.75,33.06,32.5,32.88,11.3454887086,626500,0.0,1.0
2000-02-02,32.88,33.0,32.38,32.5,11.2143668804,394000,0.0,1.0
2000-02-03,32.56,33.13,32.5,32.81,11.3213346876,1015300,0.0,1.0
2000-02-04,32.25,32.25,31.63,32.25,11.1281025198,864300,0.0,1.0
2000-02-07,32.31,32.38,31.56,31.56,10.8900128845,467400,0.0,1.0
2000-02-08,31.38,31.63,31.19,31.5,10.869309438,578900,0.0,1.0
2000-02-09,31.44,31.69,31.31,31.44,10.8486059914,845300,0.0,1.0
2000-02-10,31.44,32.06,31.44,31.81,10.9762772451,690400,0.0,1.0
2000-02-11,31.94,32.13,31.88,32.13,11.0866956267,1652100,0.0,1.0
2000-02-14,31.75,31.88,31.06,31.25,10.9711013835,1234200,0.545,1.0
2000-02-15,31.25,31.38,31.0,31.06,10.9043970871,389600,0.0,1.0
2000-02-16,30.94,30.94,30.44,30.81,10.816628276,349700,0.0,1.0
2000-02-17,30.81,30.81,29.13,29.25,10.2689508949,1465300,0.0,1.0
2000-02-18,29.25,29.25,28.0,28.13,9.87574662136,1251200,0.0,1.0
2000-02-22,28.25,28.25,27.81,27.88,9.78797781029,961700,0.0,1.0
2000-02-23,27.94,27.94,27.5,27.5,9.65456921747,1122900,0.0,1.0
2000-02-24,27.5,27.56,26.31,26.75,9.39126278427,1128600,0.0,1.0
2000-02-25,26.75,27.25,26.19,26.19,9.19466064747,854600,0.0,1.0
2000-02-28,26.75,27.81,26.5,27.38,9.61244018816,1126000,0.0,1.0
2000-02-29,27.31,27.81,27.25,27.56,9.67563373213,609200,0.0,1.0
2000-03-01,27.75,27.88,26.81,27.13,9.52467137709,723200,0.0,1.0
2000-03-02,27.0,27.44,27.0,27.25,9.5668004064,551900,0.0,1.0
2000-03-03,27.5,27.88,27.25,27.38,9.61244018816,415500,0.0,1.0
2000-03-06,27.38,27.63,26.94,27.44,9.63350470281,1350400,0.0,1.0
2000-03-07,27.5,27.94,27.44,27.63,9.70020899923,628000,0.0,1.0
2000-03-08,27.5,27.94,27.38,27.5,9.65456921747,864200,0.0,1.0
2000-03-09,27.63,27.69,27.25,27.5,9.65456921747,404300,0.0,1.0
2000-03-10,27.5,27.56,27.38,27.44,9.63350470281,395000,0.0,1.0
2000-03-13,27.25,27.69,27.25,27.69,9.72127351388,512900,0.0,1.0
2000-03-14,27.5,27.81,27.38,27.63,9.70020899923,473700,0.0,1.0
2000-03-15,27.5,29.13,27.5,29.13,10.2268218656,790100,0.0,1.0
2000-03-16,31.0,31.25,30.06,31.0,10.8833325724,1198300,0.0,1.0
2000-03-17,31.0,31.0,30.56,30.69,10.7744992467,798100,0.0,1.0
2000-03-20,30.5,30.94,30.44,30.69,10.7744992467,535200,0.0,1.0
2000-03-21,30.75,31.06,30.06,30.5,10.7077949503,575300,0.0,1.0
