timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,29.63,29.63,28.88,28.94,15.794783329,1368700,0.0,1.0
1999-11-02,28.94,29.19,28.31,28.94,15.794783329,925500,0.0,1.0
1999-11-03,28.81,28.81,28.31,28.5,15.5546414954,899900,0.0,1.0
1999-11-04,28.75,29.06,28.44,28.75,15.691085719,998000,0.0,1.0
1999-11-05,28.94,29.13,28.75,28.81,15.7238323327,853400,0.0,1.0
1999-11-08,28.38,28.69,28.38,28.5,15.5546414954,506500,0.0,1.0
1999-11-09,28.31,28.5,28.0,28.5,15.5546414954,687500,0.0,1.0
1999-11-10,28.25,28.38,27.69,27.81,15.1780554381,772700,0.0,1.0
1999-11-11,27.88,28.38,27.88,28.31,15.4509438854,981000,0.0,1.0
1999-11-12,28.5,28.5,28.19,28.5,15.5546414954,357300,0.0,1.0
1999-11-15,28.31,28.44,28.06,28.19,15.385450658,356100,0.0,1.0
1999-11-16,28.31,28.5,27.81,27.94,15.2490064344,1038900,0.0,1.0
1999-11-17,27.94,27.94,27.44,27.69,15.1125622108,726600,0.0,1.0
1999-11-18,27.63,27.75,27.19,27.38,14.9433713734,451500,0.0,1.0
1999-11-19,27.25,27.38,26.94,27.0,14.7359761535,664900,0.0,1.0
1999-11-22,27.0,27.13,26.31,26.59,14.5122076267,563100,0.0,1.0
1999-11-23,26.5,26.5,25.75,26.25,14.3266434826,700700,0.0,1.0
1999-11-24,26.44,26.94,26.38,26.94,14.7032295398,818400,0.0,1.0
1999-11-26,26.69,26.81,26.44,26.44,14.4303410925,208300,0.0,1.0
1999-11-29,26.31,26.5,25.75,25.88,14.1247060316,523600,0.0,1.0
1999-11-30,25.5,26.81,25.5,26.5,14.4630877062,912900,0.0,1.0
1999-12-01,26.5,26.75,26.38,26.38,14.3975944789,440000,0.0,1.0
1999-12-02,26.19,27.0,26.19,26.94,14.7032295398,694700,0.0,1.0
1999-12-03,27.06,27.25,26.88,27.06,14.7687227672,1179100,0.0,1.0
1999-12-06,26.94,27.0,25.75,26.06,14.2229458726,535700,0.0,1.0
1999-12-07,26.0,26.19,25.25,25.31,13.8136132017,821800,0.0,1.0
1999-12-08,25.5,25.63,24.94,25.06,13.677168978,673800,0.0,1.0
1999-12-09,25.19,25.5,24.75,24.75,13.5079781407,785500,0.0,1.0
1999-12-10,24.75,24.94,24.5,24.5,13.3715339171,529900,0.0,1.0
1999-12-13,24.56,24.56,24.19,24.25,13.2350896934,789400,0.0,1.0
1999-12-14,24.31,24.88,24.25,24.44,13.3387873034,542800,0.0,1.0
1999-12-15,24.5,25.25,24.25,25.25,13.780866588,832400,0.0,1.0
1999-12-16,25.38,25.38,25.06,25.13,13.7153733606,1007700,0.0,1.0
1999-12-17,25.75,25.75,25.25,25.31,13.8136132017,1088400,0.0,1.0
1999-12-20,25.44,25.75,25.25,25.75,14.0537550353,736000,0.0,1.0
1999-12-21,25.5,26.56,25.5,26.19,14.2938968689,979000,0.0,1.0
