timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-08-11,12.75,14.0,12.0,13.12,342.181499352,25360000,0.0,1.0
2000-08-14,13.09,13.12,12.0,12.0,312.970883553,2566400,0.0,1.0
2000-08-15,12.16,12.38,12.0,12.12,316.100592389,1548800,0.0,1.0
2000-08-16,12.06,13.06,12.06,12.38,322.881628199,1347200,0.0,1.0
2000-08-17,12.25,12.5,11.94,12.0,312.970883553,1510400,0.0,1.0
2000-08-18,12.53,14.38,12.38,14.31,373.217778637,1932800,0.0,1.0
2000-08-21,15.06,16.25,13.94,15.19,396.168976764,2128000,0.0,1.0
2000-08-22,15.38,15.69,13.5,13.5,352.092243997,1081600,0.0,1.0
2000-08-23,13.56,13.75,12.75,13.0,339.051790516,572800,0.0,1.0
2000-08-24,12.94,13.06,12.06,12.06,314.535737971,588800,0.0,1.0
2000-08-25,12.56,12.94,12.12,12.88,335.92208168,643200,0.0,1.0
2000-08-28,13.41,13.55,12.5,13.12,342.181499352,620800,0.0,1.0
2000-08-29,13.44,13.5,12.62,13.38,348.962535162,726400,0.0,1.0
2000-08-30,13.34,14.69,13.25,14.19,370.088069802,633600,0.0,1.0
2000-08-31,15.06,16.5,14.88,16.19,422.249883727,2793600,0.0,1.0
2000-09-01,16.12,16.25,15.0,15.75,410.774284664,886400,0.0,1.0
2000-09-05,15.81,16.25,15.5,15.56,405.818912341,736000,0.0,1.0
2000-09-06,16.12,16.25,15.25,15.5,404.254057923,656000,0.0,1.0
2000-09-07,16.0,16.0,13.38,14.38,375.043442125,764800,0.0,1.0
2000-09-08,14.27,14.5,13.75,14.0,365.132697479,508800,0.0,1.0
2000-09-11,13.81,14.0,13.5,13.88,362.002988643,1104000,0.0,1.0
2000-09-12,13.59,13.81,12.88,13.0,339.051790516,1081600,0.0,1.0
2000-09-13,12.75,13.12,12.38,12.5,326.011337035,329600,0.0,1.0
2000-09-14,13.88,13.88,12.5,12.69,330.966709358,259200,0.0,1.0
2000-09-15,12.56,13.0,12.5,12.56,327.576191452,115200,0.0,1.0
2000-09-18,13.12,13.25,11.94,12.06,314.535737971,595200,0.0,1.0
2000-09-19,13.09,13.12,10.75,11.25,293.410203331,1536000,0.0,1.0
2000-09-20,11.5,11.56,9.75,10.38,270.719814274,771200,0.0,1.0
2000-09-21,10.31,10.75,10.19,10.62,276.979231945,806400,0.0,1.0
2000-09-22,9.59,10.81,9.44,10.56,275.414377527,268800,0.0,1.0
2000-09-25,10.62,10.81,9.38,9.44,246.203761729,672000,0.0,1.0
2000-09-26,9.88,9.94,9.0,9.25,241.248389406,627200,0.0,1.0
2000-09-27,9.41,9.44,8.62,9.34,243.595671032,534400,0.0,1.0
2000-09-28,9.25,10.75,9.12,10.0,260.809069628,704000,0.0,1.0
2000-09-29,10.09,10.12,8.72,8.88,231.598453829,611200,0.0,1.0
2000-10-02,9.38,9.41,8.38,8.5,221.687709184,217600,0.0,1.0
2000-10-03,8.59,8.88,7.75,7.94,207.082401284,323200,0.0,1.0
2000-10-04,8.0,8.06,6.75,7.12,185.696057575,467200,0.0,1.0
2000-10-05,6.94,8.12,6.5,6.56,171.090749676,483200,0.0,1.0
2000-10-06,6.95,7.0,5.94,6.09,158.832723403,364800,0.0,1.0
2000-10-09,6.56,6.69,5.78,6.19,161.4408141,339200,0.0,1.0
2000-10-10,6.31,6.38,5.5,5.69,148.400360618,422400,0.0,1.0
2000-10-11,5.25,5.75,4.06,4.12,107.453336687,1356800,0.0,1.0
2000-10-12,5.09,5.25,4.5,5.19,135.359907137,1190400,0.0,1.0
2000-10-13,5.69,7.88,5.53,7.56,197.171656639,1369600,0.0,1.0
2000-10-16,8.12,8.19,7.38,8.12,211.776964538,1232000,0.0,1.0
2000-10-17,8.5,8.56,7.62,7.81,203.691883379,352000,0.0,1.0
2000-10-18,7.75,8.38,5.94,8.06,210.21211012,617600,0.0,1.0
2000-10-19,8.5,9.31,6.75,6.91,180.219067113,828800,0.0,1.0
2000-10-20,7.5,7.5,7.0,7.31,190.651429898,694400,0.0,1.0
2000-10-23,7.38,8.41,7.12,8.25,215.167482443,569600,0.0,1.0
2000-10-24,8.3,8.5,8.12,8.44,220.122854766,630400,0.0,1.0
2000-10-25,8.36,8.5,7.88,8.5,221.687709184,422400,0.0,1.0
2000-10-26,8.47,9.62,8.44,9.06,236.293017083,278400,0.0,1.0
2000-10-27,9.11,9.12,8.62,9.0,234.728162665,105600,0.0,1.0
2000-10-30,8.94,9.38,8.62,8.94,233.163308247,243200,0.0,1.0
2000-10-31,9.12,10.25,8.75,9.75,254.288842887,332800,0.0,1.0
2000-11-01,9.73,10.5,9.56,9.75,254.288842887,368000,0.0,1.0
2000-11-02,9.73,9.88,8.88,9.25,241.248389406,249600,0.0,1.0
2000-11-03,8.97,9.44,8.97,9.12,237.8578715,246400,0.0,1.0
2000-11-06,9.25,9.38,8.69,8.88,231.598453829,310400,0.0,1.0
2000-11-07,9.0,9.0,8.75,8.88,231.598453829,211200,0.0,1.0
2000-11-08,8.88,8.88,7.53,8.06,210.21211012,668800,0.0,1.0
2000-11-09,7.5,8.0,7.5,7.91,206.299974076,403200,0.0,1.0
2000-11-10,7.64,7.75,7.44,7.44,194.041947803,579200,0.0,1.0
2000-11-13,6.94,7.06,6.81,7.06,184.131203157,438400,0.0,1.0
2000-11-14,7.03,7.31,6.5,6.62,172.655604094,502400,0.0,1.0
2000-11-15,6.88,6.94,6.31,6.31,164.570522935,652800,0.0,1.0
2000-11-16,6.52,6.62,6.25,6.34,165.352950144,124800,0.0,1.0
2000-11-17,6.84,6.88,6.38,6.62,172.655604094,451200,0.0,1.0
2000-11-20,6.53,6.56,6.31,6.31,164.570522935,172800,0.0,1.0
2000-11-21,6.34,6.5,6.19,6.19,161.4408141,262400,0.0,1.0
2000-11-22,6.25,6.25,6.0,6.0,156.485441777,364800,0.0,1.0
2000-11-24,6.08,6.12,6.0,6.03,157.267868985,57600,0.0,1.0
2000-11-27,6.38,6.62,5.94,6.0,156.485441777,166400,0.0,1.0
2000-11-28,6.12,6.12,5.38,5.44,141.880133877,124800,0.0,1.0
2000-11-29,5.44,5.56,4.5,4.88,127.274825978,544000,0.0,1.0
2000-11-30,4.75,4.84,4.25,4.38,114.234372497,339200,0.0,1.0
2000-12-01,4.38,5.06,4.34,4.81,125.449162491,217600,0.0,1.0
2000-12-04,4.84,5.12,4.84,4.94,128.839680396,76800,0.0,1.0
2000-12-05,5.08,5.19,4.88,5.06,131.969389232,150400,0.0,1.0
2000-12-06,5.03,5.06,4.56,4.81,125.449162491,163200,0.0,1.0
2000-12-07,4.78,5.19,4.5,4.5,117.364081332,435200,0.0,1.0
2000-12-08,4.75,6.0,4.75,5.5,143.444988295,182400,0.0,1.0
2000-12-11,5.53,5.81,5.5,5.5,143.444988295,80000,0.0,1.0
2000-12-12,5.67,7.31,5.5,6.62,172.655604094,320000,0.0,1.0
2000-12-13,7.36,7.62,6.88,7.06,184.131203157,211200,0.0,1.0
2000-12-14,7.3,7.31,6.81,7.0,182.566348739,156800,0.0,1.0
2000-12-15,6.95,7.05,6.69,6.69,174.481267581,80000,0.0,1.0
2000-12-18,7.09,7.12,5.62,5.84,152.312496663,99200,0.0,1.0
2000-12-19,5.41,5.94,5.12,5.56,145.009842713,160000,0.0,1.0
2000-12-20,5.5,5.58,4.69,4.88,127.274825978,262400,0.0,1.0
2000-12-21,4.5,4.62,3.94,4.06,105.888482269,534400,0.0,1.0
2000-12-22,4.58,4.62,4.0,4.0,104.323627851,451200,0.0,1.0
2000-12-26,4.06,4.44,3.81,3.94,102.758773433,348800,0.0,1.0
2000-12-27,3.94,4.0,3.5,3.81,99.3682555282,220800,0.0,1.0
2000-12-28,3.75,3.81,3.25,3.5,91.2831743697,985600,0.0,1.0
2000-12-29,3.47,4.75,3.44,4.38,114.234372497,534400,0.0,1.0
2001-01-02,4.42,4.44,3.38,3.56,92.8480287875,432000,0.0,1.0
2001-01-03,3.44,4.5,3.25,3.62,94.4128832052,835200,0.0,1.0
2001-01-04,3.92,4.19,3.5,3.62,94.4128832052,310400,0.0,1.0
2001-01-05,3.75,4.06,3.56,4.0,104.323627851,160000,0.0,1.0
2001-01-08,4.0,4.06,3.75,3.94,102.758773433,166400,0.0,1.0
2001-01-09,4.0,4.0,3.56,3.72,97.0209739015,73600,0.0,1.0
2001-01-10,3.78,3.88,3.56,3.81,99.3682555282,179200,0.0,1.0
2001-01-11,3.81,4.06,3.59,3.88,101.193919016,246400,0.0,1.0
2001-01-12,3.92,4.62,3.92,4.62,120.493790168,547200,0.0,1.0
2001-01-16,4.75,5.25,4.5,5.0,130.404534814,204800,0.0,1.0
2001-01-17,5.25,6.0,5.19,5.62,146.574697131,220800,0.0,1.0
2001-01-18,5.92,6.12,5.75,5.81,151.530069454,217600,0.0,1.0
2001-01-19,5.88,6.06,5.75,5.88,153.355732941,291200,0.0,1.0
2001-01-22,6.0,6.25,5.75,6.0,156.485441777,268800,0.0,1.0
2001-01-23,6.02,6.5,5.94,6.38,166.396186422,134400,0.0,1.0
2001-01-24,6.77,7.5,6.31,7.0,182.566348739,419200,0.0,1.0
2001-01-25,6.94,7.0,6.5,6.5,169.525895258,182400,0.0,1.0
2001-01-26,5.94,6.12,5.5,6.0,156.485441777,249600,0.0,1.0
2001-01-29,6.16,6.38,6.0,6.06,158.050296194,89600,0.0,1.0
2001-01-30,6.19,6.19,5.88,5.94,154.920587359,80000,0.0,1.0
2001-01-31,6.05,6.25,5.75,5.94,154.920587359,262400,0.0,1.0
2001-02-01,5.94,6.19,5.91,6.0,156.485441777,48000,0.0,1.0
2001-02-02,6.0,6.06,5.88,6.0,156.485441777,38400,0.0,1.0
2001-02-05,5.97,5.97,5.38,5.38,140.31527946,70400,0.0,1.0
2001-02-06,5.0,5.41,4.88,5.28,137.707188763,102400,0.0,1.0
2001-02-07,5.28,6.12,5.19,6.12,159.615150612,131200,0.0,1.0
2001-02-08,6.56,7.0,6.25,6.5,169.525895258,489600,0.0,1.0
2001-02-09,6.75,6.75,5.81,6.19,161.4408141,137600,0.0,1.0
2001-02-12,6.0,6.5,5.88,6.0,156.485441777,73600,0.0,1.0
2001-02-13,6.12,6.22,5.53,5.88,153.355732941,182400,0.0,1.0
2001-02-14,5.86,5.91,5.25,5.44,141.880133877,44800,0.0,1.0
2001-02-15,5.5,5.88,5.12,5.12,133.534243649,102400,0.0,1.0
2001-02-16,5.22,5.25,4.0,4.47,116.581654124,1270400,0.0,1.0
2001-02-20,4.5,4.94,4.31,4.38,114.234372497,108800,0.0,1.0
2001-02-21,4.25,4.31,3.94,4.0,104.323627851,227200,0.0,1.0
2001-02-22,4.06,4.16,3.75,3.94,102.758773433,153600,0.0,1.0
2001-02-23,3.95,4.03,3.75,3.94,102.758773433,486400,0.0,1.0
2001-02-26,3.97,4.03,3.75,3.81,99.3682555282,307200,0.0,1.0
2001-02-27,3.8,3.84,3.62,3.78,98.5858283193,355200,0.0,1.0
2001-02-28,3.77,3.84,3.62,3.75,97.8034011104,108800,0.0,1.0
2001-03-01,3.72,3.75,3.09,3.16,82.4156660024,502400,0.0,1.0
2001-03-02,3.22,3.28,2.75,2.84,74.0697757743,342400,0.0,1.0
2001-03-05,2.98,3.03,2.75,2.91,75.8954392617,400000,0.0,1.0
2001-03-06,3.02,4.25,2.88,3.0,78.2427208883,806400,0.0,1.0
2001-03-07,3.16,3.16,2.88,3.0,78.2427208883,240000,0.0,1.0
2001-03-08,3.05,3.06,2.75,2.94,76.6778664705,182400,0.0,1.0
2001-03-09,3.0,3.06,2.75,2.78,72.5049213565,160000,0.0,1.0
2001-03-12,2.81,2.81,2.2,2.38,62.0725585714,595200,0.0,1.0
2001-03-13,2.06,2.31,2.0,2.25,58.6820406662,457600,0.0,1.0
2001-03-14,2.14,2.22,2.0,2.03,52.9442411344,339200,0.0,1.0
2001-03-15,2.12,2.25,1.94,1.94,50.5969595078,467200,0.0,1.0
2001-03-16,2.0,2.06,1.56,1.75,45.6415871848,352000,0.0,1.0
2001-03-19,1.84,2.09,1.84,1.94,50.5969595078,521600,0.0,1.0
2001-03-20,2.05,2.06,1.97,2.03,52.9442411344,620800,0.0,1.0
2001-03-21,2.03,2.06,1.94,2.0,52.1618139255,412800,0.0,1.0
2001-03-22,2.03,2.06,2.0,2.03,52.9442411344,172800,0.0,1.0
2001-03-23,2.0,2.06,1.94,2.03,52.9442411344,326400,0.0,1.0
2001-03-26,2.02,2.03,1.94,2.0,52.1618139255,73600,0.0,1.0
2001-03-27,2.0,2.03,1.62,1.62,42.2510692797,214400,0.0,1.0
2001-03-28,1.5,1.77,1.38,1.56,40.6862148619,492800,0.0,1.0
2001-03-29,1.66,1.75,1.38,1.41,36.7740788175,649600,0.0,1.0
2001-03-30,1.5,1.5,1.06,1.25,32.6011337035,998400,0.0,1.0
2001-04-02,1.38,1.44,1.0,1.12,29.2106157983,560000,0.0,1.0
2001-04-03,1.19,1.25,1.0,1.09,28.4281885894,838400,0.0,1.0
2001-04-04,1.19,1.25,1.0,1.03,26.8633341717,419200,0.0,1.0
2001-04-05,1.12,1.12,0.97,1.03,26.8633341717,819200,0.0,1.0
2001-04-06,1.03,1.03,0.5,0.59,15.387735108,2921600,0.0,1.0
2001-04-09,0.83,0.92,0.72,0.92,23.9944344057,1161600,0.0,1.0
2001-04-10,1.04,1.3,1.04,1.11,28.9498067287,1648000,0.0,1.0
2001-04-11,1.24,1.38,1.15,1.35,35.2092243997,2572800,0.0,1.0
2001-04-12,1.4,1.43,1.25,1.3,33.9051790516,793600,0.0,1.0
2001-04-16,1.4,1.45,1.35,1.38,35.9916516086,835200,0.0,1.0
2001-04-17,1.3,1.34,1.26,1.32,34.4267971909,358400,0.0,1.0
2001-04-18,1.36,1.5,1.35,1.46,38.0781241656,918400,0.0,1.0
2001-04-19,1.61,1.85,1.6,1.63,42.5118783493,1337600,0.0,1.0
2001-04-20,1.72,1.73,1.45,1.5,39.1213604442,678400,0.0,1.0
2001-04-23,1.5,1.53,1.19,1.23,32.0795155642,444800,0.0,1.0
2001-04-24,1.23,1.3,1.2,1.29,33.644369982,316800,0.0,1.0
2001-04-25,1.28,1.36,1.25,1.27,33.1227518427,508800,0.0,1.0
2001-04-26,1.29,1.3,1.25,1.25,32.6011337035,179200,0.0,1.0
2001-04-27,1.3,1.39,1.24,1.3,33.9051790516,528000,0.0,1.0
2001-04-30,1.36,1.38,1.27,1.32,34.4267971909,480000,0.0,1.0
2001-05-01,1.35,1.38,1.28,1.32,34.4267971909,496000,0.0,1.0
2001-05-02,1.36,1.91,1.32,1.73,45.1199690456,819200,0.0,1.0
2001-05-03,1.78,1.79,1.5,1.7,44.3375418367,400000,0.0,1.0
2001-05-04,1.7,1.7,1.52,1.62,42.2510692797,454400,0.0,1.0
2001-05-07,1.64,1.65,1.49,1.58,41.2078330012,454400,0.0,1.0
2001-05-08,1.58,1.7,1.58,1.62,42.2510692797,182400,0.0,1.0
2001-05-09,1.63,1.63,1.5,1.53,39.903787653,144000,0.0,1.0
2001-05-10,1.56,1.59,1.48,1.5,39.1213604442,208000,0.0,1.0
2001-05-11,1.56,1.56,1.2,1.39,36.2524606782,646400,0.0,1.0
2001-05-14,1.42,1.42,1.0,1.16,30.2538520768,672000,0.0,1.0
2001-05-15,1.18,1.3,1.18,1.27,33.1227518427,387200,0.0,1.0
2001-05-16,1.23,1.35,1.22,1.3,33.9051790516,131200,0.0,1.0
2001-05-17,1.31,1.37,1.2,1.25,32.6011337035,198400,0.0,1.0
2001-05-18,1.25,1.28,1.16,1.2,31.2970883553,585600,0.0,1.0
2001-05-21,1.21,1.43,1.2,1.39,36.2524606782,211200,0.0,1.0
2001-05-22,1.4,1.49,1.32,1.44,37.5565060264,124800,0.0,1.0
2001-05-23,1.47,1.47,1.35,1.43,37.2956969568,179200,0.0,1.0
2001-05-24,1.42,1.7,1.4,1.54,40.1645967227,316800,0.0,1.0
2001-05-25,1.6,1.64,1.45,1.5,39.1213604442,124800,0.0,1.0
2001-05-29,1.55,1.57,1.44,1.46,38.0781241656,144000,0.0,1.0
2001-05-30,1.48,1.49,1.26,1.3,33.9051790516,268800,0.0,1.0
2001-05-31,1.32,1.38,1.25,1.3,33.9051790516,195200,0.0,1.0
2001-06-01,1.38,1.38,1.24,1.35,35.2092243997,224000,0.0,1.0
2001-06-04,1.47,1.5,1.31,1.49,38.8605513745,284800,0.0,1.0
2001-06-05,1.5,1.56,1.45,1.52,39.6429785834,156800,0.0,1.0
2001-06-06,1.54,1.55,1.44,1.44,37.5565060264,60800,0.0,1.0
2001-06-07,1.41,1.47,1.31,1.36,35.4700334694,156800,0.0,1.0
2001-06-08,1.42,1.43,1.29,1.35,35.2092243997,208000,0.0,1.0
2001-06-11,1.36,1.37,1.28,1.35,35.2092243997,67200,0.0,1.0
2001-06-12,1.3,1.35,1.28,1.31,34.1659881212,60800,0.0,1.0
2001-06-13,1.35,1.4,1.33,1.33,34.6876062605,32000,0.0,1.0
2001-06-14,1.3,1.36,1.13,1.19,31.0362792857,275200,0.0,1.0
2001-06-15,1.22,1.22,1.05,1.15,29.9930430072,611200,0.0,1.0
2001-06-18,1.37,1.44,1.18,1.22,31.8187064946,448000,0.0,1.0
2001-06-19,1.28,1.28,1.2,1.23,32.0795155642,464000,0.0,1.0
2001-06-20,1.22,1.29,1.08,1.16,30.2538520768,153600,0.0,1.0
2001-06-21,1.05,1.2,1.01,1.14,29.7322339376,454400,0.0,1.0
2001-06-22,1.14,1.14,1.04,1.11,28.9498067287,102400,0.0,1.0
