timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,29.81,29.94,29.38,29.69,12.9318778652,398300,0.0,1.0
1999-11-02,29.69,30.0,29.69,29.94,13.0407687196,689800,0.0,1.0
1999-11-03,29.88,30.06,29.5,29.69,12.9318778652,486400,0.0,1.0
1999-11-04,29.25,29.38,28.81,29.0,12.6313391072,669400,0.0,1.0
1999-11-05,29.5,29.56,29.19,29.31,12.7663637666,379400,0.0,1.0
1999-11-08,29.0,29.31,28.88,28.94,12.7358743273,2740800,0.3,1.0
1999-11-09,29.06,29.19,28.81,28.94,12.7358743273,719700,0.0,1.0
1999-11-10,28.75,29.06,28.19,28.31,12.4586248171,415700,0.0,1.0
1999-11-11,28.13,28.38,27.69,27.88,12.2693910244,1122500,0.0,1.0
1999-11-12,28.0,28.06,27.75,27.88,12.2693910244,376800,0.0,1.0
1999-11-15,27.94,28.0,27.63,27.75,12.212180808,395700,0.0,1.0
1999-11-16,27.69,27.94,27.56,27.69,12.1857760928,422000,0.0,1.0
1999-11-17,27.63,27.75,27.38,27.56,12.1285658764,479000,0.0,1.0
1999-11-18,27.38,27.69,27.31,27.38,12.0493517306,535300,0.0,1.0
1999-11-19,27.5,27.69,27.25,27.31,12.0185462294,678200,0.0,1.0
1999-11-22,27.31,27.44,27.0,27.0,11.8821218673,787700,0.0,1.0
1999-11-23,27.25,27.25,26.63,26.75,11.7721022203,427600,0.0,1.0
1999-11-24,26.88,27.25,26.75,27.19,11.9657367989,708900,0.0,1.0
1999-11-26,27.06,27.25,26.88,26.94,11.855717152,306100,0.0,1.0
1999-11-29,26.75,26.94,26.56,26.94,11.855717152,809500,0.0,1.0
1999-11-30,27.0,27.63,27.0,27.56,12.1285658764,877400,0.0,1.0
1999-12-01,27.44,27.5,27.13,27.3,12.0141454436,1101200,0.0,1.0
1999-12-02,27.44,27.44,26.88,26.94,11.855717152,723400,0.0,1.0
