timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,42.75,42.75,40.88,41.5,36.4646809489,1403500,0.0,1.0
1999-11-02,41.5,42.5,40.75,41.81,36.7370677223,1433000,0.0,1.0
1999-11-03,42.0,42.25,41.0,41.44,36.4119609283,1178000,0.0,1.0
1999-11-04,41.44,41.44,40.19,40.75,35.8056806908,1501200,0.0,1.0
1999-11-05,41.06,42.44,41.0,41.88,36.7985744131,2124500,0.0,1.0
1999-11-08,41.88,44.38,41.56,44.31,38.9337352493,2718800,0.0,1.0
1999-11-09,45.75,45.94,42.94,44.0,38.661348476,2905600,0.0,1.0
1999-11-10,44.25,45.81,42.19,43.25,38.0023482179,4589100,0.0,1.0
1999-11-11,43.25,45.19,43.25,44.75,39.3203487341,2241500,0.0,1.0
1999-11-12,46.5,46.5,45.25,45.56,40.0320690129,1945000,0.0,1.0
1999-11-15,45.75,46.25,44.38,44.63,39.2149086928,1601300,0.0,1.0
1999-11-16,44.94,45.19,44.13,44.44,39.0479619607,1261400,0.0,1.0
1999-11-17,44.63,44.69,42.88,43.06,37.8354014858,1650300,0.0,1.0
1999-11-18,43.25,43.5,42.69,43.38,38.1165749293,1200600,0.0,1.0
1999-11-19,43.44,43.44,42.06,42.19,37.0709611864,1322900,0.0,1.0
1999-11-22,41.69,41.75,40.75,40.94,35.9726274229,1876600,0.0,1.0
1999-11-23,40.88,42.13,40.5,41.63,36.5789076603,1872100,0.0,1.0
1999-11-24,40.56,41.44,40.5,40.94,35.9726274229,1807700,0.0,1.0
1999-11-26,40.94,41.31,40.75,41.25,36.2450141962,786300,0.0,1.0
1999-11-29,41.69,43.31,41.56,42.88,37.6772414239,2739100,0.0,1.0
1999-11-30,43.13,43.5,42.06,42.06,36.956734475,1506400,0.0,1.0
1999-12-01,41.94,42.44,41.38,41.73,36.6667743614,1317300,0.0,1.0
1999-12-02,41.75,42.0,40.75,40.88,35.9199074022,1634600,0.0,1.0
1999-12-03,41.63,42.0,41.44,41.94,36.8512944337,1697200,0.0,1.0
1999-12-06,42.19,42.19,40.75,40.94,35.9726274229,1500000,0.0,1.0
1999-12-07,40.63,41.0,39.94,40.75,35.8056806908,1671800,0.0,1.0
