timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,73.13,73.63,72.0,73.56,27.4748942912,1359600,0.0,1.0
1999-11-02,73.0,73.31,70.44,71.0,26.5187261375,1540200,0.0,1.0
1999-11-03,71.5,71.81,69.5,70.06,26.1676331436,1170667,0.0,1.0
1999-11-04,70.38,72.0,70.25,71.38,26.6606573478,938600,0.0,1.0
1999-11-05,72.13,72.75,72.0,72.19,26.9631949277,587200,0.0,1.0
1999-11-08,72.06,72.19,71.63,72.09,26.9258446092,584467,0.0,1.0
1999-11-09,72.25,72.5,69.75,70.13,26.1937783666,493400,0.0,1.0
1999-11-10,69.75,70.88,68.75,70.81,26.4477605324,465400,0.0,1.0
1999-11-11,70.56,70.75,69.5,69.69,26.0294369651,515200,0.0,1.0
1999-11-12,70.22,72.06,70.06,71.94,26.8698191315,614267,0.0,1.0
1999-11-15,71.75,73.88,71.75,73.88,27.5944153104,905600,0.0,1.0
1999-11-16,73.91,75.13,73.75,74.94,27.9903286866,1223400,0.0,1.0
1999-11-17,75.0,75.44,73.19,73.75,27.5458598964,827467,0.0,1.0
1999-11-18,73.13,73.63,72.44,73.31,27.381518495,530267,0.0,1.0
1999-11-19,73.0,73.59,72.56,73.31,27.381518495,982467,0.0,1.0
1999-11-22,73.19,73.25,70.69,71.25,26.6121019338,1169400,0.0,1.0
1999-11-23,71.25,71.38,69.81,70.13,26.1937783666,605067,0.0,1.0
1999-11-24,69.88,69.94,69.0,69.5,25.95847136,721467,0.0,1.0
1999-11-26,69.5,69.56,68.75,69.19,25.8426853726,319800,0.0,1.0
1999-11-29,68.44,68.44,67.06,68.25,25.4915923787,1660800,0.0,1.0
1999-11-30,68.13,70.19,67.75,70.0,26.1452229525,806800,0.0,1.0
1999-12-01,69.44,69.63,67.38,67.75,25.3048407862,854667,0.0,1.0
1999-12-02,67.88,68.75,67.25,68.63,25.633523589,648267,0.0,1.0
1999-12-03,69.5,72.59,69.13,71.75,26.7988535263,786800,0.0,1.0
1999-12-06,71.5,71.5,68.13,69.19,25.8426853726,936000,0.0,1.0
1999-12-07,68.63,68.63,65.88,67.19,25.0956790025,1101000,0.0,1.0
1999-12-08,67.63,67.94,65.0,65.31,24.3934930147,711267,0.0,1.0
1999-12-09,65.88,66.88,64.44,65.84,24.5914497027,670667,0.0,1.0
1999-12-10,66.5,67.19,64.63,64.63,24.1395108489,521400,0.0,1.0
1999-12-13,64.59,66.0,63.5,65.81,24.5802446072,774000,0.0,1.0
1999-12-14,65.81,66.31,65.63,66.31,24.7669961997,1479400,0.0,1.0
1999-12-15,66.0,66.25,64.75,65.38,24.4196382376,494400,0.0,1.0
1999-12-16,65.5,66.19,63.88,65.19,24.3486726325,1812467,0.0,1.0
1999-12-17,65.25,66.69,65.13,65.94,24.6288000213,1806600,0.0,1.0
1999-12-20,66.25,67.88,66.25,67.75,25.3048407862,791467,0.0,1.0
1999-12-21,67.94,70.5,66.25,70.44,26.3095643539,955067,0.0,1.0
1999-12-22,70.63,71.63,70.56,71.13,26.5672815516,889667,0.0,1.0
1999-12-23,71.19,73.38,71.19,72.56,27.1013911062,1055400,0.0,1.0
1999-12-27,72.63,73.75,72.5,72.75,27.1723567113,844000,0.0,1.0
1999-12-28,72.56,73.19,70.88,71.63,26.7540331441,949667,0.0,1.0
1999-12-29,72.13,72.81,71.63,72.75,27.2619974758,266067,0.24,1.0
1999-12-30,73.0,73.94,72.02,73.66,27.6030066538,396267,0.0,1.0
1999-12-31,73.63,73.75,72.63,73.38,27.4980807529,189400,0.0,1.0
2000-01-03,72.75,72.75,68.69,69.87,26.1827596375,980800,0.0,1.0
2000-01-04,68.31,68.5,65.88,66.94,25.0847850313,1047400,0.0,1.0
2000-01-05,67.13,67.44,65.5,66.44,24.8974173511,745667,0.0,1.0
2000-01-06,66.0,68.31,65.0,68.25,25.5756883535,1189667,0.0,1.0
2000-01-07,68.0,69.0,66.81,67.81,25.4108047949,565800,0.0,1.0
2000-01-10,67.63,68.0,65.31,66.03,24.7437758533,616867,0.0,1.0
2000-01-11,65.75,66.0,63.63,64.06,24.0055471931,561600,0.0,1.0
2000-01-12,64.0,64.38,63.25,63.69,23.8668951097,928867,0.0,1.0
2000-01-13,64.0,65.88,63.88,65.5,24.5451661122,1129267,0.0,1.0
2000-01-14,65.94,67.06,65.63,66.38,24.8749332294,1210267,0.0,1.0
2000-01-18,66.38,66.38,64.44,65.0,24.3577984319,943067,0.0,1.0
2000-01-19,65.25,65.75,60.69,61.81,23.162392632,1169200,0.0,1.0
2000-01-20,62.06,62.06,59.69,60.0,22.4841216295,1289267,0.0,1.0
2000-01-21,61.0,61.13,59.63,60.13,22.5328372264,1259000,0.0,1.0
2000-01-24,60.06,60.63,57.56,57.72,21.6297250076,551067,0.0,1.0
2000-01-25,58.25,61.38,58.06,60.56,22.6939734314,849867,0.0,1.0
2000-01-26,61.06,63.44,60.5,63.19,23.6795274295,914867,0.0,1.0
2000-01-27,63.19,64.69,63.13,63.94,23.9605789498,688067,0.0,1.0
2000-01-28,63.88,63.88,61.88,62.94,23.5858435893,742667,0.0,1.0
2000-01-31,62.63,66.38,62.25,66.38,24.8749332294,897867,0.0,1.0
2000-02-01,66.0,66.0,63.38,64.44,24.1479466301,653400,0.0,1.0
2000-02-02,65.25,65.25,62.44,62.5,23.4209600307,640000,0.0,1.0
2000-02-03,62.5,65.63,62.44,65.44,24.5226819906,937200,0.0,1.0
2000-02-04,65.38,65.38,62.06,62.25,23.3272761906,729600,0.0,1.0
2000-02-07,62.63,62.63,60.5,61.88,23.1886241072,865867,0.0,1.0
2000-02-08,61.63,62.5,61.31,61.94,23.2111082288,822067,0.0,1.0
2000-02-09,61.75,62.06,60.0,60.56,22.6939734314,519000,0.0,1.0
2000-02-10,60.81,61.94,60.19,60.25,22.5778054696,539000,0.0,1.0
2000-02-11,60.63,61.56,59.88,60.03,22.4953636903,686467,0.0,1.0
2000-02-14,59.94,60.13,57.38,58.0,21.7346509085,792467,0.0,1.0
2000-02-15,58.06,58.75,57.13,58.75,22.0157024289,1137200,0.0,1.0
2000-02-16,58.88,59.25,57.44,59.22,22.1918280483,635667,0.0,1.0
2000-02-17,59.19,59.38,57.38,57.38,21.502314985,1074600,0.0,1.0
2000-02-18,57.88,58.06,55.44,55.44,20.7753283856,1782467,0.0,1.0
2000-02-22,55.88,55.88,53.88,54.44,20.4005930252,2792267,0.0,1.0
