timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,40.69,42.13,40.69,42.13,6.76491810063,189900,0.0,1.0
1999-11-02,42.25,43.56,41.75,43.06,6.91425049639,295900,0.0,1.0
1999-11-03,44.0,44.31,43.5,44.25,7.10533173398,228400,0.0,1.0
1999-11-04,45.0,45.13,44.19,44.94,7.21612673729,311600,0.0,1.0
1999-11-05,44.75,45.13,44.5,44.56,7.15510919924,219800,0.0,1.0
1999-11-08,44.63,45.63,44.63,45.5,7.30604731969,222000,0.0,1.0
1999-11-09,46.0,46.56,45.75,46.0,7.38633355397,243800,0.0,1.0
1999-11-10,46.0,46.88,46.0,46.38,7.44735109202,144700,0.0,1.0
1999-11-11,46.19,46.38,45.81,45.94,7.37669920586,123100,0.0,1.0
1999-11-12,46.25,46.69,45.63,46.13,7.40720797488,185400,0.0,1.0
1999-11-15,46.13,47.13,46.13,46.56,7.47625413637,99800,0.0,1.0
1999-11-16,46.81,47.75,46.81,47.38,7.60792356059,84300,0.0,1.0
1999-11-17,47.38,48.5,47.38,48.19,7.73798726013,117100,0.0,1.0
1999-11-18,48.38,48.5,47.94,48.0,7.7074784911,161400,0.0,1.0
1999-11-19,48.19,48.19,47.13,47.25,7.58704913968,119900,0.0,1.0
1999-11-22,47.25,47.88,47.0,47.0,7.54690602253,168700,0.0,1.0
1999-11-23,47.0,47.38,46.19,47.13,7.56778044345,202500,0.0,1.0
1999-11-24,47.25,47.5,46.94,47.06,7.55654037065,171100,0.0,1.0
1999-11-26,47.13,47.31,47.0,47.06,7.55654037065,53300,0.0,1.0
1999-11-29,47.06,47.44,46.81,47.38,7.60792356059,197900,0.0,1.0
1999-11-30,47.56,48.75,47.38,48.5,7.78776472538,210500,0.0,1.0
1999-12-01,49.0,49.0,47.63,48.25,7.74762160824,162600,0.0,1.0
1999-12-02,48.25,48.25,46.94,47.0,7.54690602253,117700,0.0,1.0
1999-12-03,47.5,49.25,47.31,49.0,7.86805095966,131600,0.0,1.0
1999-12-06,49.13,49.5,48.13,48.31,7.75725595635,98900,0.0,1.0
1999-12-07,48.38,48.5,46.63,46.63,7.48749420917,95500,0.0,1.0
1999-12-08,46.75,48.5,46.69,48.38,7.76849602915,132400,0.0,1.0
1999-12-09,48.25,48.31,46.25,46.25,7.42647667111,99100,0.0,1.0
1999-12-10,46.75,47.44,46.5,47.19,7.57741479156,197400,0.0,1.0
1999-12-13,47.19,47.88,47.0,47.5,7.62719225682,161300,0.0,1.0
1999-12-14,47.5,53.44,47.38,52.75,8.47019771678,380000,0.0,1.0
1999-12-15,52.75,52.75,49.63,49.94,8.01898908011,243200,0.0,1.0
