timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,87.0,87.0,85.56,85.88,11.2309275581,627000,0.0,1.0
1999-11-02,85.94,86.06,84.06,84.25,11.0177648669,640100,0.0,1.0
1999-11-03,84.81,85.63,84.25,84.63,11.0674592367,518900,0.0,1.0
1999-11-04,84.63,84.63,82.88,83.31,10.8948366892,755900,0.0,1.0
1999-11-05,83.0,83.13,82.38,82.69,10.8137564018,303700,0.0,1.0
1999-11-08,83.19,83.69,82.94,83.38,10.9039909152,289700,0.0,1.0
1999-11-09,42.0,42.0,40.81,41.19,10.773216258,253550,0.0,2.0
1999-11-10,41.44,41.63,40.75,41.25,10.7889092169,741700,0.0,1.0
1999-11-11,41.13,41.56,40.75,41.06,10.7392148472,377600,0.0,1.0
1999-11-12,41.88,41.88,40.81,40.88,10.6921359706,579100,0.0,1.0
1999-11-15,40.63,41.06,40.25,40.5,10.5927472311,469000,0.0,1.0
1999-11-16,40.5,41.0,40.38,40.75,10.6581345597,442600,0.0,1.0
1999-11-17,40.69,40.94,40.31,40.31,10.5430528614,681200,0.0,1.0
1999-11-18,40.31,40.5,38.5,39.06,10.2161162185,2040300,0.0,1.0
1999-11-19,39.25,39.69,38.88,39.19,10.2501176293,653500,0.0,1.0
1999-11-22,38.81,39.0,38.5,38.71,10.1245739584,1634800,0.0,1.0
1999-11-23,39.0,39.0,38.06,38.38,10.0382626847,602300,0.0,1.0
1999-11-24,38.0,38.31,37.69,38.06,9.95456690412,736400,0.0,1.0
1999-11-26,37.94,38.25,37.38,37.88,9.90748802753,267100,0.0,1.0
1999-11-29,37.38,38.06,37.31,38.0,9.93887394525,1298800,0.0,1.0
1999-11-30,37.5,38.06,37.44,37.69,9.85779365781,877400,0.0,1.0
1999-12-01,37.44,38.19,37.19,37.69,9.85779365781,913600,0.0,1.0
1999-12-02,37.56,38.06,37.38,37.75,9.87348661667,897100,0.0,1.0
1999-12-03,37.75,38.56,37.75,37.94,9.92318098639,1210800,0.0,1.0
1999-12-06,36.75,37.94,36.69,37.38,9.77671337036,1133300,0.0,1.0
1999-12-07,37.06,37.5,37.0,37.0,9.67732463091,1708900,0.0,1.0
1999-12-08,37.06,37.13,35.63,35.88,9.38438939884,1323100,0.0,1.0
1999-12-09,35.88,36.13,35.13,35.31,9.23530628966,955800,0.0,1.0
1999-12-10,35.06,35.25,34.69,34.81,9.10453163248,913100,0.0,1.0
1999-12-13,35.19,35.19,33.94,34.13,8.92667809872,1171600,0.0,1.0
1999-12-14,33.63,34.19,33.19,33.63,8.79590344155,1303900,0.0,1.0
1999-12-15,33.88,34.81,33.13,34.69,9.07314571476,1976900,0.0,1.0
1999-12-16,33.19,33.63,32.5,32.75,8.56574004492,2147500,0.0,1.0
1999-12-17,32.75,34.62,32.75,33.69,8.81159640041,3388800,0.0,1.0
1999-12-20,34.56,34.81,33.69,33.88,8.86129077014,1571800,0.0,1.0
1999-12-21,33.81,34.25,33.56,33.69,8.81159640041,1641900,0.0,1.0
1999-12-22,33.13,33.69,33.0,33.06,8.64682033237,1535600,0.0,1.0
1999-12-23,33.63,34.13,33.56,33.88,8.86129077014,1182600,0.0,1.0
1999-12-27,33.94,34.63,33.88,34.44,9.00775838617,1206000,0.0,1.0
1999-12-28,34.31,34.75,34.19,34.19,8.94237105759,951800,0.0,1.0
1999-12-29,35.0,35.13,34.63,34.63,9.0574527559,898400,0.0,1.0
1999-12-30,34.63,35.75,34.63,35.31,9.23530628966,901000,0.0,1.0
1999-12-31,35.19,36.31,35.19,35.75,9.35038798797,764500,0.0,1.0
2000-01-03,35.38,35.5,34.06,34.44,9.00775838617,1039100,0.0,1.0
2000-01-04,34.06,34.44,33.56,33.81,8.84298231813,773400,0.0,1.0
2000-01-05,33.19,34.19,33.19,34.0,8.89267668786,1009400,0.0,1.0
2000-01-06,33.56,34.0,32.94,33.56,8.84952105099,1646300,0.275,1.0
2000-01-07,34.44,34.56,33.5,33.63,8.86797952756,2264500,0.0,1.0
2000-01-10,33.63,33.81,32.88,32.94,8.68603168712,733100,0.0,1.0
2000-01-11,33.0,33.56,32.94,33.38,8.80205639696,926200,0.0,1.0
2000-01-12,33.25,33.94,33.19,33.31,8.7835979204,1093400,0.0,1.0
2000-01-13,33.0,33.88,32.88,33.44,8.81787794831,688800,0.0,1.0
2000-01-14,32.94,33.38,32.44,32.69,8.62010855652,757500,0.0,1.0
2000-01-18,32.0,33.25,31.81,33.0,8.70185323846,941600,0.0,1.0
2000-01-19,32.88,33.31,32.31,32.69,8.62010855652,1287700,0.0,1.0
2000-01-20,32.38,32.69,31.81,32.13,8.47244074399,968300,0.0,1.0
2000-01-21,32.13,32.25,31.31,31.5,8.30631445489,1143600,0.0,1.0
2000-01-24,31.5,32.0,31.0,31.19,8.22456977296,981400,0.0,1.0
2000-01-25,30.75,31.31,30.19,30.19,7.96087725058,578600,0.0,1.0
2000-01-26,31.44,31.56,30.56,31.0,8.17446819371,693800,0.0,1.0
2000-01-27,31.25,31.56,30.31,30.38,8.01097882983,660400,0.0,1.0
2000-01-28,30.88,30.94,30.0,30.25,7.97669880192,743000,0.0,1.0
2000-01-31,30.13,31.31,30.06,31.19,8.22456977296,671500,0.0,1.0
2000-02-01,31.56,31.63,30.0,30.25,7.97669880192,1628000,0.0,1.0
2000-02-02,30.25,30.81,29.5,30.13,7.94505569924,1287400,0.0,1.0
2000-02-03,30.13,30.69,29.38,30.63,8.07690196043,996900,0.0,1.0
2000-02-04,30.5,30.56,30.0,30.38,8.01097882983,717500,0.0,1.0
2000-02-07,30.88,31.13,29.5,30.56,8.05844348386,1205200,0.0,1.0
2000-02-08,30.94,31.0,30.56,30.81,8.12436661445,1179200,0.0,1.0
2000-02-09,30.81,30.94,30.44,30.5,8.04262193252,1513400,0.0,1.0
2000-02-10,30.38,30.5,29.75,30.06,7.92659722267,1892000,0.0,1.0
2000-02-11,30.44,30.69,30.13,30.44,8.02680038117,913700,0.0,1.0
2000-02-14,30.5,31.0,30.5,31.0,8.17446819371,1206600,0.0,1.0
2000-02-15,31.25,32.44,31.25,32.44,8.55418542593,1401400,0.0,1.0
2000-02-16,32.06,32.25,31.56,32.06,8.45398226743,866800,0.0,1.0
2000-02-17,32.13,32.56,31.75,32.38,8.53836387459,981600,0.0,1.0
2000-02-18,32.13,32.38,31.69,32.06,8.45398226743,714100,0.0,1.0
2000-02-22,32.06,33.56,32.06,33.44,8.81787794831,1170100,0.0,1.0
2000-02-23,33.19,33.81,32.88,33.44,8.81787794831,1564900,0.0,1.0
2000-02-24,33.38,33.38,32.63,33.13,8.73613326637,1523400,0.0,1.0
2000-02-25,32.94,33.13,32.69,33.0,8.70185323846,1681700,0.0,1.0
2000-02-28,32.94,33.13,32.81,32.94,8.68603168712,1030800,0.0,1.0
2000-02-29,32.94,33.19,32.75,32.94,8.68603168712,1217100,0.0,1.0
2000-03-01,33.06,33.81,32.94,33.19,8.75195481771,1431500,0.0,1.0
2000-03-02,32.81,32.88,31.5,32.19,8.48826229533,1595000,0.0,1.0
2000-03-03,32.19,32.75,31.88,32.38,8.53836387459,908000,0.0,1.0
2000-03-06,32.75,32.75,31.56,31.75,8.37223758549,1314100,0.0,1.0
2000-03-07,32.0,32.0,30.5,31.0,8.17446819371,2457500,0.0,1.0
2000-03-08,30.75,31.69,30.31,31.38,8.27467135221,1846200,0.0,1.0
2000-03-09,31.25,31.88,31.06,31.56,8.32213600624,1424800,0.0,1.0
2000-03-10,31.31,31.63,30.88,31.38,8.27467135221,1221000,0.0,1.0
2000-03-13,30.63,31.44,30.44,31.0,8.17446819371,1207600,0.0,1.0
2000-03-14,30.69,31.25,30.56,30.63,8.07690196043,741300,0.0,1.0
