timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,26.12,26.69,26.12,26.31,12.8164421209,485500,0.0,1.0
1999-11-02,26.31,27.12,26.25,26.69,13.0015522693,347000,0.0,1.0
1999-11-03,26.69,26.75,25.75,26.12,12.7238870466,605100,0.0,1.0
1999-11-04,26.12,26.25,25.81,26.0,12.6654312103,319400,0.0,1.0
1999-11-05,26.12,26.62,26.06,26.56,12.9382251133,239800,0.0,1.0
1999-11-08,27.0,27.0,26.0,26.38,12.8505413587,395600,0.0,1.0
1999-11-09,26.38,26.81,26.25,26.31,12.8164421209,171000,0.0,1.0
1999-11-10,26.25,26.56,26.12,26.19,12.7579862845,395300,0.0,1.0
1999-11-11,26.25,26.88,26.25,26.56,12.9382251133,120600,0.0,1.0
1999-11-12,26.56,27.0,26.25,26.25,12.7872142027,238800,0.0,1.0
1999-11-15,26.25,26.88,26.12,26.12,12.7238870466,398900,0.0,1.0
1999-11-16,26.38,26.94,26.19,26.94,13.1233352617,609700,0.0,1.0
1999-11-17,26.75,26.88,26.38,26.5,12.9089971951,257000,0.0,1.0
1999-11-18,26.5,26.69,26.12,26.19,12.7579862845,294100,0.0,1.0
1999-11-19,26.19,26.25,25.81,26.0,12.6654312103,317800,0.0,1.0
1999-11-22,25.88,26.19,25.5,26.06,12.6946591285,260600,0.0,1.0
1999-11-23,25.88,25.94,25.25,25.56,12.4510931437,237500,0.0,1.0
1999-11-24,25.5,26.06,25.44,26.0,12.6654312103,237100,0.0,1.0
1999-11-26,25.5,25.75,25.25,25.25,12.3000822331,172500,0.0,1.0
1999-11-29,25.5,25.5,25.31,25.31,12.3293101512,309500,0.0,1.0
1999-11-30,25.31,25.81,25.31,25.75,12.5436482179,257000,0.0,1.0
1999-12-01,25.5,25.69,25.44,25.56,12.5777474558,358900,0.26,1.0
1999-12-02,25.56,25.94,25.5,25.81,12.7007692423,300700,0.0,1.0
1999-12-03,25.88,26.25,25.81,25.88,12.7352153425,385600,0.0,1.0
1999-12-06,25.88,26.19,25.88,26.12,12.8533162576,706900,0.0,1.0
1999-12-07,26.12,26.25,25.88,25.94,12.7647405713,371200,0.0,1.0
1999-12-08,26.0,26.06,25.56,25.88,12.7352153425,659600,0.0,1.0
1999-12-09,25.62,25.75,25.25,25.31,12.4547256692,475100,0.0,1.0
1999-12-10,25.31,25.38,25.0,25.31,12.4547256692,340100,0.0,1.0
1999-12-13,25.5,25.5,25.0,25.28,12.4399630548,414300,0.0,1.0
1999-12-14,25.12,25.31,24.31,24.44,12.0266098521,434600,0.0,1.0
1999-12-15,24.25,24.88,23.88,24.0,11.8100915078,431900,0.0,1.0
1999-12-16,23.81,24.69,23.81,23.88,11.7510410502,875700,0.0,1.0
1999-12-17,23.81,24.31,23.75,23.81,11.71659495,759200,0.0,1.0
1999-12-20,24.12,24.19,23.38,23.44,11.5345227059,634800,0.0,1.0
