timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2011-03-10,31.2,31.5,30.7,31.02,23.966277767,64599900,0.0,1.0
2011-03-11,30.5,31.29,30.5,31.12,24.0435384948,9531600,0.0,1.0
2011-03-14,30.96,31.05,30.57,30.91,23.8812909664,8663800,0.0,1.0
2011-03-15,30.39,31.5,30.36,31.34,24.213512096,7121200,0.0,1.0
2011-03-16,31.25,31.95,31.12,31.25,24.1439774409,6157900,0.0,1.0
2011-03-17,31.54,31.93,31.4,31.91,24.6538982445,3332400,0.0,1.0
2011-03-18,32.11,33.08,31.9,33.06,25.5423966143,5463200,0.0,1.0
2011-03-21,33.39,33.39,32.0,32.25,24.916584719,3823500,0.0,1.0
2011-03-22,32.37,32.39,31.3904,31.87,24.6229939534,3943900,0.0,1.0
2011-03-23,31.7,32.68,31.5,32.68,25.2488058486,4216300,0.0,1.0
2011-03-24,32.53,32.95,32.5,32.69,25.2565319214,2125600,0.0,1.0
2011-03-25,32.71,33.1,32.58,32.95,25.4574098137,3026600,0.0,1.0
2011-03-28,32.87,33.11,32.75,33.04,25.5269444688,2098300,0.0,1.0
2011-03-29,33.44,34.01,33.05,33.89,26.1836606551,5137300,0.0,1.0
2011-03-30,34.57,34.57,33.93,34.24,26.4540732025,3049500,0.0,1.0
2011-03-31,34.0,34.11,33.665,33.87,26.1682085096,1960600,0.0,1.0
2011-04-01,33.89,34.1,33.66,33.74,26.0677695634,1822100,0.0,1.0
2011-04-04,33.87,33.87,33.31,33.67,26.013687054,2648000,0.0,1.0
2011-04-05,33.7,34.05,33.25,34.02,26.2840996013,3607100,0.0,1.0
2011-04-06,33.75,34.2,33.24,33.3,25.7278223611,2718500,0.0,1.0
2011-04-07,33.28,33.85,32.85,33.66,26.0059609812,1946900,0.0,1.0
2011-04-08,33.52,33.99,32.99,33.17,25.6273834149,2339800,0.0,1.0
2011-04-11,33.34,33.34,30.79,32.12,24.8161457729,15028000,0.0,1.0
2011-04-12,32.11,32.59,31.33,31.53,24.3603074788,3848800,0.0,1.0
2011-04-13,32.0,32.45,31.7,32.06,24.7697893362,3969800,0.0,1.0
2011-04-14,31.89,32.5,31.79,32.14,24.8315979185,1565900,0.0,1.0
2011-04-15,32.3,32.38,31.89,31.98,24.707980754,3072800,0.0,1.0
2011-04-18,31.82,32.54,30.75,32.08,24.7852414818,2911100,0.0,1.0
2011-04-19,33.08,33.1,31.66,31.74,24.5225550072,3838100,0.0,1.0
2011-04-20,32.0,32.1897,31.15,31.65,24.4530203522,3866100,0.0,1.0
2011-04-21,31.81,31.98,31.27,31.4,24.2598685327,1462000,0.0,1.0
2011-04-25,31.56,31.5999,31.1,31.4,24.2598685327,732700,0.0,1.0
2011-04-26,31.35,32.07,31.16,32.0,24.7234328995,1800000,0.0,1.0
2011-04-27,32.26,33.0,32.2503,32.65,25.2256276303,3354500,0.0,1.0
2011-04-28,32.51,32.99,32.25,32.57,25.163819048,1600000,0.0,1.0
2011-04-29,32.5,32.86,32.03,32.8,25.341518722,1233900,0.0,1.0
2011-05-02,32.8,33.79,32.8,33.44,25.83598738,2786200,0.0,1.0
2011-05-03,33.59,33.882,31.94,32.61,25.1947233392,3429400,0.0,1.0
2011-05-04,33.1,33.96,32.79,33.55,25.9209741806,4518300,0.0,1.0
2011-05-05,33.45,34.74,33.15,34.34,26.5313339303,2613000,0.0,1.0
2011-05-06,34.06,34.5,33.89,34.25,26.4617992753,1601300,0.0,1.0
2011-05-09,34.35,34.75,34.14,34.49,26.647225022,1996100,0.0,1.0
2011-05-10,34.03,34.86,34.0,34.59,26.7244857498,1475100,0.0,1.0
2011-05-11,34.2,34.79,34.06,34.54,26.6858553859,1431700,0.0,1.0
2011-05-12,34.3,34.59,34.12,34.51,26.6626771676,814000,0.0,1.0
2011-05-13,34.43,34.769,34.232,34.6,26.7322118226,1694000,0.0,1.0
2011-05-16,34.3,34.6,34.05,34.25,26.4617992753,1719900,0.0,1.0
2011-05-17,34.21,34.95,34.0,34.54,26.6858553859,3131000,0.0,1.0
2011-05-18,34.4,35.24,34.15,35.07,27.0953372433,2070300,0.0,1.0
2011-05-19,35.02,35.23,34.5,35.05,27.0798850978,1183900,0.0,1.0
2011-05-20,34.9,35.04,34.15,34.63,26.7553900409,2012400,0.0,1.0
2011-05-23,34.4,34.55,34.0,34.41,26.5854164398,2200000,0.0,1.0
2011-05-24,34.53,34.64,34.07,34.49,26.647225022,3000000,0.0,1.0
2011-05-25,34.57,35.0,34.24,34.68,26.7940204049,2539100,0.0,1.0
2011-05-26,34.9,34.91,34.05,34.83,26.9099114966,1796500,0.0,1.0
2011-05-27,34.92,35.1,34.41,34.74,26.8403768415,1474700,0.0,1.0
2011-05-31,34.99,35.31,34.56,34.89,26.9562679333,8113400,0.0,1.0
2011-06-01,35.0,35.27,34.42,34.77,26.8635550599,3049800,0.0,1.0
2011-06-02,34.84,35.05,34.25,34.36,26.5467860759,2160100,0.0,1.0
2011-06-03,34.0,34.15,33.72,34.14,26.3768124747,2519100,0.0,1.0
2011-06-06,33.98,34.28,33.06,33.74,26.0677695634,2361000,0.0,1.0
2011-06-07,33.79,34.9,33.73,34.52,26.6704032404,1896300,0.0,1.0
2011-06-08,34.57,34.99,34.25,34.76,26.8558289871,1458400,0.0,1.0
2011-06-09,35.03,35.37,34.58,35.24,27.2266804806,1634100,0.0,1.0
2011-06-10,35.0,35.0,33.86,33.9,26.1913867279,2222700,0.0,1.0
2011-06-13,34.15,34.15,33.25,33.65,25.9982349084,1671700,0.0,1.0
2011-06-14,33.8,34.07,33.26,33.54,25.9132481078,1846300,0.0,1.0
2011-06-15,33.25,33.52,32.62,33.15,25.6119312693,2544700,0.0,1.0
2011-06-16,34.05,34.8,33.5,33.87,26.1682085096,5779300,0.0,1.0
2011-06-17,34.0,34.99,33.95,34.59,26.7244857498,3872600,0.0,1.0
2011-06-20,34.72,34.72,34.05,34.23,26.4463471297,1461700,0.0,1.0
2011-06-21,34.2,34.36,33.5,33.9,26.1913867279,2728100,0.0,1.0
2011-06-22,33.9,33.995,33.36,33.42,25.8205352344,2487500,0.0,1.0
2011-06-23,33.3,33.44,32.28,33.21,25.658287706,3222100,0.0,1.0
2011-06-24,33.31,33.31,32.16,32.25,24.916584719,11475100,0.0,1.0
2011-06-27,32.4,32.71,31.49,32.48,25.094284393,3136700,0.0,1.0
2011-06-28,32.59,33.08,32.58,32.75,25.3028883581,2536500,0.0,1.0
2011-06-29,32.98,33.3,32.59,32.76,25.3106144309,1405800,0.0,1.0
2011-06-30,32.78,33.39,32.63,33.0,25.4960401776,1479200,0.0,1.0
2011-07-01,33.14,33.5,32.54,33.06,25.5423966143,1663200,0.0,1.0
2011-07-05,33.07,33.47,32.98,33.17,25.6273834149,957900,0.0,1.0
2011-07-06,33.26,34.17,33.12,33.99,26.260921383,2467500,0.0,1.0
2011-07-07,34.25,34.74,34.0,34.29,26.4927035664,1928600,0.0,1.0
2011-07-08,33.96,34.01,33.29,33.83,26.1373042185,874800,0.0,1.0
2011-07-11,33.54,33.665,32.99,33.06,25.5423966143,777900,0.0,1.0
2011-07-12,33.05,33.73,32.65,32.8,25.341518722,1075800,0.0,1.0
2011-07-13,32.98,33.67,32.81,33.24,25.6814659244,1120100,0.0,1.0
2011-07-14,33.3,33.54,32.98,33.22,25.6660137788,1107800,0.0,1.0
2011-07-15,33.27,33.28,32.74,33.22,25.6660137788,1116700,0.0,1.0
2011-07-18,33.04,33.0723,32.44,32.59,25.1792711936,1609500,0.0,1.0
2011-07-19,33.04,33.93,32.87,33.03,25.519218396,2768200,0.0,1.0
2011-07-20,33.2,33.51,32.69,33.25,25.6891919972,721700,0.0,1.0
2011-07-21,33.43,34.56,33.43,34.43,26.6008685853,1554300,0.0,1.0
2011-07-22,34.32,34.92,34.02,34.61,26.7399378954,2101300,0.0,1.0
2011-07-25,30.05,30.8,27.51,27.97,21.6098255687,25100300,0.0,1.0
2011-07-26,27.67,28.38,26.9636,28.04,21.6639080782,7726300,0.0,1.0
2011-07-27,27.96,28.38,27.33,27.37,21.1462612019,7519300,0.0,1.0
2011-07-28,27.52,27.9,26.89,27.22,21.0303701102,3745300,0.0,1.0
2011-07-29,27.03,27.15,26.5,26.68,20.61316218,4122700,0.0,1.0
2011-08-01,26.96,27.19,23.53,24.94,19.2688255161,11984800,0.0,1.0
2011-08-02,25.95,26.09,24.34,24.64,19.0370433326,4763100,0.0,1.0
2011-08-03,24.57,24.8971,22.71,24.76,19.129756206,8645800,0.0,1.0
2011-08-04,24.63,24.65,22.58,22.9,17.6927066687,6587900,0.0,1.0
2011-08-05,23.09,23.25,21.69,21.99,16.9896340456,5344500,0.0,1.0
2011-08-08,21.58,21.67,17.25,18.19,14.0537263888,10496600,0.0,1.0
2011-08-09,18.51,19.26,17.03,18.35,14.1773435533,8246200,0.0,1.0
2011-08-10,17.8,18.96,17.68,18.58,14.3550432273,12044400,0.0,1.0
2011-08-11,18.79,19.87,18.75,19.47,15.0426637048,7056800,0.0,1.0
2011-08-12,19.52,21.41,18.59,21.22,16.3947264415,6145000,0.0,1.0
2011-08-15,21.42,23.55,21.42,22.58,17.4454723397,7085300,0.0,1.0
2011-08-16,22.33,22.41,21.52,21.77,16.8196604445,2753200,0.0,1.0
2011-08-17,21.95,22.06,20.81,20.99,16.2170267675,3437400,0.0,1.0
2011-08-18,20.49,20.7,19.67,19.96,15.4212412711,3699900,0.0,1.0
2011-08-19,19.67,20.05,19.06,19.27,14.8881422492,1865200,0.0,1.0
2011-08-22,19.57,19.91,18.8,19.06,14.7258947208,1310900,0.0,1.0
2011-08-23,19.14,19.595,18.55,19.58,15.1276505054,3408800,0.0,1.0
2011-08-24,19.56,20.24,19.09,20.04,15.4830498533,2030400,0.0,1.0
2011-08-25,20.24,20.24,18.87,19.06,14.7258947208,1532500,0.0,1.0
2011-08-26,19.02,19.6,18.47,19.5,15.0658419231,1456000,0.0,1.0
2011-08-29,19.73,20.44,19.64,19.98,15.4366934166,2126400,0.0,1.0
2011-08-30,19.93,20.0,19.61,19.86,15.3439805433,1880200,0.0,1.0
2011-08-31,19.89,20.41,19.75,20.03,15.4753237805,2863200,0.0,1.0
2011-09-01,20.16,20.62,19.08,19.19,14.8263336669,1599200,0.0,1.0
2011-09-02,18.82,19.0,18.31,18.65,14.4091257367,1920900,0.0,1.0
2011-09-06,18.08,18.91,17.87,18.76,14.4941125373,2363000,0.0,1.0
2011-09-07,19.1,20.11,18.9,19.84,15.3285283977,2327200,0.0,1.0
2011-09-08,19.71,20.15,19.42,19.49,15.0581158504,1371000,0.0,1.0
2011-09-09,19.32,19.5899,18.28,18.3,14.1387131894,2378000,0.0,1.0
2011-09-12,17.795,18.84,17.6,18.4,14.2159739172,3584300,0.0,1.0
2011-09-13,18.07,18.07,17.2,17.66,13.6442445314,4192500,0.0,1.0
2011-09-14,17.71,19.11,17.6,18.61,14.3782214456,7234800,0.0,1.0
2011-09-15,19.96,21.0,19.93,20.84,16.1011356758,7338600,0.0,1.0
2011-09-16,21.26,21.54,20.75,21.23,16.4024525143,3972600,0.0,1.0
