timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,75.63,77.06,75.56,76.25,33.2380740676,3602800,0.0,1.0
1999-11-02,77.0,77.5,75.75,77.0,33.5650059436,3789400,0.0,1.0
1999-11-03,76.75,76.94,74.88,75.25,32.8021648995,3053000,0.0,1.0
1999-11-04,76.31,76.94,75.69,76.0,33.1290967755,2250667,0.0,1.0
1999-11-05,77.0,78.75,77.0,78.0,34.0009151117,3704400,0.0,1.0
1999-11-08,78.0,79.44,77.56,79.13,34.4934924717,3963267,0.0,1.0
1999-11-09,78.56,80.0,76.31,80.0,34.8727334479,6376000,0.0,1.0
1999-11-10,77.75,78.0,76.94,77.19,33.6478286856,4324667,0.0,1.0
1999-11-11,77.38,78.94,77.06,78.81,34.3540015379,2483667,0.0,1.0
1999-11-12,79.44,80.63,78.81,80.44,35.0645334819,3155067,0.0,1.0
1999-11-15,80.81,80.81,77.94,78.75,34.3278469878,4470000,0.0,1.0
1999-11-16,78.75,80.38,77.88,80.38,35.0383789318,4448067,0.0,1.0
1999-11-17,80.13,81.63,79.81,79.94,34.8465788978,3999667,0.0,1.0
1999-11-18,80.25,83.5,80.06,83.0,36.1804609522,6823800,0.0,1.0
1999-11-19,82.44,83.0,81.44,82.25,35.8535290762,4187667,0.0,1.0
1999-11-22,82.88,82.88,80.44,81.5,35.5265972001,3649267,0.0,1.0
1999-11-23,80.06,81.25,79.81,80.69,35.1735107739,3493400,0.0,1.0
1999-11-24,80.44,80.75,79.06,79.5,34.6547788639,2912667,0.0,1.0
1999-11-26,79.88,80.5,79.75,80.5,35.090688032,1236200,0.0,1.0
1999-11-29,80.31,80.63,79.56,80.0,34.8727334479,2724200,0.0,1.0
1999-11-30,80.81,81.0,79.0,79.19,34.5458015719,3068800,0.06,1.0
1999-12-01,79.69,81.38,79.38,81.31,35.4706291932,3446667,0.0,1.0
1999-12-02,81.25,82.5,80.25,81.27,35.4531796154,3595067,0.0,1.0
1999-12-03,83.0,84.38,82.81,84.25,36.7531731586,4721800,0.0,1.0
1999-12-06,84.19,84.19,82.75,83.35,36.360557659,2636800,0.0,1.0
1999-12-07,83.44,83.88,82.63,83.25,36.3169337146,2950000,0.0,1.0
1999-12-08,83.69,85.5,83.06,84.29,36.7706227364,3799667,0.0,1.0
1999-12-09,83.25,87.38,83.25,87.25,38.0618914906,6136067,0.0,1.0
1999-12-10,88.0,89.44,87.81,89.0,38.8253105177,5247800,0.0,1.0
1999-12-13,89.94,93.0,89.63,91.11,39.7457757446,6056400,0.0,1.0
1999-12-14,92.31,92.88,90.94,92.5,40.3521485717,5036867,0.0,1.0
1999-12-15,91.0,93.75,90.63,93.5,40.7883880158,6807000,0.0,1.0
1999-12-16,93.63,96.75,93.13,96.69,42.1799918422,5135200,0.0,1.0
1999-12-17,96.94,98.75,96.81,98.75,43.0786450969,9681200,0.0,1.0
1999-12-20,98.5,98.81,95.75,98.47,42.9564980525,4673667,0.0,1.0
1999-12-21,96.25,96.81,94.88,95.8,41.791738737,3308867,0.0,1.0
1999-12-22,96.44,97.19,95.06,96.31,42.0142208535,2324067,0.0,1.0
1999-12-23,97.44,97.94,96.38,97.13,42.3719371976,2412000,0.0,1.0
1999-12-27,98.0,98.63,97.13,97.81,42.6685800195,3947667,0.0,1.0
1999-12-28,97.81,101.6,97.5,99.63,43.4625358076,3224800,0.0,1.0
1999-12-29,101.8,103.1,100.5,100.9,44.0165599015,2657400,0.0,1.0
1999-12-30,101.8,102.4,99.88,100.2,43.7111922907,2805667,0.0,1.0
