timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,14.38,14.38,14.25,14.25,0.425724950823,18700,0.0,1.0
1999-11-02,14.25,14.38,14.25,14.38,0.429608757391,10200,0.0,1.0
1999-11-03,14.5,14.5,14.38,14.5,0.433193809609,1600,0.0,1.0
1999-11-04,14.62,14.62,14.62,14.62,0.436778861826,1800,0.0,1.0
1999-11-05,14.62,14.62,14.5,14.5,0.433193809609,900,0.0,1.0
1999-11-08,14.5,14.62,14.5,14.62,0.436778861826,3200,0.0,1.0
1999-11-09,14.44,14.56,14.38,14.38,0.429608757391,21500,0.0,1.0
1999-11-10,14.5,14.62,14.5,14.62,0.436778861826,1800,0.0,1.0
1999-11-11,14.56,14.62,14.5,14.62,0.436778861826,23500,0.0,1.0
1999-11-12,14.44,14.5,14.31,14.31,0.427517476931,13900,0.0,1.0
1999-11-15,14.31,14.62,14.31,14.62,0.436778861826,5200,0.0,1.0
1999-11-16,14.75,14.75,14.56,14.62,0.436778861826,4400,0.0,1.0
1999-11-17,14.5,14.75,14.5,14.62,0.436778861826,5300,0.0,1.0
1999-11-18,14.56,14.69,14.31,14.44,0.4314012835,4900,0.0,1.0
1999-11-19,14.5,14.56,14.5,14.5,0.433193809609,11900,0.0,1.0
1999-11-22,14.5,14.56,14.5,14.56,0.434986335718,3700,0.0,1.0
1999-11-23,14.5,14.69,14.5,14.69,0.438870142287,15400,0.0,1.0
1999-11-24,14.62,14.69,14.5,14.5,0.433193809609,24400,0.0,1.0
1999-11-26,14.38,14.38,14.38,14.38,0.429608757391,1300,0.0,1.0
1999-11-29,14.5,14.5,14.5,14.5,0.433193809609,2000,0.0,1.0
1999-11-30,14.5,14.5,14.38,14.38,0.429608757391,1600,0.0,1.0
1999-12-01,14.38,14.38,14.38,14.38,0.429608757391,1800,0.0,1.0
1999-12-02,14.38,14.38,14.38,14.38,0.429608757391,2800,0.0,1.0
1999-12-03,14.38,14.38,14.38,14.38,0.429608757391,1900,0.0,1.0
1999-12-06,14.38,14.38,14.06,14.06,0.420048618145,44200,0.0,1.0
1999-12-07,14.0,14.0,13.5,13.75,0.41078723325,7400,0.0,1.0
1999-12-08,13.62,13.62,13.12,13.25,0.395849515677,4300,0.0,1.0
1999-12-09,13.25,13.38,13.12,13.19,0.394056989568,10900,0.0,1.0
1999-12-10,13.12,13.25,13.0,13.25,0.395849515677,6000,0.0,1.0
