timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2011-03-22,35.72,37.6,34.0,37.49,33.336430176,491400,0.0,1.0
2011-03-23,37.07,37.8,36.95,37.25,33.1230201135,601200,0.0,1.0
2011-03-24,37.5,37.5,37.15,37.25,33.1230201135,230400,0.0,1.0
2011-03-25,37.5,39.25,37.25,39.25,34.9014373008,497400,0.0,1.0
2011-03-28,39.0,39.0,37.75,37.75,33.5676244103,53100,0.0,1.0
2011-03-29,37.76,37.95,37.47,37.5,33.3453222619,269300,0.0,1.0
2011-03-30,37.95,38.49,36.58,38.2,33.9677682775,8573500,0.0,1.0
2011-03-31,38.45,42.74,38.0,41.5,36.9021566365,2653000,0.0,1.0
2011-04-01,40.99,42.44,39.84,40.04,35.6039120898,2222900,0.0,1.0
2011-04-04,39.86,41.02,39.14,40.15,35.7017250351,1122700,0.0,1.0
2011-04-05,39.53,40.33,38.73,40.25,35.7906458945,1373400,0.0,1.0
2011-04-06,39.86,40.31,39.12,39.68,35.2837969961,2080100,0.0,1.0
2011-04-07,38.25,39.25,37.51,38.8,34.5012934337,2134600,0.0,1.0
2011-04-08,38.33,38.88,38.2,38.5,34.2345308556,1307200,0.0,1.0
2011-04-11,38.5,38.58,38.28,38.32,34.0744733087,1563100,0.0,1.0
2011-04-12,37.91,38.42,37.66,38.05,33.8343869884,1637500,0.0,1.0
2011-04-13,37.71,38.37,37.28,38.0,33.7899265588,1649100,0.0,1.0
2011-04-14,37.9,39.36,37.85,38.77,34.4746171759,1232400,0.0,1.0
2011-04-15,38.89,40.75,38.81,40.14,35.6928329492,1502100,0.0,1.0
2011-04-18,39.45,40.22,38.59,40.05,35.6128041757,793700,0.0,1.0
2011-04-19,40.08,40.12,39.49,39.78,35.3727178555,802400,0.0,1.0
2011-04-20,40.14,40.36,39.5,40.06,35.6216962617,358200,0.0,1.0
2011-04-21,40.03,40.19,39.18,39.31,34.9547898164,799400,0.0,1.0
2011-04-25,39.13,39.41,38.61,39.07,34.741379754,298000,0.0,1.0
2011-04-26,38.97,39.71,38.7,39.34,34.9814660742,696700,0.0,1.0
2011-04-27,38.97,40.2,38.1,40.01,35.577235832,772000,0.0,1.0
2011-04-28,40.0,40.24,39.58,39.99,35.5594516601,692000,0.0,1.0
2011-04-29,40.0,40.17,39.94,40.0,35.5683437461,556000,0.0,1.0
2011-05-02,39.41,41.19,39.05,40.98,36.4397681678,542100,0.0,1.0
2011-05-03,40.89,41.09,40.38,40.5,36.0129480429,539000,0.0,1.0
2011-05-04,40.4,40.67,39.59,39.95,35.5238833164,591800,0.0,1.0
2011-05-05,39.81,41.2,39.5,39.84,35.4260703711,635800,0.0,1.0
2011-05-06,40.01,40.15,39.34,39.5,35.1237394492,413800,0.0,1.0
2011-05-09,39.33,39.85,38.86,39.6,35.2126603086,368900,0.0,1.0
2011-05-10,39.79,40.34,39.77,40.17,35.719509207,709100,0.0,1.0
2011-05-11,39.48,39.5,38.5,38.78,34.4835092618,1297900,0.0,1.0
2011-05-12,38.8,38.9,38.27,38.39,34.1367179103,382000,0.0,1.0
2011-05-13,38.31,38.61,37.97,38.46,34.1989625118,435000,0.0,1.0
2011-05-16,38.2,38.89,38.2,38.69,34.4034804884,303700,0.0,1.0
2011-05-17,38.41,38.88,38.41,38.78,34.4835092618,369700,0.0,1.0
2011-05-18,38.64,38.65,38.09,38.5,34.2345308556,559900,0.0,1.0
2011-05-19,38.45,38.68,38.0,38.38,34.1278258243,519700,0.0,1.0
2011-05-20,38.33,38.37,37.85,38.06,33.8432790744,349000,0.0,1.0
2011-05-23,37.73,38.15,37.31,37.8,33.61208484,283600,0.0,1.0
2011-05-24,37.71,37.86,37.01,37.17,33.051883426,368900,0.0,1.0
2011-05-25,37.02,37.1,36.61,36.67,32.6072791292,327400,0.0,1.0
2011-05-26,36.43,36.64,36.29,36.42,32.3849769808,481700,0.0,1.0
2011-05-27,36.68,36.9,36.45,36.58,32.5272503558,241300,0.0,1.0
2011-05-31,36.76,37.38,36.44,36.57,32.5183582698,835400,0.0,1.0
2011-06-01,36.57,36.57,35.96,36.1,32.1004302308,669000,0.0,1.0
2011-06-02,36.02,36.24,35.86,36.05,32.0559698011,317500,0.0,1.0
2011-06-03,35.67,36.04,35.24,35.8,31.8336676527,421500,0.0,1.0
2011-06-06,35.69,36.13,35.51,35.98,31.9937251996,355200,0.0,1.0
2011-06-07,36.0,36.53,35.89,36.44,32.4027611527,252100,0.0,1.0
2011-06-08,36.28,37.11,36.28,36.97,32.8740417073,254000,0.0,1.0
2011-06-09,36.94,37.41,36.81,36.99,32.8918258792,986800,0.0,1.0
2011-06-10,36.86,36.86,36.15,36.33,32.3049482074,462200,0.0,1.0
2011-06-13,36.33,36.74,36.33,36.51,32.4650057542,385600,0.0,1.0
2011-06-14,36.7,36.75,36.36,36.58,32.5272503558,231300,0.0,1.0
2011-06-15,36.25,36.35,35.88,36.16,32.1537827464,289200,0.0,1.0
2011-06-16,36.11,36.44,35.97,36.0,32.0115093714,290100,0.0,1.0
2011-06-17,36.18,36.43,35.86,35.95,31.9670489418,494300,0.0,1.0
2011-06-20,35.83,36.42,35.81,35.99,32.0026172855,1960200,0.0,1.0
2011-06-21,36.07,36.45,36.03,36.35,32.3227323792,198100,0.0,1.0
2011-06-22,36.18,36.69,36.0,36.15,32.1448906605,129800,0.0,1.0
2011-06-23,36.0,36.12,35.72,35.9,31.9225885121,169000,0.0,1.0
2011-06-24,35.98,35.98,35.25,35.59,31.6469338481,538600,0.0,1.0
2011-06-27,35.5,35.95,35.17,35.2,31.3001424965,162300,0.0,1.0
2011-06-28,35.3,35.72,35.05,35.26,31.3534950121,160300,0.0,1.0
2011-06-29,35.26,35.35,34.72,34.82,30.9622432309,328600,0.0,1.0
2011-06-30,34.86,35.05,34.23,34.5,30.677696481,600700,0.0,1.0
2011-07-01,34.51,35.08,34.45,34.61,30.7755094263,284600,0.0,1.0
2011-07-05,34.56,34.94,34.52,34.64,30.8021856841,333900,0.0,1.0
2011-07-06,34.55,36.0,34.19,35.25,31.3446029262,690300,0.0,1.0
2011-07-07,35.4,35.52,34.4,34.49,30.668804395,313400,0.0,1.0
2011-07-08,34.19,35.28,34.18,35.0,31.1223007778,811200,0.0,1.0
2011-07-11,34.81,35.02,34.43,34.84,30.9800274028,518500,0.0,1.0
2011-07-12,34.66,34.66,34.15,34.4,30.5887756216,799500,0.0,1.0
2011-07-13,34.39,34.53,33.21,34.04,30.2686605279,1422700,0.0,1.0
2011-07-14,34.09,34.09,33.02,33.55,29.832948317,482700,0.0,1.0
2011-07-15,33.48,33.66,33.01,33.52,29.8062720592,607400,0.0,1.0
2011-07-18,33.4,33.57,33.03,33.2,29.5217253092,619000,0.0,1.0
2011-07-19,33.31,33.33,32.91,33.31,29.6195382545,389800,0.0,1.0
2011-07-20,33.24,33.71,33.14,33.23,29.548401567,314100,0.0,1.0
2011-07-21,33.32,33.65,33.16,33.42,29.7173511998,233500,0.0,1.0
2011-07-22,33.35,34.04,32.97,33.91,30.1530634107,328500,0.0,1.0
2011-07-25,33.56,34.52,33.36,34.28,30.4820705904,386900,0.0,1.0
2011-07-26,35.78,35.78,35.14,35.16,31.2645741528,686500,0.0,1.0
2011-07-27,34.94,35.22,34.04,34.2,30.4109339029,426900,0.0,1.0
2011-07-28,34.1,34.58,33.97,34.0,30.2330921841,314400,0.0,1.0
2011-07-29,33.7,34.1,33.34,33.48,29.7707037154,341700,0.0,1.0
2011-08-01,33.61,33.66,32.79,32.84,29.2016102155,539400,0.0,1.0
2011-08-02,32.7,33.34,32.45,32.45,28.854818864,370800,0.0,1.0
2011-08-03,32.52,32.68,31.64,32.09,28.5347037703,515200,0.0,1.0
2011-08-04,31.79,32.16,31.56,31.6,28.0989915594,504800,0.0,1.0
2011-08-05,31.83,31.83,30.15,31.13,27.6810635204,559100,0.0,1.0
