timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,77.63,78.31,75.94,76.0,23.7274711926,22934100,0.0,1.0
1999-11-02,77.06,78.19,76.56,77.5,24.1957765451,20338200,0.0,1.0
1999-11-03,78.38,80.69,77.75,79.75,24.9076006808,25240100,0.03,1.0
1999-11-04,80.44,81.75,80.19,81.56,25.472901712,21843500,0.0,1.0
1999-11-05,82.38,83.88,81.81,82.38,25.7290049415,19837200,0.0,1.0
1999-11-08,81.56,83.13,80.75,82.13,25.6509246886,13471200,0.0,1.0
1999-11-09,82.25,82.31,79.38,80.06,25.0044201945,16851400,0.0,1.0
1999-11-10,79.0,81.5,78.25,79.0,24.6733599221,17087600,0.0,1.0
1999-11-11,79.81,80.44,78.13,79.44,24.8107811672,16093100,0.0,1.0
1999-11-12,79.13,79.38,74.56,76.19,23.7957378793,43757600,0.0,1.0
1999-11-15,76.19,76.23,74.0,74.06,23.1304941244,19666900,0.0,1.0
1999-11-16,74.5,77.0,73.63,76.56,23.9112966536,27868700,0.0,1.0
1999-11-17,77.06,78.75,74.5,74.75,23.3459956225,23543200,0.0,1.0
1999-11-18,75.69,78.5,75.64,78.5,24.5171994162,18853200,0.0,1.0
1999-11-19,78.0,80.38,77.75,79.88,24.9482024124,23248600,0.0,1.0
1999-11-22,80.88,81.38,78.88,80.5,25.1418414396,18435400,0.0,1.0
1999-11-23,80.66,81.25,78.0,79.0,24.6733599221,20521800,0.0,1.0
1999-11-24,79.94,82.25,79.13,82.19,25.6696639493,16813400,0.0,1.0
1999-11-26,82.0,82.25,80.19,80.25,25.0637611867,7091100,0.0,1.0
1999-11-29,80.25,80.31,78.25,78.94,24.6546206614,16325600,0.0,1.0
1999-11-30,78.44,79.69,76.56,76.69,23.9518983851,17432900,0.0,1.0
1999-12-01,76.06,77.56,75.0,76.31,23.8332164007,22778300,0.0,1.0
1999-12-02,75.63,78.13,75.5,77.56,24.2236176653,15559200,0.0,1.0
1999-12-03,79.0,80.0,78.5,78.69,24.5765404085,18271100,0.0,1.0
1999-12-06,78.81,79.38,77.19,77.88,24.323560389,14320000,0.0,1.0
1999-12-07,78.25,78.44,76.31,77.19,24.108058891,16827100,0.0,1.0
1999-12-08,76.44,77.31,74.0,74.5,23.2679153696,26340100,0.0,1.0
1999-12-09,75.63,75.63,72.13,73.25,22.877514105,26913300,0.0,1.0
1999-12-10,73.5,74.0,71.63,72.25,22.5651930933,28117400,0.0,1.0
1999-12-13,71.25,75.19,70.56,74.81,23.3647348832,23902400,0.0,1.0
1999-12-14,74.63,75.0,72.38,72.44,22.6245340855,20871700,0.0,1.0
1999-12-15,72.2,79.23,72.13,78.94,24.6546206614,41023400,0.0,1.0
1999-12-16,79.75,81.13,79.38,80.25,25.0637611867,25080100,0.0,1.0
1999-12-17,81.38,83.0,80.5,82.06,25.6290622178,34734800,0.0,1.0
1999-12-20,82.88,83.19,79.13,81.06,25.3167412061,18125700,0.0,1.0
1999-12-21,80.56,83.25,80.0,82.88,25.8851654474,17335200,0.0,1.0
