timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,73.11,74.42,72.43,73.55,23.3606260202,1163500,0.0,1.0
1999-11-02,73.74,73.74,71.06,71.06,22.5697632223,1002400,0.0,1.0
1999-11-03,71.68,72.12,70.43,70.43,22.3696654059,1258400,0.0,1.0
1999-11-04,70.5,70.81,68.31,68.56,21.7757242685,1373900,0.0,1.0
1999-11-05,67.57,68.06,64.32,66.13,21.0039184054,3043400,0.0,1.0
1999-11-08,66.01,67.25,64.32,66.51,21.1246123264,1901200,0.0,1.0
1999-11-09,66.82,67.32,65.01,65.38,20.7657067193,1437900,0.0,1.0
1999-11-10,65.45,66.82,64.08,65.57,20.8260536798,1635500,0.0,1.0
1999-11-11,65.7,67.32,65.57,65.76,20.8864006403,1647800,0.0,1.0
1999-11-12,65.76,66.44,61.27,62.45,19.8350930654,2037300,0.0,1.0
1999-11-15,62.45,63.83,61.4,63.08,20.0351908818,2933800,0.0,1.0
1999-11-16,63.83,65.45,63.64,64.82,20.5878419936,2067600,0.0,1.0
1999-11-17,64.82,67.07,64.82,66.94,21.2611870264,1866300,0.0,1.0
1999-11-18,66.44,67.44,66.07,66.13,21.0039184054,1743500,0.0,1.0
1999-11-19,66.82,67.63,66.57,67.07,21.302477052,2039600,0.0,1.0
1999-11-22,67.13,67.44,66.57,67.19,21.3405909218,1621100,0.0,1.0
1999-11-23,67.5,67.57,65.82,66.69,21.1817831311,3654600,0.0,1.0
1999-11-24,66.07,68.81,66.07,68.5,21.7566673336,1429700,0.0,1.0
1999-11-26,68.06,68.13,67.32,67.88,21.5597456731,408400,0.0,1.0
1999-11-29,67.82,67.82,65.45,65.76,20.8864006403,1039000,0.0,1.0
1999-11-30,65.76,65.76,63.58,64.57,20.5084380983,1541500,0.0,1.0
1999-12-01,64.95,65.95,64.08,65.76,20.8864006403,1163200,0.0,1.0
1999-12-02,65.51,66.13,64.82,65.82,20.9054575751,649700,0.0,1.0
1999-12-03,65.45,67.69,65.45,67.19,21.3405909218,944100,0.0,1.0
1999-12-06,67.19,68.31,67.13,68.25,21.6772634382,962100,0.0,1.0
1999-12-07,68.25,68.81,66.32,67.75,21.5184556475,1271900,0.0,1.0
1999-12-08,67.75,67.75,65.82,66.82,21.2230731567,537400,0.0,1.0
1999-12-09,67.19,67.44,63.95,65.45,20.78793981,819400,0.0,1.0
1999-12-10,65.7,65.7,63.58,63.58,20.1939986726,447700,0.0,1.0
1999-12-13,63.95,65.2,63.76,64.48,20.4798526959,592500,0.0,1.0
1999-12-14,64.64,65.7,64.39,65.26,20.7275928495,1101000,0.0,1.0
1999-12-15,65.26,66.32,65.07,66.01,20.9658045356,919200,0.0,1.0
1999-12-16,65.82,66.07,64.89,65.07,20.667245889,471200,0.0,1.0
1999-12-17,65.07,65.82,64.82,65.26,20.7275928495,1667600,0.0,1.0
1999-12-20,64.26,64.57,62.02,64.57,20.5084380983,682200,0.0,1.0
1999-12-21,63.95,64.32,62.83,64.32,20.4290342029,586000,0.0,1.0
1999-12-22,63.7,63.76,62.89,63.45,20.152708647,213900,0.0,1.0
1999-12-23,63.64,64.01,62.83,63.64,20.2130556074,667900,0.0,1.0
1999-12-27,63.64,64.51,63.51,64.26,20.409977268,1206800,0.0,1.0
1999-12-28,64.14,66.38,64.08,66.07,20.9848614705,913300,0.0,1.0
1999-12-29,66.75,66.75,65.25,65.94,21.0007422496,406900,0.18,1.0
1999-12-30,66.19,66.62,65.38,65.56,20.8797188639,231400,0.0,1.0
1999-12-31,66.06,67.56,65.75,67.56,21.5166840519,207800,0.0,1.0
2000-01-03,60.5,64.81,60.38,63.88,20.3446681059,3125100,0.0,1.0
2000-01-04,63.62,63.69,60.5,61.0,19.4274382351,1399800,0.0,1.0
2000-01-05,61.0,62.25,60.06,61.75,19.6663001807,1175400,0.0,1.0
2000-01-06,60.88,61.75,60.5,61.31,19.5261678393,1019400,0.0,1.0
2000-01-07,62.38,65.38,62.25,65.25,20.7809892597,1606900,0.0,1.0
2000-01-10,65.38,66.62,65.31,66.5,21.1790925023,928400,0.0,1.0
2000-01-11,66.44,67.69,65.19,65.81,20.9593395124,849100,0.0,1.0
2000-01-12,65.81,66.38,64.81,65.0,20.7013686112,676500,0.0,1.0
2000-01-13,65.0,69.0,65.0,68.31,21.7555459974,1335800,0.0,1.0
2000-01-14,68.56,68.69,67.31,67.5,21.4975750963,615100,0.0,1.0
2000-01-18,66.25,66.44,64.5,64.56,20.5612362699,707600,0.0,1.0
2000-01-19,64.12,64.88,63.5,64.37,20.500724577,624600,0.0,1.0
2000-01-20,65.0,65.12,62.5,62.94,20.0452944675,442300,0.0,1.0
2000-01-21,64.25,64.37,62.12,62.44,19.8860531705,1160400,0.0,1.0
2000-01-24,62.75,62.75,61.0,61.31,19.5261678393,546000,0.0,1.0
2000-01-25,61.31,61.37,58.56,59.62,18.9879322554,1175400,0.0,1.0
2000-01-26,59.87,60.38,58.63,60.31,19.2076852453,914600,0.0,1.0
2000-01-27,60.38,61.56,59.5,59.75,19.0293349926,691000,0.0,1.0
2000-01-28,59.5,59.75,57.5,57.5,18.3127491561,554600,0.0,1.0
2000-01-31,58.0,59.62,56.94,58.5,18.6312317501,822000,0.0,1.0
2000-02-01,58.75,59.69,58.31,59.31,18.8892026513,617900,0.0,1.0
2000-02-02,59.31,59.94,58.69,59.31,18.8892026513,752700,0.0,1.0
2000-02-03,60.0,61.75,59.56,60.38,19.2299790269,771300,0.0,1.0
2000-02-04,60.62,60.62,59.94,60.31,19.2076852453,628600,0.0,1.0
2000-02-07,60.19,60.88,60.06,60.56,19.2873058938,510200,0.0,1.0
2000-02-08,60.81,61.31,59.44,59.69,19.010226037,758100,0.0,1.0
2000-02-09,59.62,59.87,59.19,59.25,18.8700936956,617200,0.0,1.0
2000-02-10,59.44,59.62,56.0,57.0,18.1535078591,554100,0.0,1.0
2000-02-11,57.25,57.25,54.75,55.69,17.7362956609,649600,0.0,1.0
2000-02-14,55.69,55.88,54.25,54.69,17.4178130669,840200,0.0,1.0
2000-02-15,54.62,59.69,54.5,58.5,18.6312317501,893700,0.0,1.0
2000-02-16,58.44,59.62,56.69,57.81,18.4114787602,677900,0.0,1.0
2000-02-17,57.81,58.31,57.38,57.56,18.3318581117,612300,0.0,1.0
2000-02-18,56.0,58.25,56.0,56.31,17.9337548692,989000,0.0,1.0
2000-02-22,57.38,58.31,56.06,57.88,18.4337725418,532600,0.0,1.0
2000-02-23,56.75,59.56,56.5,59.25,18.8700936956,652700,0.0,1.0
2000-02-24,58.0,58.06,54.69,56.56,18.0133755177,983100,0.0,1.0
2000-02-25,56.0,56.0,51.88,52.75,16.7999568345,1001300,0.0,1.0
2000-02-28,51.13,52.94,51.13,52.25,16.6407155375,1242800,0.0,1.0
2000-02-29,52.25,52.75,51.06,51.69,16.4623652848,1072500,0.0,1.0
2000-03-01,51.94,53.5,51.62,53.0,16.879577483,791200,0.0,1.0
2000-03-02,53.0,53.44,52.37,53.0,16.879577483,590600,0.0,1.0
2000-03-03,53.0,56.0,53.0,55.12,17.5547605823,509800,0.0,1.0
2000-03-06,55.88,56.38,53.19,53.94,17.1789511214,588100,0.0,1.0
2000-03-07,53.94,54.44,52.12,52.5,16.720336186,844600,0.0,1.0
2000-03-08,52.69,54.81,52.5,54.06,17.2171690327,828100,0.0,1.0
2000-03-09,53.81,54.94,53.5,54.88,17.4783247598,740800,0.0,1.0
2000-03-10,54.62,54.88,53.56,54.38,17.3190834627,502900,0.0,1.0
2000-03-13,53.0,54.5,52.0,54.19,17.2585717699,782800,0.0,1.0
2000-03-14,54.31,54.94,53.62,54.0,17.198060077,580500,0.0,1.0
2000-03-15,54.25,59.25,53.87,58.5,18.6312317501,1249600,0.0,1.0
2000-03-16,58.69,64.75,58.31,64.37,20.500724577,1193100,0.0,1.0
2000-03-17,64.37,65.62,63.0,64.81,20.6408569184,1194900,0.0,1.0
2000-03-20,64.56,64.63,62.06,62.25,19.8255414777,871700,0.0,1.0
2000-03-21,62.31,62.56,60.62,62.06,19.7650297848,542300,0.0,1.0
2000-03-22,62.0,62.19,60.75,61.19,19.487949928,543300,0.0,1.0
2000-03-23,61.0,61.06,58.56,60.25,19.1885762896,819500,0.0,1.0
2000-03-24,60.25,60.75,58.63,59.56,18.9688232998,996600,0.0,1.0
2000-03-27,59.0,59.56,57.62,58.39,18.5961986648,651900,0.0,1.0
2000-03-28,58.06,59.56,56.75,57.0,18.1535078591,895400,0.0,1.0
2000-03-29,56.81,58.37,56.62,57.38,18.3318581117,852500,0.18,1.0
2000-03-30,57.38,59.38,55.81,58.06,18.549105646,1118700,0.0,1.0
2000-03-31,58.06,60.31,55.25,55.25,17.6513621588,958600,0.0,1.0
2000-04-03,56.0,59.75,56.0,59.19,18.9101199309,716200,0.0,1.0
2000-04-04,59.0,61.37,57.75,60.0,19.168900082,854000,0.0,1.0
2000-04-05,60.75,61.0,58.31,59.06,18.868587314,827900,0.0,1.0
2000-04-06,59.81,60.88,58.37,58.75,18.7695479969,500300,0.0,1.0
2000-04-07,59.5,59.94,57.94,58.25,18.6098071629,403800,0.0,1.0
2000-04-10,58.19,60.13,57.75,59.31,18.948457731,432200,0.0,1.0
2000-04-11,60.25,60.94,59.56,60.0,19.168900082,594700,0.0,1.0
2000-04-12,60.5,64.5,60.5,64.0,20.4468267541,1020500,0.0,1.0
2000-04-13,63.0,63.5,61.75,62.06,19.8270323181,646100,0.0,1.0
2000-04-14,62.12,62.62,59.06,59.12,18.8877562141,859500,0.0,1.0
2000-04-17,59.25,61.25,58.25,61.06,19.5075506501,599800,0.0,1.0
2000-04-18,61.0,61.06,59.0,59.12,18.8877562141,1057800,0.0,1.0
2000-04-19,59.25,60.75,59.06,60.5,19.328640916,563700,0.0,1.0
2000-04-20,60.5,61.25,59.87,60.44,19.3094720159,472000,0.0,1.0
2000-04-24,60.19,62.12,60.0,61.94,19.788694518,676700,0.0,1.0
2000-04-25,61.94,65.0,61.0,63.69,20.347787437,758000,0.0,1.0
2000-04-26,63.5,63.56,61.75,62.44,19.948435352,826800,0.0,1.0
2000-04-27,62.56,63.31,62.12,62.75,20.0474746691,469700,0.0,1.0
2000-04-28,63.0,64.31,62.06,64.06,20.4659956542,478900,0.0,1.0
2000-05-01,63.81,64.81,63.69,63.75,20.3669563371,718300,0.0,1.0
2000-05-02,63.75,64.94,62.75,64.37,20.5650349713,658900,0.0,1.0
2000-05-03,64.63,64.75,60.31,62.87,20.0858124692,817200,0.0,1.0
2000-05-04,62.62,63.19,61.25,62.5,19.9676042521,349900,0.0,1.0
2000-05-05,62.62,64.44,62.19,63.56,20.3062548202,222900,0.0,1.0
2000-05-08,63.5,64.19,62.62,63.25,20.2072155031,451900,0.0,1.0
2000-05-09,62.87,64.06,62.19,62.69,20.028305769,319300,0.0,1.0
2000-05-10,62.94,63.38,62.44,62.81,20.0666435691,377400,0.0,1.0
2000-05-11,63.13,64.63,63.06,63.81,20.3861252372,439400,0.0,1.0
2000-05-12,63.81,64.63,61.5,62.87,20.0858124692,581200,0.0,1.0
2000-05-15,62.87,63.25,62.38,62.81,20.0666435691,361400,0.0,1.0
2000-05-16,62.69,64.94,62.38,64.75,20.6864380051,471600,0.0,1.0
2000-05-17,64.5,64.75,63.94,64.63,20.648100205,281000,0.0,1.0
2000-05-18,64.63,65.38,63.0,63.25,20.2072155031,491600,0.0,1.0
