timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,105.3,106.7,105.0,105.1,30.5766345374,2852100,0.0,1.0
1999-11-02,105.1,106.1,102.3,102.5,29.8202192206,3691300,0.0,1.0
1999-11-03,104.0,105.1,103.5,104.3,30.343891363,2498800,0.0,1.0
1999-11-04,105.0,106.0,104.9,105.3,30.634820331,3183100,0.0,1.0
1999-11-05,106.0,106.7,105.3,105.5,30.6930061246,3442600,0.0,1.0
1999-11-08,105.6,105.9,103.9,104.4,30.3729842598,2241800,0.0,1.0
1999-11-09,105.4,105.4,103.3,103.6,30.1402410854,2106400,0.0,1.0
1999-11-10,102.5,103.5,102.3,103.0,29.9656837046,2689100,0.0,1.0
1999-11-11,103.1,104.0,102.9,103.8,30.198426879,1388400,0.0,1.0
1999-11-12,104.0,104.3,102.3,103.8,30.27988699,1496700,0.28,1.0
1999-11-15,103.8,103.9,102.6,103.5,30.1923728658,1611500,0.0,1.0
1999-11-16,104.3,106.1,104.1,106.1,30.9508286093,2940000,0.0,1.0
1999-11-17,105.9,106.9,105.4,105.6,30.8049717355,2457200,0.0,1.0
1999-11-18,104.9,105.0,103.6,104.4,30.4549152385,1733200,0.0,1.0
1999-11-19,104.4,105.2,103.8,105.2,30.6882862365,1531500,0.0,1.0
1999-11-22,105.1,105.8,104.4,105.3,30.7174576113,1644500,0.0,1.0
1999-11-23,104.9,104.9,103.5,104.0,30.3382297395,2105600,0.0,1.0
1999-11-24,103.6,104.9,103.6,104.8,30.5716007375,1801200,0.0,1.0
1999-11-26,105.0,105.1,103.2,103.2,30.1048587415,671200,0.0,1.0
1999-11-29,103.0,105.3,101.8,105.1,30.6591148618,2038400,0.0,1.0
1999-11-30,104.3,104.7,103.6,103.8,30.27988699,1730500,0.0,1.0
1999-12-01,103.3,103.4,101.1,102.5,29.9006591183,2292600,0.0,1.0
1999-12-02,101.2,101.3,99.0,100.1,29.2005461243,3267000,0.0,1.0
1999-12-03,99.0,99.44,96.13,97.25,28.3691619439,6360500,0.0,1.0
1999-12-06,96.0,97.94,95.56,96.81,28.240807895,3373000,0.0,1.0
1999-12-07,96.94,97.19,93.06,93.38,27.2402297411,5460000,0.0,1.0
1999-12-08,92.81,93.31,90.25,91.21,26.6072109091,4971000,0.0,1.0
1999-12-09,92.0,94.63,91.75,93.25,27.202306954,4335900,0.0,1.0
1999-12-10,95.0,95.13,93.25,94.38,27.5319434886,2925000,0.0,1.0
1999-12-13,94.63,94.81,92.06,93.18,27.1818869916,2713700,0.0,1.0
1999-12-14,92.25,95.69,92.0,94.19,27.4765178766,2887200,0.0,1.0
1999-12-15,94.13,95.19,93.5,94.67,27.6165404754,3021700,0.0,1.0
1999-12-16,95.69,95.75,93.44,94.63,27.6048719255,3238500,0.0,1.0
1999-12-17,95.06,95.44,92.38,94.88,27.6778003624,7296000,0.0,1.0
1999-12-20,93.94,94.0,90.44,91.98,26.8318304946,3185500,0.0,1.0
1999-12-21,91.63,91.69,90.13,91.0,26.5459510221,2905800,0.0,1.0
1999-12-22,90.88,92.75,90.81,91.56,26.7093107207,2891200,0.0,1.0
1999-12-23,92.63,95.88,92.0,95.56,27.8761657107,2903600,0.0,1.0
1999-12-27,95.44,97.75,94.75,97.75,28.5150188177,2081200,0.0,1.0
1999-12-28,97.75,97.75,94.38,95.44,27.841160061,1706700,0.0,1.0
1999-12-29,96.19,96.19,92.25,92.44,26.9660188185,1558000,0.0,1.0
1999-12-30,93.0,94.5,93.0,93.5,27.2752353908,1223900,0.0,1.0
1999-12-31,93.5,94.38,93.13,93.25,27.202306954,685600,0.0,1.0
2000-01-03,93.13,93.75,91.69,92.19,26.8930903816,2321200,0.0,1.0
2000-01-04,91.13,91.56,88.75,88.81,25.9070979151,3911100,0.0,1.0
2000-01-05,88.81,90.81,88.44,90.19,26.3096628866,4114800,0.0,1.0
2000-01-06,90.31,93.94,90.13,92.56,27.0010244682,2678200,0.0,1.0
2000-01-07,94.13,96.94,93.63,96.5,28.1503766333,4931900,0.0,1.0
2000-01-10,96.69,96.94,94.06,94.06,27.4385950894,2464300,0.0,1.0
2000-01-11,93.0,94.94,92.94,94.06,27.4385950894,3076500,0.0,1.0
2000-01-12,93.88,95.06,93.19,93.5,27.2752353908,2581600,0.0,1.0
2000-01-13,93.94,96.0,93.06,93.38,27.2402297411,2329600,0.0,1.0
2000-01-14,93.94,94.38,92.81,93.69,27.3306610029,2702400,0.0,1.0
2000-01-18,92.0,93.06,91.06,91.31,26.6363822838,2435000,0.0,1.0
2000-01-19,91.0,92.06,90.63,91.63,26.729730683,2753700,0.0,1.0
2000-01-20,92.25,92.31,90.06,91.94,26.8201619447,2411700,0.0,1.0
2000-01-21,91.75,91.75,89.63,89.88,26.2192316249,4269000,0.0,1.0
2000-01-24,90.13,90.19,83.56,83.69,24.4135235279,5652100,0.0,1.0
2000-01-25,83.88,86.94,83.56,85.25,24.868596974,6478400,0.0,1.0
2000-01-26,86.25,86.88,83.06,83.5,24.3580979159,4745700,0.0,1.0
2000-01-27,83.75,83.94,80.5,80.5,23.4829566734,6203300,0.0,1.0
