timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,277.0,277.0,267.3,268.6,38.3591161589,379400,0.0,1.0
1999-11-02,271.9,274.9,261.0,265.3,37.8878388569,361600,0.0,1.0
1999-11-03,269.5,282.8,265.5,279.8,39.9586027598,518500,0.0,1.0
1999-11-04,284.9,285.0,276.0,278.1,39.7158235436,460400,0.0,1.0
1999-11-05,279.9,280.0,267.5,273.1,39.0017670253,416500,0.0,1.0
1999-11-08,270.6,291.2,267.9,288.9,41.2581856229,514200,0.0,1.0
1999-11-09,290.6,290.6,266.0,274.6,39.2159839808,1118400,0.0,1.0
1999-11-10,274.8,279.8,262.5,267.0,38.1306180731,447200,0.0,1.0
1999-11-11,266.3,266.3,255.0,261.7,37.3737181638,664500,0.0,1.0
1999-11-12,268.3,291.1,264.4,287.0,40.986844146,1284700,0.0,1.0
1999-11-15,294.9,303.5,279.4,283.5,40.4870045832,597900,0.0,1.0
1999-11-16,303.0,329.9,302.0,328.5,46.9135132472,1832500,0.0,1.0
1999-11-17,330.9,334.5,305.0,306.8,43.8145079582,918700,0.0,1.0
1999-11-18,311.8,311.9,298.1,303.8,43.3860740472,839800,0.0,1.0
1999-11-19,307.0,316.3,303.6,310.0,44.2715041298,493800,0.0,1.0
1999-11-22,311.4,311.4,299.0,303.0,43.2718250043,493100,0.0,1.0
1999-11-23,303.5,305.0,290.0,294.0,41.9865232715,615900,0.0,1.0
1999-11-24,296.0,301.5,293.0,297.8,42.5292062254,469100,0.0,1.0
1999-11-26,304.0,306.6,301.1,306.1,43.7145400456,272800,0.0,1.0
1999-11-29,308.0,308.0,294.0,294.0,41.9865232715,361800,0.0,1.0
1999-11-30,302.0,303.4,275.1,277.1,39.5730122399,587600,0.0,1.0
1999-12-01,280.0,287.0,272.1,272.4,38.9017991128,700300,0.0,1.0
1999-12-02,273.6,308.1,272.5,300.0,42.8433910934,844800,0.0,1.0
1999-12-03,312.0,316.3,300.8,302.8,43.2432627436,695900,0.0,1.0
1999-12-06,306.9,307.0,288.0,288.3,41.1724988407,537900,0.0,1.0
1999-12-07,302.0,335.8,301.5,332.0,47.41335281,1174500,0.0,1.0
1999-12-08,336.4,375.5,335.4,350.1,49.998237406,858800,0.0,1.0
1999-12-09,360.0,360.0,331.0,354.5,50.626607142,621700,0.0,1.0
1999-12-10,361.5,365.0,345.0,353.3,50.4552335776,419100,0.0,1.0
1999-12-13,347.0,348.0,333.0,338.9,48.3987508051,879000,0.0,1.0
1999-12-14,344.4,344.4,329.0,330.3,47.1705735938,382700,0.0,1.0
1999-12-15,327.6,330.5,316.8,317.4,45.3283077768,540400,0.0,1.0
1999-12-16,323.0,330.0,309.0,316.6,45.2140587339,550700,0.0,1.0
1999-12-17,319.0,323.1,303.0,304.0,43.4146363079,759500,0.0,1.0
1999-12-20,312.0,312.0,291.4,300.0,42.8433910934,819300,0.0,1.0
1999-12-21,301.9,337.0,296.0,334.0,47.6989754173,1136500,0.0,1.0
1999-12-22,335.3,337.5,315.0,322.6,46.0709265557,608300,0.0,1.0
1999-12-23,327.3,347.0,322.3,323.3,46.1708944683,769700,0.0,1.0
1999-12-27,328.9,347.5,319.0,347.4,49.6126468861,685900,0.0,1.0
1999-12-28,345.8,384.4,335.6,343.9,49.1128073234,1117400,0.0,1.0
1999-12-29,332.9,345.8,311.6,335.0,47.8417867209,2717300,0.0,1.0
1999-12-30,347.0,347.0,328.0,337.7,48.2273772408,677500,0.0,1.0
1999-12-31,337.0,344.0,335.0,340.0,48.5558432392,343300,0.0,1.0
2000-01-03,349.12,350.0,333.0,344.0,49.1270884537,937700,0.0,1.0
2000-01-04,333.4,353.0,321.0,328.9,46.9706377687,1064500,0.0,1.0
2000-01-05,323.1,340.0,314.0,327.2,46.7278585525,1260400,0.0,1.0
2000-01-06,327.0,339.0,308.1,312.0,44.5571267371,510600,0.0,1.0
2000-01-07,303.8,325.0,300.0,324.9,46.3993925541,826200,0.0,1.0
2000-01-10,338.9,339.0,317.6,325.5,46.4850793363,3007900,0.0,1.0
2000-01-11,328.8,346.0,323.8,323.9,46.2565812505,1356500,0.0,1.0
2000-01-12,329.0,329.0,293.0,307.8,43.9573192618,1896000,0.0,1.0
2000-01-13,317.9,318.0,306.0,314.4,44.8998738659,1080800,0.0,1.0
2000-01-14,333.0,343.0,330.0,340.1,48.5701243695,1750100,0.0,1.0
2000-01-18,110.3,120.0,110.3,118.8,50.8979486189,1408000,0.0,3.0
2000-01-19,121.8,122.5,113.6,119.0,50.9836354011,4525500,0.0,1.0
2000-01-20,120.5,120.6,114.9,116.9,50.0839241882,3049700,0.0,1.0
2000-01-21,118.1,150.2,116.5,149.9,64.222243249,7553000,0.0,1.0
