timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,68.94,70.0,68.25,68.75,35.7391156429,2400000,0.0,1.0
1999-11-02,69.63,69.88,68.56,68.88,35.8066950616,2254400,0.0,1.0
1999-11-03,70.88,72.38,70.81,71.88,37.3662201078,4182500,0.0,1.0
1999-11-04,73.13,76.56,72.75,76.13,39.5755472566,5294600,0.0,1.0
1999-11-05,77.19,78.75,76.75,77.0,40.02780952,5094000,0.0,1.0
1999-11-08,76.0,76.38,74.63,75.25,39.1180865764,2621800,0.0,1.0
1999-11-09,75.25,75.69,73.56,74.0,38.4682844738,1899100,0.0,1.0
1999-11-10,74.31,76.69,73.5,75.94,39.5963409239,1994100,0.23,1.0
1999-11-11,77.88,77.88,76.44,76.88,40.0864720862,1843200,0.0,1.0
1999-11-12,77.38,77.56,75.75,77.38,40.3471801513,1410900,0.0,1.0
1999-11-15,76.75,76.88,73.88,73.88,38.5222236958,2285000,0.0,1.0
1999-11-16,74.25,77.0,74.25,77.0,40.1490420219,2093600,0.0,1.0
1999-11-17,75.25,76.31,74.63,75.06,39.1374947294,2534200,0.0,1.0
1999-11-18,74.06,75.13,73.5,73.63,38.3918696632,2084700,0.0,1.0
1999-11-19,72.0,73.19,72.0,72.88,38.0008075656,2393600,0.0,1.0
1999-11-22,72.5,75.13,71.63,75.06,39.1374947294,1413000,0.0,1.0
1999-11-23,75.25,75.31,73.06,73.5,38.3240855663,2051900,0.0,1.0
1999-11-24,73.0,73.94,72.81,73.56,38.3553705341,1178500,0.0,1.0
1999-11-26,72.56,72.81,72.19,72.44,37.7713844684,651800,0.0,1.0
1999-11-29,71.63,75.63,71.13,75.38,39.304347891,1966600,0.0,1.0
1999-11-30,73.5,74.44,71.0,71.75,37.4116073386,3008900,0.0,1.0
1999-12-01,71.13,71.88,70.13,71.44,37.2499683382,2420400,0.0,1.0
1999-12-02,72.0,72.0,70.5,71.32,37.1873984026,2120900,0.0,1.0
1999-12-03,72.25,73.88,71.38,71.88,37.4793914355,2493500,0.0,1.0
1999-12-06,71.31,71.31,69.25,69.5,36.2384210457,2545900,0.0,1.0
1999-12-07,69.69,69.94,66.0,66.5,34.6741726552,3834100,0.0,1.0
1999-12-08,67.19,67.38,66.13,66.25,34.5438186227,1914500,0.0,1.0
1999-12-09,66.38,68.94,65.75,66.88,34.8723107847,1900200,0.0,1.0
1999-12-10,66.25,67.69,65.63,65.88,34.3508946546,1866400,0.0,1.0
1999-12-13,65.25,65.56,63.63,64.13,33.4384164268,4143000,0.0,1.0
1999-12-14,64.0,67.25,63.63,66.38,34.6116027196,3542800,0.0,1.0
1999-12-15,65.75,68.63,65.69,68.56,35.7482898834,3189500,0.0,1.0
1999-12-16,67.5,68.5,66.38,66.88,34.8723107847,3546200,0.0,1.0
1999-12-17,66.94,67.5,65.94,67.06,34.9661656881,3341600,0.0,1.0
1999-12-20,65.63,66.38,64.5,65.0,33.89204846,3192500,0.0,1.0
1999-12-21,64.81,65.56,63.75,65.44,34.1214715573,2384600,0.0,1.0
1999-12-22,65.31,67.5,64.81,66.88,34.8723107847,1943400,0.0,1.0
1999-12-23,67.44,68.5,67.19,68.25,35.586650883,1904500,0.0,1.0
1999-12-27,67.25,70.5,67.06,70.5,36.7598371759,2152300,0.0,1.0
1999-12-28,69.63,69.63,67.75,68.44,35.6857199477,1548700,0.0,1.0
1999-12-29,68.75,68.75,66.63,67.31,35.0965197207,955900,0.0,1.0
1999-12-30,66.75,68.25,66.31,67.25,35.0652347529,1089600,0.0,1.0
1999-12-31,67.44,67.44,66.19,66.5,34.6741726552,906200,0.0,1.0
2000-01-03,65.0,67.0,65.0,65.56,34.1840414929,2645000,0.0,1.0
2000-01-04,64.25,65.44,62.75,63.5,33.1099242648,3701000,0.0,1.0
2000-01-05,63.13,65.31,63.0,64.44,33.6000554271,3411000,0.0,1.0
2000-01-06,65.0,66.19,64.31,66.19,34.5125336549,2460100,0.0,1.0
2000-01-07,68.0,71.06,67.5,71.06,37.0518302087,5863300,0.0,1.0
2000-01-10,71.06,71.06,67.94,68.13,35.5240809474,2830500,0.0,1.0
2000-01-11,67.0,69.38,67.0,68.5,35.7170049156,3309700,0.0,1.0
2000-01-12,67.63,68.31,66.94,67.5,35.1955887854,3573600,0.0,1.0
2000-01-13,65.75,68.38,65.63,66.69,34.77324172,3639400,0.0,1.0
2000-01-14,68.94,69.25,68.0,68.31,35.6179358508,3750300,0.0,1.0
2000-01-18,69.38,69.38,66.5,67.31,35.0965197207,2082900,0.0,1.0
2000-01-19,66.0,68.0,65.75,67.75,35.3259428179,2193700,0.0,1.0
2000-01-20,67.69,68.25,65.56,66.78,34.8201691717,2136400,0.0,1.0
2000-01-21,65.13,65.63,64.13,64.75,33.7616944275,4051000,0.0,1.0
2000-01-24,64.63,64.81,61.56,62.13,32.3955841665,4206900,0.0,1.0
2000-01-25,62.38,63.25,61.75,62.31,32.4894390699,3148700,0.0,1.0
2000-01-26,62.94,63.38,62.13,62.75,32.7188621672,2233100,0.0,1.0
2000-01-27,62.0,64.38,61.5,64.25,33.5009863624,3052200,0.0,1.0
2000-01-28,65.0,67.38,64.88,65.31,34.0536874604,4284500,0.0,1.0
2000-01-31,65.94,67.0,62.38,66.88,34.8723107847,3334100,0.0,1.0
2000-02-01,65.88,66.5,64.69,65.56,34.1840414929,2981300,0.0,1.0
2000-02-02,65.5,66.06,63.88,65.06,33.9233334278,2066300,0.0,1.0
2000-02-03,65.31,65.81,63.63,65.25,34.0224024926,2643600,0.0,1.0
2000-02-04,64.88,65.25,64.5,64.88,33.8294785244,1717600,0.0,1.0
2000-02-07,65.44,65.44,62.75,63.31,33.0108552001,1957400,0.0,1.0
2000-02-08,62.63,63.75,62.63,63.31,33.0108552001,2536700,0.0,1.0
2000-02-09,64.38,64.38,61.69,61.75,32.197446037,3211000,0.0,1.0
2000-02-10,61.88,63.0,61.81,62.31,32.4894390699,2080000,0.0,1.0
2000-02-11,62.5,62.56,61.06,61.63,32.2704442952,3268100,0.26,1.0
2000-02-14,61.38,62.0,60.44,60.75,31.809662355,2758000,0.0,1.0
2000-02-15,60.88,61.69,60.63,61.19,32.0400533251,2989400,0.0,1.0
2000-02-16,62.0,62.44,61.19,61.25,32.0714702756,3292800,0.0,1.0
2000-02-17,61.75,61.94,60.19,60.19,31.5164374839,3290500,0.0,1.0
2000-02-18,60.31,60.38,58.25,58.5,30.6315267122,3684000,0.0,1.0
2000-02-22,59.75,60.38,57.63,59.5,31.1551425534,2716500,0.0,1.0
