timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,21.0,21.31,20.0,20.13,11.7319141549,5100600,0.0,1.0
1999-11-02,20.13,20.44,20.0,20.06,11.6911176328,3589200,0.0,1.0
1999-11-03,20.0,20.06,18.56,18.56,10.8169064439,3939700,0.0,1.0
1999-11-04,18.63,18.94,17.94,18.0,10.4905342667,4553600,0.0,1.0
1999-11-05,18.06,18.44,17.19,17.38,10.129193642,4492000,0.0,1.0
1999-11-08,17.75,18.0,17.56,17.69,10.3098639543,5743600,0.0,1.0
1999-11-09,17.69,18.63,17.69,18.31,10.6712045791,4790500,0.0,1.0
1999-11-10,18.5,19.38,18.25,19.19,11.1840751432,3467300,0.0,1.0
1999-11-11,20.0,20.31,19.06,19.81,11.545415768,3212800,0.0,1.0
1999-11-12,20.13,20.31,18.94,19.0,11.073341726,3122100,0.0,1.0
1999-11-15,19.25,19.31,18.75,18.88,11.0034048309,2638300,0.0,1.0
1999-11-16,19.0,19.19,18.75,19.0,11.073341726,3185200,0.0,1.0
1999-11-17,19.0,19.5,18.81,19.25,11.2190435908,5691900,0.0,1.0
1999-11-18,19.44,20.75,19.31,20.63,12.0233178846,6500300,0.0,1.0
1999-11-19,20.75,21.63,20.69,21.25,12.3846585093,3821900,0.0,1.0
1999-11-22,21.25,21.25,20.0,20.0,11.6561491852,1983800,0.0,1.0
1999-11-23,20.94,20.94,20.06,20.25,11.80185105,2822700,0.0,1.0
1999-11-24,20.56,20.63,20.0,20.19,11.7668826025,1797200,0.0,1.0
1999-11-26,20.13,20.5,20.06,20.06,11.6911176328,720700,0.0,1.0
1999-11-29,19.81,20.38,19.81,20.38,12.0058336608,2513200,0.22,1.0
1999-11-30,20.38,20.75,19.88,19.88,11.7112842579,2979400,0.0,1.0
1999-12-01,20.13,20.44,20.0,20.19,11.8939048877,1314000,0.0,1.0
1999-12-02,20.0,20.13,19.75,20.06,11.817322043,1937800,0.0,1.0
1999-12-03,20.06,20.13,19.81,20.0,11.7819761146,3029800,0.0,1.0
1999-12-06,19.81,20.0,19.44,19.56,11.5227726401,2131700,0.0,1.0
1999-12-07,19.0,19.81,19.0,19.63,11.5640095565,3542700,0.0,1.0
1999-12-08,19.56,20.13,19.56,20.0,11.7819761146,2503100,0.0,1.0
1999-12-09,19.75,20.06,19.69,19.88,11.7112842579,2212200,0.0,1.0
1999-12-10,19.94,20.06,19.75,19.81,11.6700473415,2171000,0.0,1.0
1999-12-13,19.56,20.13,19.56,19.88,11.7112842579,3278900,0.0,1.0
1999-12-14,20.0,20.56,19.94,20.19,11.8939048877,4435300,0.0,1.0
1999-12-15,20.0,20.13,19.88,20.0,11.7819761146,4028000,0.0,1.0
1999-12-16,19.75,20.44,19.75,20.31,11.9645967444,2255600,0.0,1.0
1999-12-17,20.31,20.31,20.31,20.31,11.9645967444,2696300,0.0,1.0
1999-12-20,20.31,20.31,19.75,19.94,11.7466301863,2248400,0.0,1.0
1999-12-21,19.56,19.94,19.56,19.81,11.6700473415,1917300,0.0,1.0
1999-12-22,19.56,19.88,19.56,19.69,11.5993554848,2381000,0.0,1.0
1999-12-23,19.81,19.94,19.56,19.75,11.6347014132,2162500,0.0,1.0
1999-12-27,19.56,20.0,19.5,19.69,11.5993554848,1346800,0.0,1.0
1999-12-28,19.63,19.81,19.5,19.56,11.5227726401,1096800,0.0,1.0
1999-12-29,19.75,20.19,19.56,19.88,11.7112842579,1228800,0.0,1.0
1999-12-30,20.0,20.63,19.94,20.31,11.9645967444,1541700,0.0,1.0
1999-12-31,21.13,22.0,21.0,21.88,12.8894818694,2689600,0.0,1.0
2000-01-03,22.0,22.31,20.25,20.25,11.929250816,3011300,0.0,1.0
2000-01-04,20.0,21.31,20.0,20.94,12.335728992,3593500,0.0,1.0
2000-01-05,21.25,21.63,20.5,21.06,12.4064208487,1721200,0.0,1.0
2000-01-06,21.0,21.75,21.0,21.38,12.5949324665,1750700,0.0,1.0
2000-01-07,21.75,22.06,21.19,21.44,12.6302783949,2203200,0.0,1.0
2000-01-10,21.38,21.5,20.56,20.63,12.1531083622,1361000,0.0,1.0
2000-01-11,20.5,20.75,19.75,19.88,11.7112842579,2236100,0.0,1.0
2000-01-12,20.0,21.25,20.0,21.19,12.4830036934,3562400,0.0,1.0
2000-01-13,21.44,21.44,20.56,20.75,12.2238002189,2871700,0.0,1.0
2000-01-14,20.75,20.94,20.5,20.5,12.0765255175,1609300,0.0,1.0
2000-01-18,21.0,21.25,19.75,20.0,11.7819761146,3763800,0.0,1.0
2000-01-19,20.06,20.75,20.0,20.69,12.1884542906,2270500,0.0,1.0
2000-01-20,20.5,20.69,20.38,20.56,12.1118714458,2321600,0.0,1.0
2000-01-21,20.75,21.19,20.63,21.0,12.3710749203,2340600,0.0,1.0
2000-01-24,20.94,21.06,19.56,19.56,11.5227726401,1917000,0.0,1.0
