timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2010-04-28,22.25,22.25,21.7,22.0,10.5563182505,5244400,0.0,1.0
2010-04-29,22.0,23.25,21.9,23.0,11.0361508983,8773600,0.0,1.0
2010-04-30,22.95,23.0,22.25,22.3,10.7002680449,1644400,0.0,1.0
2010-05-03,22.75,22.95,22.65,22.8,10.9401843687,3302700,0.0,1.0
2010-05-04,22.8,22.8,21.5,21.5,10.3164019267,2276500,0.0,1.0
2010-05-05,22.0,22.0,20.0,20.59,9.87975421721,6999200,0.0,1.0
2010-05-06,20.5,20.55,18.45,19.45,9.33274499877,8029400,0.0,1.0
2010-05-07,19.5,19.55,17.9,18.6,8.92488724818,3881500,0.0,1.0
2010-05-10,19.75,19.85,18.7,19.01,9.12161863376,3861100,0.0,1.0
2010-05-11,18.75,19.28,18.75,18.9,9.06883704251,2626900,0.0,1.0
2010-05-12,19.2,20.04,19.2,19.8,9.50068642548,5714300,0.0,1.0
2010-05-13,19.85,20.1,19.6,19.65,9.42871152832,2475900,0.0,1.0
2010-05-14,19.3,19.4,18.75,18.75,8.99686214534,3133400,0.0,1.0
2010-05-17,19.0,19.2,18.7,18.85,9.04484541012,10117000,0.0,1.0
2010-05-18,19.05,19.32,18.25,18.79,9.01605545125,6219800,0.0,1.0
2010-05-19,18.9,18.93,17.55,17.7,8.4930378652,6227700,0.0,1.0
2010-05-20,17.14,17.14,16.2,16.9,8.109171747,10248400,0.0,1.0
2010-05-21,16.35,17.12,16.25,16.55,7.94123032029,4560800,0.0,1.0
2010-05-24,16.7,17.15,16.68,16.9,8.109171747,1761300,0.0,1.0
2010-05-25,16.79,16.79,16.2,16.57,7.95082697324,4649600,0.0,1.0
2010-05-26,16.99,17.4,16.8,17.15,8.22912990894,2079300,0.0,1.0
2010-05-27,17.65,18.0,17.65,17.9,8.58900439475,3156100,0.0,1.0
2010-05-28,17.9,17.9,16.25,17.77,8.52662615055,222200,0.0,1.0
