timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2000-04-05,14.5,15.75,14.31,15.5,7.83900253866,68703000,0.0,1.0
2000-04-06,15.38,15.88,15.25,15.56,7.86934706462,15301000,0.0,1.0
2000-04-07,15.38,15.56,15.13,15.31,7.7429115398,13486200,0.0,1.0
2000-04-10,15.44,15.5,15.25,15.31,7.7429115398,5637200,0.0,1.0
2000-04-11,15.31,15.38,15.06,15.13,7.65187796193,5425900,0.0,1.0
2000-04-12,15.25,16.75,15.13,16.19,8.18796458716,10846600,0.0,1.0
2000-04-13,16.25,17.25,15.94,17.0,8.59761568756,10626100,0.0,1.0
2000-04-14,16.94,17.0,15.81,15.88,8.03118453638,9500300,0.0,1.0
2000-04-17,16.0,16.44,16.0,16.13,8.1576200612,3522200,0.0,1.0
2000-04-18,16.19,16.31,15.5,16.13,8.1576200612,5422400,0.0,1.0
2000-04-19,16.19,16.19,15.75,16.0,8.0918735883,5348800,0.0,1.0
2000-04-20,15.75,15.94,15.38,15.5,7.83900253866,6912000,0.0,1.0
2000-04-24,15.5,16.0,15.44,15.94,8.06152906234,3114800,0.0,1.0
2000-04-25,15.94,16.19,15.88,16.0,8.0918735883,7407400,0.0,1.0
2000-04-26,15.94,16.06,15.88,16.06,8.12221811425,5941700,0.0,1.0
2000-04-27,15.94,16.0,15.5,15.94,8.06152906234,2484900,0.0,1.0
2000-04-28,15.94,16.88,15.38,16.56,8.37508916389,6218800,0.0,1.0
2000-05-01,17.13,18.0,16.88,18.0,9.10335778683,5887100,0.0,1.0
2000-05-02,17.63,17.94,17.38,17.81,9.00726678797,3132600,0.0,1.0
2000-05-03,17.75,17.81,17.25,17.5,8.8504867372,1981800,0.0,1.0
2000-05-04,17.38,17.5,16.19,17.5,8.8504867372,3429800,0.0,1.0
2000-05-05,17.25,17.81,17.06,17.56,8.88083126315,1821500,0.0,1.0
2000-05-08,17.88,18.56,17.81,18.0,9.10335778683,2897500,0.0,1.0
2000-05-09,18.19,18.38,16.75,17.19,8.69370668643,4234300,0.0,1.0
2000-05-10,17.0,17.81,17.0,17.56,8.88083126315,3283500,0.0,1.0
2000-05-11,17.63,18.31,17.38,18.0,9.10335778683,2997400,0.0,1.0
2000-05-12,18.13,18.56,18.06,18.44,9.32588431051,1927200,0.0,1.0
2000-05-15,19.0,19.25,18.63,18.94,9.57875536015,2696800,0.0,1.0
2000-05-16,19.0,19.56,18.81,19.06,9.63944441206,4982700,0.0,1.0
2000-05-17,19.06,19.69,18.38,19.06,9.63944441206,1577200,0.0,1.0
2000-05-18,19.0,19.13,18.69,18.94,9.57875536015,2858600,0.0,1.0
2000-05-19,18.5,19.13,17.94,18.19,9.19944878569,3832600,0.0,1.0
2000-05-22,18.25,19.13,17.38,18.25,9.22979331165,1712700,0.0,1.0
2000-05-23,18.25,19.0,18.25,18.88,9.54841083419,2093900,0.0,1.0
2000-05-24,18.88,19.5,18.63,19.38,9.80128188382,1573100,0.0,1.0
2000-05-25,19.31,19.38,18.75,19.19,9.70519088496,1732700,0.0,1.0
2000-05-26,19.13,19.81,18.94,19.75,9.98840646055,2644600,0.0,1.0
2000-05-30,19.94,20.13,19.5,19.88,10.0541529335,3229000,0.0,1.0
2000-05-31,19.88,20.5,19.38,20.5,10.367713035,3549600,0.0,1.0
2000-06-01,20.44,20.5,19.94,20.0,10.1148419854,2878400,0.0,1.0
2000-06-02,21.0,21.06,20.38,21.0,10.6205840846,3446100,0.0,1.0
2000-06-05,20.5,20.88,20.38,20.56,10.398057561,2376300,0.0,1.0
2000-06-06,20.88,20.88,20.38,20.44,10.337368509,2953900,0.0,1.0
2000-06-07,20.5,20.69,20.31,20.69,10.4638040339,922400,0.0,1.0
2000-06-08,20.56,20.63,20.25,20.44,10.337368509,965300,0.0,1.0
2000-06-09,20.5,21.0,20.5,21.0,10.6205840846,1196800,0.0,1.0
2000-06-12,20.75,20.81,19.69,20.44,10.337368509,1072600,0.0,1.0
2000-06-13,20.69,20.81,20.19,20.81,10.5244930858,974900,0.0,1.0
2000-06-14,20.56,20.63,19.81,20.0,10.1148419854,2310400,0.0,1.0
2000-06-15,20.0,20.25,19.88,20.0,10.1148419854,2504400,0.0,1.0
2000-06-16,20.19,20.25,19.75,20.06,10.1451865113,3202100,0.0,1.0
2000-06-19,20.0,20.13,19.75,20.0,10.1148419854,1275500,0.0,1.0
2000-06-20,19.88,20.06,18.56,18.81,9.51300888724,2922100,0.0,1.0
2000-06-21,18.81,19.13,18.13,18.5,9.35622883647,2443500,0.0,1.0
2000-06-22,18.69,19.5,18.5,19.19,9.70519088496,1963300,0.0,1.0
2000-06-23,19.0,19.5,18.75,19.31,9.76587993687,2161600,0.0,1.0
2000-06-26,20.0,20.13,19.13,19.19,9.70519088496,1691700,0.0,1.0
2000-06-27,19.44,20.5,19.19,19.88,10.0541529335,2042300,0.0,1.0
2000-06-28,20.25,20.44,19.38,19.63,9.92771740864,3522900,0.0,1.0
2000-06-29,19.88,21.56,19.63,21.31,10.7773641354,4914700,0.0,1.0
2000-06-30,21.75,21.94,19.0,21.06,10.6509286106,4415400,0.0,1.0
2000-07-03,20.75,21.5,20.69,21.38,10.8127660824,822000,0.0,1.0
2000-07-05,21.25,21.25,20.5,21.13,10.6863305575,2048000,0.0,1.0
2000-07-06,20.63,22.0,20.56,21.88,11.065637132,1572300,0.0,1.0
2000-07-07,21.75,22.06,21.69,21.88,11.065637132,1490500,0.0,1.0
2000-07-10,21.75,21.88,21.44,21.44,10.8431106083,822700,0.0,1.0
2000-07-11,21.31,21.38,20.5,20.81,10.5244930858,1453500,0.0,1.0
2000-07-12,20.75,20.88,20.06,20.44,10.337368509,1984300,0.0,1.0
2000-07-13,20.44,20.44,19.81,19.81,10.0187509865,1893400,0.0,1.0
2000-07-14,19.81,21.13,19.81,20.88,10.5598950327,1291500,0.0,1.0
2000-07-17,20.75,20.75,20.19,20.31,10.2716220361,558300,0.0,1.0
2000-07-18,20.06,20.44,20.06,20.38,10.3070239831,2396300,0.0,1.0
2000-07-19,20.44,20.81,20.13,20.44,10.337368509,1351900,0.0,1.0
2000-07-20,20.56,21.19,20.56,20.56,10.398057561,2199800,0.0,1.0
2000-07-21,20.75,21.0,20.56,20.75,10.4941485598,793500,0.0,1.0
2000-07-24,20.31,20.5,20.0,20.5,10.367713035,766500,0.0,1.0
2000-07-25,20.38,21.19,20.25,21.0,10.6205840846,1307300,0.0,1.0
2000-07-26,21.0,21.25,20.69,20.81,10.5244930858,1239700,0.0,1.0
2000-07-27,20.81,21.25,20.44,20.44,10.337368509,1393200,0.0,1.0
2000-07-28,20.06,20.44,20.0,20.31,10.2716220361,812800,0.0,1.0
2000-07-31,20.5,21.13,20.19,21.0,10.6205840846,2433200,0.0,1.0
2000-08-01,20.94,21.25,20.75,21.13,10.6863305575,2038800,0.0,1.0
2000-08-02,21.0,21.13,20.69,20.88,10.5598950327,1364300,0.0,1.0
2000-08-03,20.88,20.94,19.81,20.25,10.2412775102,3358100,0.0,1.0
2000-08-04,20.13,20.31,19.38,20.31,10.2716220361,4205200,0.0,1.0
2000-08-07,20.69,22.38,20.63,22.38,11.3185081816,3796400,0.0,1.0
2000-08-08,23.88,24.38,23.25,23.31,11.7888483339,10165000,0.0,1.0
2000-08-09,23.25,23.75,22.63,22.81,11.5359772843,3494400,0.0,1.0
2000-08-10,23.0,24.0,22.75,24.0,12.1378103824,4341200,0.0,1.0
2000-08-11,24.0,24.25,23.44,24.0,12.1378103824,2278400,0.0,1.0
