timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,31.44,31.75,31.31,31.31,5.04619800404,182600,0.0,1.0
1999-11-02,31.56,32.5,31.44,32.5,5.23798898535,454300,0.0,1.0
1999-11-03,32.75,33.38,32.5,33.0,5.31857343127,220800,0.0,1.0
1999-11-04,33.0,34.0,32.94,32.94,5.30890329776,79800,0.0,1.0
1999-11-05,33.19,33.69,33.19,33.44,5.38948774369,119500,0.0,1.0
1999-11-08,33.44,34.38,33.31,34.19,5.51036441258,187300,0.0,1.0
1999-11-09,34.63,34.63,33.44,33.69,5.42977996665,163100,0.0,1.0
1999-11-10,33.44,33.5,32.69,33.13,5.33952538721,78200,0.0,1.0
1999-11-11,33.19,33.19,32.94,32.94,5.30890329776,41400,0.0,1.0
1999-11-12,32.94,33.13,32.38,32.63,5.25894094129,93600,0.0,1.0
1999-11-15,32.38,32.5,32.06,32.31,5.20736689589,69200,0.0,1.0
1999-11-16,32.06,33.44,32.0,33.19,5.34919552073,61900,0.0,1.0
1999-11-17,33.06,33.63,32.63,33.38,5.37981761018,60900,0.0,1.0
1999-11-18,33.25,33.56,32.75,33.25,5.35886565424,49100,0.0,1.0
1999-11-19,33.19,33.19,32.63,33.06,5.32824356478,46400,0.0,1.0
1999-11-22,32.94,33.5,32.31,33.31,5.36853578775,79800,0.0,1.0
1999-11-23,33.31,33.38,32.56,32.69,5.2686110748,194600,0.0,1.0
1999-11-24,32.69,32.69,32.06,32.06,5.16707467293,155900,0.0,1.0
1999-11-26,32.13,32.13,31.75,31.87,5.13645258348,27000,0.0,1.0
1999-11-29,31.94,32.0,31.75,31.94,5.14773440591,94300,0.0,1.0
1999-11-30,32.0,32.31,31.81,32.06,5.16707467293,142900,0.0,1.0
1999-12-01,31.94,32.06,30.25,30.75,4.9559434246,253700,0.0,1.0
1999-12-02,30.81,32.13,30.75,31.94,5.14773440591,97800,0.0,1.0
1999-12-03,31.81,32.88,31.81,32.75,5.27828120831,82900,0.0,1.0
1999-12-06,32.5,32.5,31.69,31.81,5.12678244996,276700,0.0,1.0
1999-12-07,31.56,32.13,31.25,32.13,5.17835649536,136700,0.0,1.0
1999-12-08,31.87,31.94,30.87,31.06,5.00590578107,117200,0.0,1.0
1999-12-09,31.06,31.12,29.5,30.19,4.86568884516,136200,0.0,1.0
1999-12-10,30.31,30.75,30.19,30.69,4.94627329108,359900,0.0,1.0
1999-12-13,30.62,30.69,29.87,30.06,4.84473688921,43100,0.0,1.0
1999-12-14,29.81,29.94,29.62,29.75,4.79477453274,180100,0.0,1.0
1999-12-15,29.94,29.94,29.69,29.69,4.78510439923,189500,0.0,1.0
1999-12-16,29.56,29.75,29.06,29.37,4.73353035383,181000,0.0,1.0
1999-12-17,29.25,29.94,29.0,29.0,4.67389786385,259100,0.0,1.0
1999-12-20,29.0,29.5,28.62,28.69,4.62393550737,72400,0.0,1.0
1999-12-21,28.56,28.69,28.25,28.69,4.62393550737,84700,0.0,1.0
1999-12-22,28.75,29.37,28.37,29.06,4.68356799736,75100,0.0,1.0
1999-12-23,28.94,29.31,28.31,28.69,4.62393550737,81000,0.0,1.0
1999-12-27,28.56,29.12,28.5,29.0,4.67389786385,49000,0.0,1.0
1999-12-28,29.12,29.37,28.81,29.37,4.73353035383,40300,0.0,1.0
1999-12-29,28.87,29.06,28.37,29.06,4.71419008681,28600,0.19,1.0
1999-12-30,29.25,29.87,28.81,29.69,4.81639035366,76900,0.0,1.0
1999-12-31,29.69,30.0,29.69,29.75,4.82612371241,54400,0.0,1.0
2000-01-03,30.0,30.0,27.37,27.94,4.53250072352,208200,0.0,1.0
2000-01-04,27.87,28.37,27.56,28.31,4.59252310246,64900,0.0,1.0
2000-01-05,28.06,28.69,27.81,28.56,4.63307876391,114800,0.0,1.0
2000-01-06,28.31,28.44,27.31,28.19,4.57305638497,75400,0.0,1.0
2000-01-07,28.06,28.31,27.87,28.06,4.55196744102,40400,0.0,1.0
2000-01-10,27.81,27.81,26.75,26.81,4.34918913377,114100,0.0,1.0
2000-01-11,26.87,27.37,26.56,26.62,4.31836683107,162100,0.0,1.0
2000-01-12,26.37,26.75,25.12,26.62,4.31836683107,206600,0.0,1.0
2000-01-13,26.87,28.37,26.87,27.25,4.42056709792,259900,0.0,1.0
2000-01-14,27.37,28.12,27.37,27.5,4.46112275937,248800,0.0,1.0
2000-01-18,27.5,27.62,26.0,26.0,4.21778879068,255100,0.0,1.0
2000-01-19,26.0,26.19,24.75,25.44,4.12694410903,240100,0.0,1.0
2000-01-20,25.37,25.44,25.0,25.12,4.07503286238,110900,0.0,1.0
2000-01-21,25.37,25.44,24.56,25.0,4.05556614488,133700,0.0,1.0
2000-01-24,24.87,25.06,23.81,24.12,3.91281021658,209700,0.0,1.0
2000-01-25,24.25,24.62,23.75,24.06,3.90307685783,204100,0.0,1.0
2000-01-26,24.25,25.87,24.25,24.62,3.99392153948,411800,0.0,1.0
2000-01-27,25.37,26.25,25.19,25.37,4.11558852383,194800,0.0,1.0
2000-01-28,25.25,26.0,24.75,25.87,4.19669984672,184500,0.0,1.0
2000-01-31,25.75,26.69,25.75,26.44,4.28916675483,119900,0.0,1.0
2000-02-01,26.5,26.5,25.44,26.19,4.24861109338,106600,0.0,1.0
2000-02-02,26.0,26.06,24.31,24.75,4.01501048343,156700,0.0,1.0
2000-02-03,25.25,26.25,25.12,26.0,4.21778879068,272600,0.0,1.0
2000-02-04,26.37,27.5,26.0,27.25,4.42056709792,260400,0.0,1.0
2000-02-07,27.06,27.06,26.12,26.44,4.28916675483,154400,0.0,1.0
2000-02-08,26.37,27.37,26.37,27.0,4.38001143647,124300,0.0,1.0
2000-02-09,26.81,27.06,26.69,27.06,4.38974479522,97400,0.0,1.0
2000-02-10,27.06,27.5,27.0,27.12,4.39947815397,140300,0.0,1.0
2000-02-11,27.25,27.62,27.06,27.12,4.39947815397,205900,0.0,1.0
2000-02-14,27.06,27.19,26.94,27.06,4.38974479522,106200,0.0,1.0
2000-02-15,27.0,28.06,27.0,28.06,4.55196744102,190400,0.0,1.0
2000-02-16,27.81,27.87,27.37,27.5,4.46112275937,181300,0.0,1.0
2000-02-17,27.44,27.62,27.25,27.31,4.43030045667,106000,0.0,1.0
2000-02-18,27.12,27.62,27.12,27.5,4.46112275937,386200,0.0,1.0
2000-02-22,27.0,27.62,27.0,27.44,4.45138940062,62100,0.0,1.0
2000-02-23,27.44,28.06,27.37,28.06,4.55196744102,119500,0.0,1.0
2000-02-24,27.56,27.56,26.31,26.56,4.30863347232,159200,0.0,1.0
2000-02-25,26.31,26.5,26.19,26.31,4.26807781087,44100,0.0,1.0
2000-02-28,26.25,26.75,25.56,26.44,4.28916675483,94700,0.0,1.0
2000-02-29,26.56,27.37,26.31,27.37,4.44003381542,150100,0.0,1.0
2000-03-01,27.25,27.44,26.81,27.44,4.45138940062,117600,0.0,1.0
2000-03-02,27.31,27.44,26.62,26.69,4.32972241628,142000,0.0,1.0
2000-03-03,26.81,27.0,26.31,26.44,4.28916675483,56300,0.0,1.0
2000-03-06,26.19,26.25,25.25,25.75,4.17723312923,99200,0.0,1.0
2000-03-07,25.81,25.81,24.97,25.62,4.15614418527,156200,0.0,1.0
2000-03-08,25.37,26.5,24.87,26.25,4.25834445213,129600,0.0,1.0
