timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,78.94,79.94,78.94,79.56,36.0650554464,2862700,0.0,1.0
1999-11-02,79.56,80.19,78.0,78.06,35.3850958792,3186000,0.0,1.0
1999-11-03,79.44,80.88,78.75,79.13,35.8701337038,4428900,0.0,1.0
1999-11-04,79.56,80.69,79.06,79.69,36.1239852756,4144900,0.0,1.0
1999-11-05,79.94,81.13,79.5,80.38,36.4367666765,3816200,0.0,1.0
1999-11-08,80.44,80.5,78.94,78.94,35.784005492,2504200,0.0,1.0
1999-11-09,79.19,79.38,77.69,78.0,35.3578974965,2716100,0.0,1.0
1999-11-10,76.13,78.0,76.13,77.56,35.1584426901,3785200,0.0,1.0
1999-11-11,77.38,77.56,75.31,76.75,34.7912645238,3938200,0.0,1.0
1999-11-12,76.5,76.63,74.63,75.94,34.4240863575,3965900,0.0,1.0
1999-11-15,75.25,76.13,75.0,75.19,34.0841065739,3742700,0.0,1.0
1999-11-16,75.31,76.0,74.38,76.0,34.4512847402,5123800,0.0,1.0
1999-11-17,75.94,78.0,75.75,77.25,35.0179177129,4944800,0.0,1.0
1999-11-18,78.31,79.0,77.63,78.69,35.6706788974,3576700,0.0,1.0
1999-11-19,78.06,79.69,78.06,79.38,35.9834602984,4142700,0.0,1.0
1999-11-22,79.19,79.19,77.88,78.73,35.6888111526,3578100,0.0,1.0
1999-11-23,78.81,78.88,77.44,78.13,35.4168273257,2486800,0.0,1.0
1999-11-24,78.19,80.06,78.0,79.69,36.1239852756,4190500,0.0,1.0
1999-11-26,79.94,80.0,79.63,79.88,36.2101134875,2056300,0.0,1.0
1999-11-29,79.69,80.31,78.88,80.0,36.2645102528,4443500,0.0,1.0
1999-11-30,79.56,79.75,77.94,78.69,35.6706788974,4077300,0.0,1.0
1999-12-01,77.75,78.13,75.13,76.39,34.7595330773,4222700,0.29,1.0
1999-12-02,74.5,76.13,74.5,75.38,34.2999555357,3472100,0.0,1.0
1999-12-03,76.19,77.44,75.75,77.38,35.2100100736,4405000,0.0,1.0
1999-12-06,77.75,77.75,75.06,75.67,34.4319134437,4449700,0.0,1.0
1999-12-07,75.63,75.63,72.5,73.19,33.3034458166,5461500,0.0,1.0
1999-12-08,74.25,74.31,72.38,73.3,33.3534988162,5175000,0.0,1.0
1999-12-09,74.0,74.88,71.0,71.19,32.3933912786,4865700,0.0,1.0
1999-12-10,71.69,72.69,70.88,71.44,32.5071480959,5287200,0.0,1.0
1999-12-13,70.25,71.0,68.0,68.25,31.0556111078,7737000,0.0,1.0
1999-12-14,68.0,69.69,66.81,69.69,31.7108503752,7336300,0.0,1.0
1999-12-15,68.69,71.94,68.69,71.69,32.6209049131,6678900,0.0,1.0
1999-12-16,71.5,71.5,68.63,69.44,31.5970935579,4909400,0.0,1.0
1999-12-17,70.25,70.38,66.56,66.56,30.2866150233,11138400,0.0,1.0
1999-12-20,66.63,67.69,66.19,66.63,30.3184669321,5166900,0.0,1.0
1999-12-21,66.38,67.31,66.06,66.06,30.0591013888,5411600,0.0,1.0
1999-12-22,66.06,68.25,66.06,67.19,30.5732822027,4767100,0.0,1.0
1999-12-23,69.88,70.25,69.06,69.75,31.7381520113,3967300,0.0,1.0
1999-12-27,69.44,70.75,69.25,70.5,32.079422463,3297700,0.0,1.0
1999-12-28,70.25,70.38,68.81,69.75,31.7381520113,3573900,0.0,1.0
1999-12-29,70.0,70.0,67.56,68.25,31.0556111078,3433900,0.0,1.0
1999-12-30,68.06,68.75,67.31,67.81,30.8553991095,3329100,0.0,1.0
1999-12-31,67.88,68.13,66.94,67.19,30.5732822027,2476400,0.0,1.0
2000-01-03,68.63,68.63,67.5,67.63,30.7734942011,5978800,0.0,1.0
2000-01-04,67.0,67.81,64.75,65.25,29.6905293009,7533100,0.0,1.0
2000-01-05,65.06,68.88,65.06,68.25,31.0556111078,7598300,0.0,1.0
2000-01-06,67.81,69.19,67.69,68.38,31.1147646528,4760500,0.0,1.0
2000-01-07,69.81,75.25,69.63,74.94,34.0997435373,10373300,0.0,1.0
2000-01-10,74.75,74.81,72.13,72.75,33.1032338183,5726800,0.0,1.0
2000-01-11,72.06,73.69,71.38,72.81,33.1305354544,5023300,0.0,1.0
2000-01-12,73.63,75.19,73.44,74.44,33.8722299028,4990400,0.0,1.0
2000-01-13,74.81,76.13,73.81,74.75,34.0132883562,5353500,0.0,1.0
2000-01-14,75.25,75.94,72.69,74.13,33.7311714494,5540200,0.0,1.0
2000-01-18,73.13,73.56,70.56,70.81,32.2204809164,5299700,0.0,1.0
2000-01-19,71.75,72.69,71.25,71.5,32.534449732,4761600,0.0,1.0
2000-01-20,71.94,73.19,71.44,72.94,33.1896889994,4986300,0.0,1.0
2000-01-21,74.5,74.5,71.56,72.44,32.9621753649,7928900,0.0,1.0
