timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,74.5,75.63,73.25,74.0,15.27394623,1177900,0.0,1.0
1999-11-02,74.88,81.0,74.5,79.75,16.460773133,1157300,0.0,1.0
1999-11-03,83.0,86.75,82.75,86.25,17.8024035451,1083800,0.0,1.0
1999-11-04,87.0,87.63,82.75,86.0,17.7508023755,837200,0.0,1.0
1999-11-05,85.75,97.0,85.75,90.44,18.6672391493,1040300,0.0,1.0
1999-11-08,90.06,96.0,89.5,95.44,19.6992625432,1378500,0.0,1.0
1999-11-09,96.75,101.0,92.88,99.5,20.537265539,1037000,0.0,1.0
1999-11-10,98.5,102.0,96.0,97.13,20.0480864503,667700,0.0,1.0
1999-11-11,99.0,99.0,94.38,95.0,19.6084444845,457000,0.0,1.0
1999-11-12,96.5,97.0,83.5,91.88,18.9644618867,1609400,0.0,1.0
1999-11-15,93.13,94.19,89.5,89.88,18.5516525291,725900,0.0,1.0
1999-11-16,90.5,104.9,90.0,103.4,21.3422437863,2615000,0.0,1.0
1999-11-17,117.5,127.0,113.1,124.0,25.5941801693,3626300,0.0,1.0
1999-11-18,124.0,126.6,117.0,118.8,24.5208758396,1950300,0.0,1.0
1999-11-19,117.3,117.9,113.8,115.8,23.9016618032,1115200,0.0,1.0
1999-11-22,118.1,119.9,116.1,118.0,24.3557520965,1290200,0.0,1.0
1999-11-23,122.9,129.3,118.0,118.6,24.4795949038,1457200,0.0,1.0
1999-11-24,121.6,124.3,118.0,123.0,25.3877754905,742400,0.0,1.0
1999-11-26,127.3,134.8,127.3,130.6,26.9564510492,558500,0.0,1.0
1999-11-29,139.3,140.0,132.1,133.2,27.4931032141,1667700,0.0,1.0
1999-11-30,134.2,134.4,115.3,117.7,24.2938306929,1715200,0.0,1.0
1999-12-01,121.8,130.0,119.4,125.0,25.800584848,1968700,0.0,1.0
1999-12-02,125.4,136.1,124.4,135.5,27.9678339753,1208300,0.0,1.0
1999-12-03,139.0,143.5,136.0,136.8,28.2361600577,1223900,0.0,1.0
1999-12-06,141.6,155.5,137.5,151.5,31.2703088358,1098700,0.0,1.0
1999-12-07,156.1,156.5,144.8,146.9,30.3208473134,1164500,0.0,1.0
1999-12-08,150.8,154.6,147.3,150.8,31.1258255607,933900,0.0,1.0
1999-12-09,154.4,159.1,147.0,150.5,31.063904157,1357100,0.0,1.0
1999-12-10,155.8,156.0,147.9,153.9,31.7656800649,600100,0.0,1.0
1999-12-13,159.9,165.0,157.0,160.6,33.1485914128,1349500,0.0,1.0
1999-12-14,164.9,167.8,156.5,164.0,33.8503673206,1176800,0.0,1.0
1999-12-15,160.5,161.8,146.8,152.9,31.5592753861,1445200,0.0,1.0
1999-12-16,161.9,163.0,148.4,152.9,31.5592753861,1206200,0.0,1.0
1999-12-17,156.0,162.3,143.5,144.7,29.8667570201,2628200,0.0,1.0
1999-12-20,148.3,155.6,144.0,146.5,30.2382854419,1637500,0.0,1.0
1999-12-21,73.75,78.25,68.75,78.13,32.2527951068,921000,0.0,2.0
1999-12-22,80.13,86.38,78.5,85.38,35.2456629492,3649400,0.0,1.0
1999-12-23,89.63,91.88,83.38,84.5,34.8823907145,2092300,0.0,1.0
1999-12-27,87.75,88.5,78.63,82.13,33.9040325371,2138600,0.0,1.0
1999-12-28,81.75,86.63,78.81,84.19,34.7544198137,1666400,0.0,1.0
1999-12-29,85.44,85.44,80.88,82.06,33.8751358821,1349900,0.0,1.0
1999-12-30,83.5,85.38,80.25,84.88,35.0392582704,946700,0.0,1.0
1999-12-31,85.19,85.5,82.0,83.06,34.2879452396,587400,0.0,1.0
2000-01-03,89.88,90.13,84.75,85.0,35.0887953933,2713000,0.0,1.0
2000-01-04,82.38,84.88,74.0,74.25,30.6510947995,2255700,0.0,1.0
2000-01-05,80.38,84.5,70.0,80.13,33.078413822,3316900,0.0,1.0
2000-01-06,77.0,77.81,70.0,70.06,28.9214235913,2794800,0.0,1.0
2000-01-07,69.0,85.0,67.75,85.0,35.0887953933,4255200,0.0,1.0
2000-01-10,88.56,91.81,86.5,88.63,36.5872933613,3174300,0.0,1.0
2000-01-11,91.0,93.63,81.75,82.5,34.0567719994,2365400,0.0,1.0
2000-01-12,82.0,88.75,78.63,87.13,35.968079325,2178400,0.0,1.0
2000-01-13,88.0,90.0,83.25,85.72,35.3860181308,2572000,0.0,1.0
2000-01-14,88.0,95.25,87.0,93.69,38.6761087106,3003800,0.0,1.0
2000-01-18,98.13,120.0,97.0,118.1,48.7527851289,3788300,0.0,1.0
2000-01-19,113.6,117.0,106.0,108.5,44.7898152962,2953800,0.0,1.0
2000-01-20,114.6,115.3,111.3,115.0,47.4730761204,2118300,0.0,1.0
2000-01-21,115.8,121.5,110.0,117.1,48.3399757713,2456700,0.0,1.0
2000-01-24,119.9,119.9,100.6,102.0,42.106554472,3202400,0.0,1.0
2000-01-25,103.8,111.0,99.0,107.2,44.2531631314,2970800,0.0,1.0
2000-01-26,108.3,115.1,106.6,108.4,44.7485343604,2951300,0.0,1.0
2000-01-27,110.6,111.5,99.13,102.9,42.4780828938,3104700,0.0,1.0
2000-01-28,101.3,107.0,98.0,99.19,40.9465601772,1832500,0.0,1.0
2000-01-31,100.9,105.0,90.63,100.4,41.4460594999,2897800,0.0,1.0
2000-02-01,104.1,108.6,100.3,107.8,44.5008487459,1863500,0.0,1.0
2000-02-02,109.1,115.1,106.0,113.2,46.7300192768,2489800,0.0,1.0
2000-02-03,115.0,115.0,106.0,114.6,47.3079523774,2374000,0.0,1.0
2000-02-04,116.1,133.9,115.5,127.9,52.798316833,3972700,0.0,1.0
2000-02-07,131.4,131.8,121.0,125.4,51.7662934391,2567400,0.0,1.0
2000-02-08,128.1,132.5,123.1,132.0,54.4908351991,2984700,0.0,1.0
2000-02-09,133.6,134.3,126.0,128.7,53.1285643191,1858100,0.0,1.0
2000-02-10,130.1,139.9,125.9,139.3,57.5043435093,1943700,0.0,1.0
2000-02-11,145.4,159.1,142.5,154.9,63.9441694874,2871900,0.0,1.0
2000-02-14,159.9,160.3,143.1,148.3,61.2196277274,3560900,0.0,1.0
2000-02-15,149.8,153.0,141.5,151.6,62.5818986074,2445600,0.0,1.0
2000-02-16,161.4,176.2,157.1,175.4,72.4067613175,5189900,0.0,1.0
2000-02-17,178.5,179.9,166.1,174.4,71.99395196,3700200,0.0,1.0
2000-02-18,172.0,174.3,167.0,167.3,69.0630055212,1898000,0.0,1.0
2000-02-22,169.9,171.4,163.1,168.6,69.5996576861,1955000,0.0,1.0
2000-02-23,166.4,187.8,164.8,178.8,73.8103131333,2953100,0.0,1.0
2000-02-24,181.6,201.9,176.3,200.0,82.5618715137,2981300,0.0,1.0
2000-02-25,202.5,207.9,190.5,192.9,79.630925075,2165300,0.0,1.0
2000-02-28,193.0,196.3,181.5,184.0,75.9569217926,2990400,0.0,1.0
2000-02-29,184.9,192.1,181.8,188.8,77.938406709,2259200,0.0,1.0
2000-03-01,189.3,197.5,186.8,190.1,78.4750588738,2088700,0.0,1.0
2000-03-02,192.5,196.8,188.0,189.3,78.1448113877,1522300,0.0,1.0
2000-03-03,194.3,204.0,187.0,199.9,82.520590578,2080000,0.0,1.0
2000-03-06,204.6,222.0,202.0,212.1,87.5568647403,2409000,0.0,1.0
2000-03-07,222.8,230.0,212.0,212.6,87.7632694191,2899200,0.0,1.0
2000-03-08,219.9,223.0,211.9,218.3,90.1162827572,2073500,0.0,1.0
2000-03-09,220.0,241.0,218.1,240.4,99.2393695595,2637700,0.0,1.0
2000-03-10,247.0,248.0,228.9,236.9,97.794536808,2274700,0.0,1.0
2000-03-13,225.9,235.8,220.9,228.1,94.1618144614,1768000,0.0,1.0
2000-03-14,232.0,232.0,193.0,197.1,81.3647243768,4268500,0.0,1.0
2000-03-15,196.0,203.3,163.5,173.1,71.4572997951,8228500,0.0,1.0
2000-03-16,181.3,194.5,162.0,182.6,75.378988692,6406100,0.0,1.0
2000-03-17,186.2,202.0,186.1,200.8,82.8921189998,4235900,0.0,1.0
2000-03-20,207.5,208.0,175.6,183.1,75.5853933708,4138400,0.0,1.0
2000-03-21,183.1,192.0,165.0,184.9,76.3284502144,3846600,0.0,1.0
2000-03-22,191.1,206.5,184.5,206.1,85.0800085949,3122300,0.0,1.0
2000-03-23,102.9,108.3,96.38,105.4,87.0202125755,2376250,0.0,2.0
2000-03-24,109.0,110.25,95.0,100.0,82.5618715137,5609900,0.0,1.0
2000-03-27,103.9,104.4,96.25,97.25,80.2914200471,4162600,0.0,1.0
2000-03-28,96.94,101.0,95.0,95.56,78.8961244185,2830200,0.0,1.0
2000-03-29,95.0,97.75,87.63,91.81,75.8000542368,5372800,0.0,1.0
2000-03-30,84.06,92.0,70.63,79.13,65.3312089288,9562300,0.0,1.0
