timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,48.13,52.44,47.88,51.19,10.9129119299,22583800,0.0,1.0
1999-11-02,51.38,53.88,51.38,53.0,11.2987757821,20941200,0.0,1.0
1999-11-03,55.38,57.75,55.0,57.31,12.2176007561,21816000,0.0,1.0
1999-11-04,58.19,59.0,57.63,58.19,12.405203071,20925200,0.0,1.0
1999-11-05,59.75,61.38,58.5,58.69,12.5117952953,21038900,0.0,1.0
1999-11-08,59.63,60.09,58.81,59.44,12.6716836318,13581600,0.0,1.0
1999-11-09,59.88,59.88,57.75,58.44,12.4584991831,13892300,0.0,1.0
1999-11-10,58.19,60.0,57.44,58.88,12.5523003406,12743000,0.0,1.0
1999-11-11,59.63,62.88,59.5,62.06,13.2302268875,11990100,0.0,1.0
1999-11-12,63.25,66.75,61.75,65.13,13.8847031451,17433400,0.0,1.0
1999-11-15,65.44,65.94,64.0,64.06,13.6565957849,10642100,0.0,1.0
1999-11-16,64.31,65.44,64.0,64.5,13.7503969424,14524400,0.0,1.0
1999-11-17,69.75,72.38,68.63,69.81,14.8824063651,25060600,0.0,1.0
1999-11-18,71.75,74.69,69.06,74.19,15.8161542505,16203700,0.0,1.0
1999-11-19,74.13,78.19,73.38,76.13,16.229732081,15021500,0.0,1.0
1999-11-22,75.69,77.88,74.88,77.44,16.5090037088,10142600,0.0,1.0
1999-11-23,77.88,77.88,73.19,73.5,15.6690569808,16241900,0.0,1.0
1999-11-24,72.94,72.94,68.75,71.81,15.3087752625,18255600,0.0,1.0
1999-11-26,71.0,73.88,70.81,73.63,15.6967709592,4617500,0.0,1.0
1999-11-29,72.81,75.0,71.06,72.56,15.468663599,8909100,0.0,1.0
1999-11-30,72.69,72.75,67.23,67.81,14.4560374676,15981700,0.0,1.0
1999-12-01,68.44,70.81,67.5,70.69,15.0700086799,10064100,0.0,1.0
1999-12-02,70.94,76.0,70.88,75.94,16.1892270357,12334600,0.0,1.0
1999-12-03,77.63,81.81,77.0,78.69,16.7754842697,18675700,0.0,1.0
1999-12-06,78.75,79.88,77.56,78.44,16.7221881575,9670800,0.0,1.0
1999-12-07,78.31,80.13,76.31,79.25,16.894867561,12972200,0.0,1.0
1999-12-08,78.5,79.0,75.88,76.13,16.229732081,10731400,0.0,1.0
1999-12-09,77.06,79.44,77.0,78.56,16.7477702914,16650100,0.0,1.0
1999-12-10,79.5,84.75,77.44,84.63,18.0417998951,12408900,0.0,1.0
1999-12-13,84.0,84.06,79.56,79.81,17.0142508523,15093000,0.0,1.0
1999-12-14,80.63,82.88,76.38,76.94,16.4024114844,18913800,0.0,1.0
1999-12-15,85.19,91.44,82.88,90.38,19.2676104752,37042400,0.0,1.0
1999-12-16,89.63,90.63,87.38,89.56,19.0927992273,14900000,0.0,1.0
1999-12-17,92.0,94.81,90.27,90.69,19.3336976543,20493800,0.0,1.0
1999-12-20,94.75,98.25,94.25,96.31,20.5317942561,17587600,0.0,1.0
1999-12-21,97.31,99.38,95.13,97.69,20.8259887953,15089300,0.0,1.0
1999-12-22,99.81,105.4,99.0,105.1,22.4056855604,13663200,0.0,1.0
1999-12-23,105.8,110.5,105.3,106.7,22.7467806783,14004000,0.0,1.0
1999-12-27,108.6,108.7,102.1,104.4,22.2564564463,9701400,0.0,1.0
1999-12-28,104.1,108.6,102.0,106.1,22.6188700091,8557900,0.0,1.0
1999-12-29,105.7,110.2,105.6,110.0,23.4502893591,5687500,0.0,1.0
1999-12-30,111.9,112.9,108.8,111.4,23.7487475873,6849400,0.0,1.0
1999-12-31,111.4,113.4,110.8,112.1,23.8979767014,2678700,0.0,1.0
2000-01-03,122.7,125.0,111.6,118.1,25.1770833937,24528700,0.0,1.0
2000-01-04,115.5,118.6,105.0,107.7,22.959965127,29206200,0.0,1.0
2000-01-05,102.4,104.9,96.0,103.5,22.0645904424,41513500,0.0,1.0
2000-01-06,100.2,105.0,94.69,96.0,20.465707077,27470000,0.0,1.0
2000-01-07,95.0,103.5,93.56,103.4,22.0432719975,22938900,0.0,1.0
2000-01-10,108.0,116.0,105.6,115.8,24.6867591616,22879500,0.0,1.0
2000-01-11,112.6,114.8,109.5,112.4,23.961932036,21646300,0.0,1.0
2000-01-12,112.3,112.3,103.7,105.6,22.5122777847,20860900,0.0,1.0
2000-01-13,108.5,109.9,103.5,105.1,22.4056855604,13944800,0.0,1.0
2000-01-14,109.0,111.4,104.8,106.8,22.7680991232,14269500,0.0,1.0
2000-01-18,107.9,114.5,105.6,111.3,23.7274291424,16695000,0.0,1.0
