timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,39.5,40.75,39.25,39.63,14.4763607883,1962667,0.0,1.0
1999-11-02,39.81,41.13,39.38,40.44,14.7722440141,966400,0.0,1.0
1999-11-03,40.63,41.38,40.5,41.13,15.0242926879,1270267,0.0,1.0
1999-11-04,41.63,42.0,40.56,41.19,15.0462099639,588667,0.0,1.0
1999-11-05,41.88,42.88,41.0,41.19,15.0462099639,1142467,0.0,1.0
1999-11-08,40.94,43.0,40.81,42.25,15.433415173,1392867,0.0,1.0
1999-11-09,42.63,42.63,40.38,40.88,14.9329707046,1062400,0.0,1.0
1999-11-10,40.5,42.13,40.0,42.13,15.389580621,1210067,0.0,1.0
1999-11-11,42.25,44.88,41.44,42.63,15.5722245875,1916467,0.0,1.0
1999-11-12,42.56,43.25,40.75,42.31,15.455332449,1707800,0.0,1.0
1999-11-15,42.06,43.0,41.44,42.5,15.5247371562,657600,0.0,1.0
1999-11-16,42.63,43.94,41.56,42.25,15.433415173,1397800,0.0,1.0
1999-11-17,42.25,42.75,41.13,42.31,15.455332449,1107400,0.0,1.0
1999-11-18,41.88,42.38,40.63,41.31,15.0900445159,1664867,0.0,1.0
1999-11-19,41.88,42.0,38.75,41.0,14.9768052566,2278267,0.0,1.0
1999-11-22,40.5,42.5,39.13,42.13,15.389580621,1504267,0.0,1.0
1999-11-23,41.94,42.06,39.13,40.5,14.7941612901,1975800,0.0,1.0
1999-11-24,40.44,41.25,39.69,41.06,14.9987225326,1603800,0.0,1.0
1999-11-26,41.0,41.25,40.0,40.25,14.7028393068,496400,0.0,1.0
1999-11-29,39.5,40.75,38.63,39.31,14.3594686497,1401600,0.0,1.0
1999-11-30,39.38,40.75,38.75,39.94,14.5896000475,1211867,0.0,1.0
1999-12-01,39.5,40.44,38.88,39.75,14.5201953403,1032867,0.0,1.0
1999-12-02,39.63,41.75,39.63,41.5,15.1594492232,1012867,0.0,1.0
1999-12-03,42.13,43.81,41.56,43.31,15.820620382,1441667,0.0,1.0
1999-12-06,43.0,43.19,41.88,42.94,15.6854638468,880267,0.0,1.0
1999-12-07,43.13,43.81,40.88,41.0,14.9768052566,1021867,0.0,1.0
1999-12-08,41.0,41.94,39.75,39.94,14.5896000475,1180467,0.0,1.0
1999-12-09,40.0,41.41,39.38,41.31,15.0900445159,1178467,0.0,1.0
1999-12-10,41.75,42.0,40.25,40.75,14.8854832733,1193800,0.0,1.0
1999-12-13,40.75,41.0,39.31,40.31,14.7247565828,1085400,0.0,1.0
1999-12-14,40.06,40.5,39.13,39.38,14.385038805,905067,0.0,1.0
1999-12-15,39.88,40.5,39.5,40.25,14.7028393068,1340400,0.0,1.0
1999-12-16,40.5,41.0,38.13,39.5,14.428873357,1443267,0.0,1.0
1999-12-17,41.0,41.31,39.88,40.81,14.9074005493,2336667,0.0,1.0
1999-12-20,41.06,41.63,40.56,40.94,14.9548879806,643000,0.0,1.0
1999-12-21,41.0,42.94,40.75,41.94,15.3201759137,1182467,0.0,1.0
1999-12-22,42.38,42.88,41.81,42.31,15.455332449,1224667,0.0,1.0
1999-12-23,42.94,43.0,41.25,41.56,15.1813664991,976667,0.0,1.0
1999-12-27,42.31,42.81,41.44,42.69,15.5941418635,755200,0.0,1.0
1999-12-28,42.75,43.13,41.38,42.38,15.4809026043,1412600,0.0,1.0
1999-12-29,42.13,42.75,40.39,40.5,14.7941612901,984867,0.0,1.0
1999-12-30,40.56,41.81,39.75,41.69,15.2288539304,843200,0.0,1.0
