timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,36.94,36.94,36.56,36.69,14.5106626377,237500,0.0,1.0
1999-11-02,36.81,37.38,36.75,36.94,14.6095360545,70100,0.0,1.0
1999-11-03,36.88,36.88,36.44,36.63,14.4869330177,147600,0.0,1.0
1999-11-04,36.63,36.94,35.94,36.06,14.2615016276,88000,0.0,1.0
1999-11-05,36.5,36.63,35.88,36.13,14.2891861843,814000,0.0,1.0
1999-11-08,36.13,36.38,35.63,35.94,14.2140423876,196400,0.0,1.0
1999-11-09,35.88,36.06,35.25,35.5,14.0400251741,110800,0.0,1.0
1999-11-10,35.5,35.5,34.5,34.69,13.719675304,190100,0.0,1.0
1999-11-11,34.81,35.13,34.63,34.94,13.8185487207,92100,0.0,1.0
1999-11-12,35.0,35.13,34.75,34.94,13.8185487207,130700,0.0,1.0
1999-11-15,34.81,34.94,34.5,34.94,13.8185487207,102000,0.0,1.0
1999-11-16,35.06,35.19,34.5,34.88,13.7948191007,753900,0.0,1.0
1999-11-17,34.69,34.81,34.5,34.69,13.719675304,111800,0.0,1.0
1999-11-18,34.5,34.75,34.0,34.0,13.4467846738,166600,0.0,1.0
1999-11-19,33.81,34.25,33.75,33.94,13.4230550538,104400,0.0,1.0
1999-11-22,33.69,33.81,33.0,33.19,13.1264348037,82000,0.0,1.0
1999-11-23,33.19,33.19,32.69,32.69,12.9286879702,132100,0.0,1.0
1999-11-24,32.88,32.88,32.38,32.44,12.8298145535,272800,0.0,1.0
1999-11-26,32.25,32.56,32.25,32.31,12.7784003768,36500,0.0,1.0
1999-11-29,32.19,32.19,30.75,31.56,12.4817801267,362100,0.0,1.0
1999-11-30,31.75,33.19,31.75,33.19,13.1264348037,346700,0.0,1.0
1999-12-01,32.94,33.44,32.63,33.31,13.1738940437,338500,0.0,1.0
1999-12-02,33.13,33.44,33.0,33.38,13.2015786004,187400,0.0,1.0
1999-12-03,33.0,34.0,33.0,33.63,13.3004520171,623400,0.0,1.0
1999-12-06,33.56,33.88,33.5,33.63,13.3004520171,467000,0.0,1.0
1999-12-07,33.56,33.75,33.44,33.44,13.2253082204,291500,0.0,1.0
1999-12-08,33.63,33.63,32.88,33.13,13.1027051836,343800,0.0,1.0
1999-12-09,33.13,33.25,32.56,32.56,12.8772737935,276200,0.0,1.0
1999-12-10,32.63,32.69,32.13,32.25,12.7546707568,197900,0.0,1.0
1999-12-13,32.0,32.0,30.75,30.75,12.1614302565,1419000,0.0,1.0
1999-12-14,30.81,31.25,30.69,30.94,12.2365740532,526500,0.0,1.0
1999-12-15,31.06,31.31,30.88,31.25,12.3591770899,400100,0.0,1.0
1999-12-16,31.0,31.19,30.88,31.06,12.2840332932,156700,0.0,1.0
1999-12-17,30.94,31.62,30.81,31.0,12.2603036732,360000,0.0,1.0
1999-12-20,31.13,31.13,30.88,31.0,12.2603036732,103200,0.0,1.0
1999-12-21,31.0,31.56,30.94,31.44,12.4343208866,419500,0.0,1.0
1999-12-22,31.19,31.25,30.88,30.94,12.2365740532,284900,0.0,1.0
1999-12-23,30.94,31.5,30.94,31.44,12.4343208866,166200,0.0,1.0
1999-12-27,31.31,31.63,31.13,31.13,12.3117178499,169700,0.0,1.0
1999-12-28,31.13,31.25,30.63,30.69,12.1377006365,352500,0.0,1.0
1999-12-29,30.81,30.81,30.31,30.44,12.0388272197,255000,0.0,1.0
1999-12-30,30.25,30.81,30.19,30.75,12.1614302565,191400,0.0,1.0
1999-12-31,30.75,30.75,30.5,30.56,12.0862864598,84800,0.0,1.0
2000-01-03,30.31,30.31,29.5,29.75,11.7659365896,246300,0.0,1.0
2000-01-04,29.56,30.13,29.56,30.13,11.916224183,347800,0.0,1.0
2000-01-05,29.88,31.25,29.88,30.94,12.2365740532,453000,0.0,1.0
2000-01-06,30.81,31.19,30.81,31.13,12.3117178499,139300,0.0,1.0
2000-01-07,31.13,32.06,30.88,32.0,12.6557973401,303300,0.0,1.0
2000-01-10,31.75,31.88,31.38,31.56,12.4817801267,178800,0.0,1.0
2000-01-11,31.56,31.69,30.88,31.25,12.3591770899,150800,0.0,1.0
2000-01-12,31.13,32.0,31.06,31.75,12.5569239234,143500,0.0,1.0
2000-01-13,31.75,31.75,30.81,31.06,12.2840332932,1107400,0.0,1.0
2000-01-14,31.0,31.0,30.63,30.88,12.2128444332,204300,0.0,1.0
2000-01-18,30.88,31.0,30.0,30.13,11.916224183,348600,0.0,1.0
2000-01-19,29.69,31.06,29.69,31.06,12.2840332932,208500,0.0,1.0
2000-01-20,31.19,31.5,30.31,30.38,12.0150975997,326300,0.0,1.0
2000-01-21,30.94,31.13,30.5,30.88,12.2128444332,233400,0.0,1.0
