timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,9.438,10.25,9.313,10.06,9.3163633199,216700,0.0,1.0
1999-11-02,10.06,10.38,9.813,9.875,9.14503854712,86700,0.0,1.0
1999-11-03,9.938,10.0,9.75,9.938,9.20338157785,75500,0.0,1.0
1999-11-04,9.875,10.5,9.813,10.5,9.72383845516,180000,0.0,1.0
1999-11-05,10.5,11.0,10.5,10.94,10.1313135904,643300,0.0,1.0
1999-11-08,11.0,11.5,10.63,10.63,9.84422883604,160600,0.0,1.0
1999-11-09,10.75,11.19,10.63,10.75,9.95535841838,127800,0.0,1.0
1999-11-10,10.69,10.81,9.75,10.0,9.26079852873,274200,0.0,1.0
1999-11-11,10.0,10.06,9.563,9.75,9.02927856551,148900,0.0,1.0
1999-11-12,9.875,10.06,9.5,10.06,9.3163633199,102700,0.0,1.0
1999-11-15,10.06,10.13,9.75,10.0,9.26079852873,89500,0.0,1.0
1999-11-16,10.31,10.31,10.13,10.19,9.43675370077,149300,0.0,1.0
1999-11-17,10.25,10.44,10.0,10.25,9.49231849195,284100,0.0,1.0
1999-11-18,10.38,10.38,10.06,10.25,9.49231849195,152700,0.0,1.0
1999-11-19,10.25,10.25,9.875,10.0,9.26079852873,89500,0.0,1.0
1999-11-22,10.0,10.13,9.75,9.875,9.14503854712,143500,0.0,1.0
1999-11-23,9.75,9.813,9.25,9.313,8.6245816698,99200,0.0,1.0
1999-11-24,9.25,9.313,9.0,9.313,8.6245816698,147600,0.0,1.0
1999-11-26,9.438,9.5,9.063,9.125,8.45047865746,51000,0.0,1.0
1999-11-29,9.25,9.25,8.5,8.625,7.98743873103,191100,0.0,1.0
1999-11-30,8.5,8.688,8.25,8.313,7.69850181693,187900,0.0,1.0
1999-12-01,8.438,8.5,8.063,8.375,7.75591876781,245200,0.0,1.0
1999-12-02,8.25,9.125,8.188,8.875,8.21895869425,198200,0.0,1.0
1999-12-03,9.0,9.188,8.938,9.125,8.45047865746,157100,0.0,1.0
1999-12-06,9.125,9.25,8.375,8.375,7.75591876781,257500,0.0,1.0
1999-12-07,8.438,8.438,8.0,8.125,7.52439880459,242700,0.0,1.0
1999-12-08,8.063,8.438,7.625,8.438,7.81426179854,153900,0.0,1.0
1999-12-09,8.438,8.438,7.813,7.813,7.2354618905,175600,0.0,1.0
1999-12-10,7.813,8.0,7.625,7.75,7.17711885976,194200,0.0,1.0
1999-12-13,8.0,8.25,7.813,8.063,7.46698185371,261900,0.0,1.0
1999-12-14,8.0,8.25,7.813,8.0,7.40863882298,372100,0.0,1.0
1999-12-15,8.0,8.438,8.0,8.438,7.81426179854,219000,0.0,1.0
1999-12-16,8.313,8.5,8.063,8.5,7.87167874942,187100,0.0,1.0
1999-12-17,8.44,9.38,8.12,9.38,8.68662901995,449000,0.0,1.0
1999-12-20,9.125,9.125,8.625,8.625,7.98743873103,137100,0.0,1.0
1999-12-21,8.688,8.688,7.938,8.125,7.52439880459,519900,0.0,1.0
1999-12-22,8.188,8.188,7.938,8.0,7.40863882298,155500,0.0,1.0
1999-12-23,7.875,8.063,7.813,7.938,7.3512218721,291900,0.0,1.0
1999-12-27,7.875,8.0,7.813,7.875,7.29287884137,339800,0.0,1.0
1999-12-28,7.875,8.125,7.813,7.938,7.3512218721,287200,0.0,1.0
1999-12-29,7.938,8.813,7.75,8.75,8.10319871264,486300,0.0,1.0
1999-12-30,8.75,8.813,8.25,8.563,7.93002178015,198900,0.0,1.0
1999-12-31,8.563,9.0,8.563,8.938,8.27730172498,201200,0.0,1.0
2000-01-03,8.563,8.563,8.313,8.438,7.81426179854,149600,0.0,1.0
2000-01-04,8.375,8.563,8.125,8.563,7.93002178015,140100,0.0,1.0
2000-01-05,8.625,8.75,8.125,8.563,7.93002178015,199900,0.0,1.0
2000-01-06,8.313,8.75,8.313,8.5,7.87167874942,216200,0.0,1.0
2000-01-07,8.563,8.813,8.5,8.75,8.10319871264,164900,0.0,1.0
2000-01-10,8.625,8.625,8.375,8.5,7.87167874942,107300,0.0,1.0
2000-01-11,8.375,8.688,8.313,8.625,7.98743873103,80900,0.0,1.0
2000-01-12,8.625,8.688,8.188,8.188,7.58274183532,186600,0.0,1.0
2000-01-13,8.438,8.438,8.313,8.438,7.81426179854,153100,0.0,1.0
2000-01-14,8.375,8.813,8.313,8.688,8.04578176176,391900,0.0,1.0
2000-01-18,8.938,9.313,8.688,9.313,8.6245816698,449100,0.0,1.0
2000-01-19,9.375,9.625,8.75,9.125,8.45047865746,490600,0.0,1.0
2000-01-20,9.0,9.0,8.688,9.0,8.33471867586,279300,0.0,1.0
2000-01-21,9.0,9.438,9.0,9.438,8.74034165141,449000,0.0,1.0
2000-01-24,9.438,10.19,9.438,9.5,8.79775860229,390900,0.0,1.0
2000-01-25,9.625,9.875,9.375,9.75,9.02927856551,208800,0.0,1.0
2000-01-26,10.13,10.19,9.813,9.813,9.08762159624,331700,0.0,1.0
2000-01-27,9.813,9.875,8.813,8.813,8.16154174337,215000,0.0,1.0
2000-01-28,8.875,9.125,8.625,8.625,7.98743873103,190000,0.0,1.0
2000-01-31,8.625,8.813,8.563,8.563,7.93002178015,164200,0.0,1.0
2000-02-01,8.625,8.938,8.438,8.938,8.27730172498,134100,0.0,1.0
