timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,25.5,25.69,24.94,25.31,17.760931354,230900,0.0,1.0
1999-11-02,25.31,25.56,24.75,25.0,17.5433932774,341800,0.0,1.0
1999-11-03,24.75,25.06,24.31,24.94,17.5012891335,342500,0.0,1.0
1999-11-04,25.0,25.44,24.81,25.31,17.760931354,1060700,0.0,1.0
1999-11-05,26.31,27.25,25.75,27.06,18.9889688834,500400,0.0,1.0
1999-11-08,26.81,26.94,25.63,26.06,18.2872331523,478100,0.0,1.0
1999-11-09,26.0,26.19,25.25,25.56,17.9363652868,464900,0.0,1.0
1999-11-10,25.38,26.06,25.31,25.38,17.8100528552,106300,0.0,1.0
1999-11-11,25.19,25.19,24.31,24.63,17.2837510569,305900,0.0,1.0
1999-11-12,24.81,25.63,24.69,25.0,17.5433932774,396400,0.0,1.0
1999-11-15,25.0,25.0,24.5,24.94,17.5012891335,421200,0.0,1.0
1999-11-16,25.19,25.94,25.06,25.81,18.1117992196,187900,0.0,1.0
1999-11-17,25.56,25.56,24.81,25.06,17.5854974213,322500,0.0,1.0
1999-11-18,25.19,25.56,24.25,24.38,17.1083171241,172300,0.0,1.0
1999-11-19,24.5,25.31,24.25,24.56,17.2346295557,193900,0.0,1.0
1999-11-22,24.56,25.0,24.06,24.13,16.9328831913,136500,0.0,1.0
1999-11-23,24.31,24.44,23.31,24.0,16.8416575463,149700,0.0,1.0
1999-11-24,23.75,24.0,23.0,23.31,16.3574598918,163900,0.0,1.0
1999-11-26,23.31,23.31,22.69,23.19,16.2732516041,67000,0.0,1.0
1999-11-29,23.19,24.13,23.06,23.69,16.6662236135,248100,0.06,1.0
1999-11-30,23.44,24.0,23.0,23.75,16.7084343951,220400,0.0,1.0
1999-12-01,23.94,24.25,23.81,24.13,16.9757693455,301500,0.0,1.0
1999-12-02,24.0,24.69,24.0,24.13,16.9757693455,197400,0.0,1.0
1999-12-03,24.31,24.88,23.75,23.75,16.7084343951,414800,0.0,1.0
1999-12-06,24.0,24.13,23.63,23.81,16.7506451768,167600,0.0,1.0
1999-12-07,23.75,24.25,23.75,24.0,16.8843126519,179900,0.0,1.0
1999-12-08,23.88,23.88,23.44,23.44,16.4903453567,167200,0.0,1.0
1999-12-09,23.44,23.63,22.63,22.63,15.9204998047,298800,0.0,1.0
1999-12-10,22.69,23.75,22.69,23.25,16.3566778816,397200,0.0,1.0
1999-12-13,23.06,23.44,22.75,23.44,16.4903453567,205900,0.0,1.0
1999-12-14,23.31,23.38,22.75,22.94,16.1385888431,317600,0.0,1.0
1999-12-15,23.0,24.25,22.94,23.25,16.3566778816,292200,0.0,1.0
1999-12-16,23.19,23.31,22.56,22.75,16.004921368,312200,0.0,1.0
1999-12-17,22.62,23.0,22.31,22.75,16.004921368,346900,0.0,1.0
1999-12-20,22.75,22.81,22.13,22.56,15.8712538928,397200,0.0,1.0
1999-12-21,22.75,23.0,22.25,23.0,16.1807996248,423600,0.0,1.0
1999-12-22,23.0,23.0,22.38,22.81,16.0471321496,377700,0.0,1.0
1999-12-23,22.75,23.25,22.5,22.56,15.8712538928,278700,0.0,1.0
1999-12-27,23.0,23.13,22.44,22.44,15.7868323296,153700,0.0,1.0
1999-12-28,22.31,23.38,22.31,22.88,16.0963780615,137900,0.0,1.0
1999-12-29,23.13,23.5,22.5,22.5,15.8290431112,321000,0.0,1.0
1999-12-30,22.56,22.63,21.5,22.06,15.5194973792,467900,0.0,1.0
1999-12-31,22.13,23.13,21.75,22.31,15.695375636,345800,0.0,1.0
2000-01-03,22.81,22.81,21.69,21.88,15.3928650344,163600,0.0,1.0
2000-01-04,22.13,22.13,20.69,21.81,15.3436191225,220900,0.0,1.0
2000-01-05,22.19,23.69,22.19,23.44,16.4903453567,661100,0.0,1.0
2000-01-06,23.19,24.69,23.19,24.31,17.1024016904,624600,0.0,1.0
2000-01-07,24.38,25.69,24.38,25.63,18.0310388862,373500,0.0,1.0
2000-01-10,25.63,26.0,25.0,25.5,17.9395821927,786400,0.0,1.0
2000-01-11,25.63,25.63,25.5,25.56,17.9817929743,225300,0.0,1.0
2000-01-12,25.56,26.0,25.56,25.63,18.0310388862,209700,0.0,1.0
2000-01-13,25.69,26.0,25.69,25.75,18.1154604495,222700,0.0,1.0
2000-01-14,25.88,27.13,25.88,26.44,18.6008844382,290600,0.0,1.0
2000-01-18,26.5,26.5,26.25,26.44,18.6008844382,215300,0.0,1.0
2000-01-19,26.44,26.44,25.88,26.06,18.3335494879,236800,0.0,1.0
2000-01-20,26.06,26.19,26.0,26.06,18.3335494879,149800,0.0,1.0
2000-01-21,26.13,26.63,25.63,26.56,18.6853060015,189800,0.0,1.0
2000-01-24,26.31,26.31,25.38,25.44,17.8973714111,178000,0.0,1.0
2000-01-25,25.38,25.69,24.81,25.19,17.7214931543,589000,0.0,1.0
2000-01-26,24.94,25.19,24.31,24.75,17.4119474223,247000,0.0,1.0
2000-01-27,25.0,25.44,25.0,25.25,17.7637039359,215000,0.0,1.0
2000-01-28,25.5,25.5,24.75,25.13,17.6792823726,135400,0.0,1.0
2000-01-31,25.0,25.25,24.81,25.19,17.7214931543,145700,0.0,1.0
2000-02-01,25.25,25.38,24.94,25.31,17.8059147175,167600,0.0,1.0
2000-02-02,25.31,25.44,24.88,25.0,17.5878256791,207700,0.0,1.0
2000-02-03,25.0,25.13,24.63,24.81,17.4541582039,277600,0.0,1.0
2000-02-04,24.69,25.19,24.62,24.94,17.5456148975,89100,0.0,1.0
2000-02-07,24.94,25.19,24.94,25.0,17.5878256791,107100,0.0,1.0
2000-02-08,24.94,25.13,24.75,25.06,17.6300364607,389100,0.0,1.0
2000-02-09,25.0,25.06,24.75,25.06,17.6300364607,202100,0.0,1.0
2000-02-10,24.88,24.88,23.13,23.38,16.4481345751,260700,0.0,1.0
2000-02-11,23.38,23.38,22.06,22.38,15.7446215479,479700,0.0,1.0
2000-02-14,22.31,22.38,21.69,22.0,15.4772865976,261200,0.0,1.0
2000-02-15,21.25,23.5,21.25,22.44,15.7868323296,362400,0.0,1.0
2000-02-16,22.44,24.38,22.44,24.0,16.8843126519,444500,0.0,1.0
2000-02-17,24.5,27.0,24.5,27.0,18.9948517334,778600,0.0,1.0
2000-02-18,27.0,27.63,25.38,26.13,18.3827953998,600400,0.0,1.0
2000-02-22,25.0,25.38,24.5,25.0,17.5878256791,437700,0.0,1.0
2000-02-23,25.0,25.94,24.75,25.88,18.206917143,219600,0.0,1.0
2000-02-24,25.94,25.94,23.31,24.0,16.8843126519,551100,0.0,1.0
2000-02-25,24.25,24.25,23.06,23.31,16.3988886632,404300,0.0,1.0
2000-02-28,23.5,24.63,23.38,24.44,17.1938583839,546500,0.0,1.0
2000-02-29,24.69,25.25,24.38,24.56,17.2782799472,324000,0.0,1.0
2000-03-01,24.81,25.56,24.5,25.38,17.8551606294,226000,0.0,1.0
2000-03-02,25.31,25.38,24.5,25.0,17.5878256791,395500,0.0,1.0
