timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,30.94,31.0,30.63,31.0,13.4912519742,50400,0.0,1.0
1999-11-02,31.0,31.06,30.5,30.63,13.3302273539,58700,0.0,1.0
1999-11-03,30.63,30.63,30.0,30.44,13.2475390353,182100,0.0,1.0
1999-11-04,30.38,30.5,30.19,30.5,13.2736511359,47300,0.0,1.0
1999-11-05,30.5,30.75,30.25,30.69,13.3563394545,189300,0.0,1.0
1999-11-08,30.75,31.5,30.75,31.44,13.6827407119,87000,0.0,1.0
1999-11-09,31.69,32.88,31.69,32.75,14.2528549083,67200,0.0,1.0
1999-11-10,33.0,33.75,32.88,33.13,14.4182315454,76900,0.0,1.0
1999-11-11,33.13,34.94,33.13,34.44,14.9883457417,81300,0.0,1.0
1999-11-12,34.44,34.81,34.25,34.31,14.9317695237,36400,0.0,1.0
1999-11-15,34.88,34.88,34.19,34.5,15.0144578423,36100,0.0,1.0
1999-11-16,34.38,37.25,34.38,36.31,15.8021728769,114600,0.0,1.0
1999-11-17,37.0,38.56,36.75,37.38,16.2678386709,130300,0.0,1.0
1999-11-18,37.63,38.56,37.13,38.0,16.5376637103,147300,0.0,1.0
1999-11-19,38.25,38.38,37.63,38.31,16.6725762301,45700,0.0,1.0
1999-11-22,38.5,38.5,37.75,37.88,16.4854395091,95300,0.0,1.0
1999-11-23,38.0,38.06,37.63,37.81,16.4549753918,79400,0.0,1.0
1999-11-24,37.94,38.0,37.56,37.56,16.3461749726,57700,0.0,1.0
1999-11-26,36.75,37.0,36.75,37.0,16.1024620338,25200,0.0,1.0
1999-11-29,37.0,37.38,36.75,36.94,16.0763499332,127300,0.0,1.0
1999-11-30,37.0,37.31,36.5,37.19,16.1851503523,53800,0.0,1.0
1999-12-01,36.94,37.0,36.56,36.81,16.0197737152,51200,0.0,1.0
1999-12-02,36.88,37.44,36.25,37.44,16.2939507715,140400,0.0,1.0
