timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,21.0,21.5,20.63,20.63,2.04016836523,708100,0.0,1.0
1999-11-02,20.63,21.25,20.56,20.81,2.05796915562,711300,0.0,1.0
1999-11-03,20.75,21.25,20.75,21.0,2.07675887881,684700,0.0,1.0
1999-11-04,21.06,21.06,19.81,20.0,1.97786559887,995200,0.0,1.0
1999-11-05,20.38,20.38,19.88,20.0,1.97786559887,605900,0.0,1.0
1999-11-08,20.13,20.13,19.25,19.44,1.9224853621,558100,0.0,1.0
1999-11-09,19.75,19.81,19.13,19.19,1.89776204211,560100,0.0,1.0
1999-11-10,19.16,19.5,19.06,19.13,1.89182844532,693300,0.0,1.0
1999-11-11,19.13,19.25,18.63,18.75,1.85424899894,590700,0.0,1.0
1999-11-12,19.16,19.25,18.63,18.69,1.84831540214,988700,0.0,1.0
1999-11-15,19.0,19.0,18.38,18.81,1.86018259573,855100,0.0,1.0
1999-11-16,18.94,19.13,18.5,19.0,1.87897231892,1268400,0.0,1.0
1999-11-17,18.5,18.63,17.81,18.19,1.79886876217,862200,0.0,1.0
1999-11-18,18.31,18.5,17.5,18.06,1.78601263578,1329800,0.0,1.0
1999-11-19,18.06,18.13,17.63,17.63,1.7434885254,919300,0.0,1.0
1999-11-22,17.63,18.06,17.13,18.06,1.78601263578,1453400,0.0,1.0
1999-11-23,18.19,18.25,17.19,17.84,1.76425611419,1228100,0.0,1.0
1999-11-24,17.81,17.88,17.56,17.81,1.76128931579,551500,0.0,1.0
1999-11-26,17.75,17.88,17.63,17.81,1.76128931579,277100,0.0,1.0
1999-11-29,17.81,18.25,17.69,17.94,1.77414544218,955500,0.0,1.0
1999-11-30,18.0,19.25,18.0,19.19,1.89776204211,1803400,0.0,1.0
1999-12-01,19.25,20.0,19.06,19.81,1.96228990728,1412700,0.0325,1.0
1999-12-02,19.81,20.19,18.31,19.63,1.94445991317,1912200,0.0,1.0
1999-12-03,19.94,20.13,19.69,19.88,1.96922379387,1339800,0.0,1.0
1999-12-06,19.75,19.81,19.19,19.25,1.90681881449,903700,0.0,1.0
1999-12-07,19.22,19.25,18.56,18.88,1.87016827104,1473600,0.0,1.0
1999-12-08,18.81,18.88,18.63,18.75,1.85729105307,855600,0.0,1.0
1999-12-09,18.69,19.19,18.63,19.13,1.89493215175,639900,0.0,1.0
1999-12-10,19.19,19.75,18.81,19.5,1.9315826952,425100,0.0,1.0
1999-12-13,19.22,19.25,18.5,18.63,1.84540439034,750200,0.0,1.0
1999-12-14,18.38,18.94,18.06,18.94,1.87611160241,551200,0.0,1.0
1999-12-15,18.13,18.75,17.44,17.81,1.76417886161,1684900,0.0,1.0
1999-12-16,17.63,18.31,17.63,18.06,1.78894274232,1500200,0.0,1.0
1999-12-17,18.0,20.38,17.75,20.25,2.00587433732,2939700,0.0,1.0
1999-12-20,19.69,19.88,18.38,18.44,1.826583841,715300,0.0,1.0
1999-12-21,18.06,18.19,17.44,17.5,1.73347164954,998600,0.0,1.0
1999-12-22,17.75,17.94,17.0,17.06,1.68988721949,691400,0.0,1.0
1999-12-23,17.13,17.69,17.06,17.59,1.74238664659,714100,0.0,1.0
1999-12-27,17.13,17.56,17.0,17.56,1.73941498091,605300,0.0,1.0
1999-12-28,17.63,18.13,17.44,17.88,1.77111274821,648500,0.0,1.0
1999-12-29,18.0,18.19,17.13,17.44,1.72752831817,417400,0.0,1.0
1999-12-30,17.44,18.88,17.38,18.0,1.78299941095,614200,0.0,1.0
1999-12-31,17.91,18.25,17.75,17.94,1.77705607958,206400,0.0,1.0
2000-01-03,18.09,18.19,17.31,17.31,1.7146511002,508400,0.0,1.0
2000-01-04,17.25,17.31,16.56,16.63,1.64729334467,876500,0.0,1.0
2000-01-05,16.69,17.06,16.56,17.0,1.68394388812,873800,0.0,1.0
2000-01-06,16.81,17.0,14.81,15.19,1.5046533918,3018300,0.0,1.0
2000-01-07,15.06,15.13,14.63,15.0,1.48583284246,1807000,0.0,1.0
2000-01-10,15.0,15.5,14.94,15.25,1.51059672317,1521000,0.0,1.0
2000-01-11,15.13,15.25,14.5,14.56,1.44224841241,1606600,0.0,1.0
2000-01-12,14.56,14.56,13.25,13.59,1.34616455527,2419300,0.0,1.0
2000-01-13,13.53,13.75,12.88,13.06,1.29366512817,2901200,0.0,1.0
2000-01-14,13.25,13.63,13.25,13.63,1.35012677618,1906600,0.0,1.0
2000-01-18,13.56,13.69,12.75,12.81,1.26890124746,2438900,0.0,1.0
2000-01-19,12.84,12.88,12.0,12.25,1.21343015468,2940000,0.0,1.0
2000-01-20,12.25,13.25,12.25,13.03,1.29069346248,2399000,0.0,1.0
2000-01-21,13.5,13.63,13.13,13.44,1.33130622684,2287300,0.0,1.0
2000-01-24,13.41,13.5,12.38,12.56,1.24413736675,2400200,0.0,1.0
2000-01-25,12.56,12.69,12.0,12.56,1.24413736675,2085500,0.0,1.0
2000-01-26,12.38,13.31,12.25,13.19,1.30654234614,1904500,0.0,1.0
2000-01-27,13.41,13.56,12.63,12.94,1.28177846543,2116300,0.0,1.0
2000-01-28,12.97,13.13,12.56,12.88,1.27583513406,779700,0.0,1.0
2000-01-31,12.88,13.06,12.25,12.75,1.26295791609,941700,0.0,1.0
2000-02-01,13.06,13.13,12.13,12.69,1.25701458472,858000,0.0,1.0
2000-02-02,12.97,13.0,12.5,12.56,1.24413736675,1494700,0.0,1.0
2000-02-03,14.13,15.69,14.06,15.5,1.53536060388,5922700,0.0,1.0
2000-02-04,15.25,15.31,14.75,15.0,1.48583284246,2174100,0.0,1.0
2000-02-07,15.13,15.25,14.88,15.0,1.48583284246,1735100,0.0,1.0
2000-02-08,15.03,15.38,14.94,15.31,1.51654005454,546800,0.0,1.0
2000-02-09,15.31,15.31,15.06,15.13,1.49871006043,1615200,0.0,1.0
2000-02-10,15.19,15.25,14.75,14.88,1.47394617972,1772000,0.0,1.0
2000-02-11,14.81,14.88,14.44,14.69,1.45512563038,1575700,0.0,1.0
2000-02-14,14.78,15.13,14.5,14.69,1.45512563038,830600,0.0,1.0
2000-02-15,14.63,14.75,14.13,14.13,1.3996545376,655400,0.0,1.0
2000-02-16,14.13,14.25,13.13,13.56,1.34319288958,1235900,0.0,1.0
2000-02-17,13.56,13.63,12.56,12.75,1.26295791609,797600,0.0,1.0
2000-02-18,12.88,13.31,12.88,13.06,1.29366512817,1762100,0.0,1.0
2000-02-22,13.38,13.75,12.88,13.06,1.29366512817,799000,0.0,1.0
2000-02-23,13.19,13.31,13.0,13.25,1.31248567751,1143900,0.0,1.0
2000-02-24,13.13,13.31,12.88,13.13,1.30059901477,1330400,0.0,1.0
2000-02-25,13.13,14.13,13.06,13.69,1.35607010755,934100,0.0,1.0
2000-02-28,13.81,15.94,13.75,15.5,1.53536060388,1386200,0.0,1.0
2000-02-29,15.38,15.5,14.44,14.5,1.43630508104,1791900,0.0,1.0
2000-03-01,14.38,14.63,13.69,14.56,1.44596299452,812400,0.0375,1.0
2000-03-02,15.06,17.69,14.75,17.56,1.7438949302,2214500,0.0,1.0
2000-03-03,17.47,17.63,16.88,16.88,1.67636369145,1524800,0.0,1.0
2000-03-06,16.88,17.63,16.88,17.5,1.73793629149,716800,0.0,1.0
2000-03-07,17.53,17.56,16.75,16.94,1.68232233016,792800,0.0,1.0
2000-03-08,16.81,17.25,16.75,16.81,1.66941194628,271800,0.0,1.0
2000-03-09,16.75,17.0,16.31,16.63,1.65153603014,1251900,0.0,1.0
2000-03-10,16.63,16.63,16.13,16.44,1.63266700755,481400,0.0,1.0
2000-03-13,16.44,16.63,16.38,16.53,1.64160496562,330900,0.0,1.0
2000-03-14,16.63,17.5,16.5,17.44,1.73197765278,1499500,0.0,1.0
2000-03-15,17.48,19.0,17.31,18.94,1.88094362062,2219500,0.0,1.0
2000-03-16,18.88,22.13,18.81,22.06,2.19079283373,3810400,0.0,1.0
2000-03-17,21.25,21.88,20.5,20.5,2.03586822718,1395600,0.0,1.0
2000-03-20,20.44,20.75,19.38,19.5,1.93655758195,446800,0.0,1.0
