timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,9.891,10.0,9.5,9.625,9.51347521096,58100,0.0,1.0
1999-11-02,9.688,10.25,9.625,9.625,9.51347521096,68900,0.0,1.0
1999-11-03,9.75,10.0,9.5,9.5,9.38992358484,191200,0.0,1.0
1999-11-04,10.0,10.13,9.5,9.875,9.76057846319,123900,0.0,1.0
1999-11-05,9.875,10.0,9.625,9.875,9.76057846319,184800,0.0,1.0
1999-11-08,9.938,10.63,9.875,10.63,10.5068302849,218000,0.0,1.0
1999-11-09,10.41,12.0,10.25,12.0,11.8609561072,170600,0.0,1.0
1999-11-10,11.75,13.44,11.5,13.25,13.0964723683,439400,0.0,1.0
1999-11-11,13.13,17.75,13.13,14.88,14.7075855729,2641000,0.0,1.0
1999-11-12,15.0,15.06,11.5,12.25,12.1080593594,883700,0.0,1.0
1999-11-15,12.75,13.0,12.19,12.25,12.1080593594,203400,0.0,1.0
1999-11-16,12.38,12.5,11.75,11.88,11.7423465461,186100,0.0,1.0
1999-11-17,11.41,12.44,10.88,12.06,11.9202608877,273100,0.0,1.0
1999-11-18,11.84,12.31,11.38,12.0,11.8609561072,353300,0.0,1.0
1999-11-19,12.31,12.63,11.94,12.0,11.8609561072,425600,0.0,1.0
1999-11-22,12.28,12.38,11.69,12.06,11.9202608877,241800,0.0,1.0
1999-11-23,11.91,12.0,11.31,11.5,11.3667496027,120600,0.0,1.0
1999-11-24,10.84,11.38,10.75,11.19,11.0603415699,254300,0.0,1.0
1999-11-26,11.19,12.56,11.0,11.25,11.1196463505,138800,0.0,1.0
1999-11-29,11.25,11.38,10.75,11.25,11.1196463505,398300,0.0,1.0
1999-11-30,11.44,12.0,11.19,11.5,11.3667496027,123500,0.0,1.0
1999-12-01,11.88,11.88,11.06,11.44,11.3074448222,117900,0.0,1.0
1999-12-02,11.44,11.88,11.31,11.75,11.6138528549,83400,0.0,1.0
1999-12-03,13.44,13.88,12.25,12.94,12.7900643356,388900,0.0,1.0
1999-12-06,13.47,14.0,13.0,13.06,12.9086738966,441000,0.0,1.0
1999-12-07,13.25,13.88,13.0,13.63,13.4720693117,433700,0.0,1.0
1999-12-08,14.0,14.25,13.38,14.0,13.837782125,281000,0.0,1.0
1999-12-09,14.13,14.25,14.0,14.13,13.9662758162,196600,0.0,1.0
1999-12-10,14.16,14.63,14.06,14.25,14.0848853773,425900,0.0,1.0
1999-12-13,14.44,15.56,14.06,14.19,14.0255805967,351600,0.0,1.0
1999-12-14,14.38,14.75,13.88,14.44,14.272683849,233000,0.0,1.0
1999-12-15,14.5,15.13,13.75,13.75,13.5906788728,230000,0.0,1.0
1999-12-16,13.75,15.13,13.75,15.0,14.826195134,379800,0.0,1.0
1999-12-17,15.06,16.75,14.75,15.88,15.6959985818,549200,0.0,1.0
1999-12-20,15.94,18.0,15.88,17.13,16.931514843,697000,0.0,1.0
1999-12-21,17.63,18.38,15.38,16.25,16.0617113951,455200,0.0,1.0
1999-12-22,15.88,17.0,15.5,17.0,16.8030211518,281800,0.0,1.0
1999-12-23,16.81,17.25,16.63,16.88,16.6844115908,86800,0.0,1.0
1999-12-27,17.13,17.19,16.25,17.0,16.8030211518,172800,0.0,1.0
1999-12-28,16.75,17.5,16.63,17.5,17.2972276563,248800,0.0,1.0
1999-12-29,16.91,17.63,16.56,17.5,17.2972276563,79000,0.0,1.0
1999-12-30,17.38,18.31,17.25,18.0,17.7914341608,118100,0.0,1.0
1999-12-31,18.0,18.75,17.63,18.75,18.5327439175,161000,0.0,1.0
2000-01-03,18.56,19.19,18.0,18.0,17.7914341608,233800,0.0,1.0
2000-01-04,17.94,18.13,16.5,17.75,17.5443309085,195500,0.0,1.0
2000-01-05,16.63,17.0,16.5,16.69,16.4966131191,166700,0.0,1.0
2000-01-06,16.88,17.0,16.69,16.94,16.7437163713,410900,0.0,1.0
2000-01-07,16.81,18.56,16.75,18.38,18.1670311041,508600,0.0,1.0
2000-01-10,21.88,22.63,21.0,22.0,21.7450861965,1448400,0.0,1.0
2000-01-11,22.72,27.13,22.25,25.88,25.5801286711,713300,0.0,1.0
2000-01-12,27.5,27.81,22.5,22.75,22.4863959532,433600,0.0,1.0
2000-01-13,24.13,26.5,23.0,25.44,25.1452269472,150300,0.0,1.0
2000-01-14,25.47,26.5,24.0,25.06,24.7696300038,124900,0.0,1.0
2000-01-18,23.25,27.94,23.13,27.94,27.6162594695,270800,0.0,1.0
2000-01-19,27.94,27.94,26.13,26.88,26.5685416801,114300,0.0,1.0
2000-01-20,26.38,27.0,26.25,26.88,26.5685416801,276100,0.0,1.0
2000-01-21,27.25,27.5,26.5,26.88,26.5685416801,539600,0.0,1.0
2000-01-24,26.88,29.94,26.5,28.38,28.0511611935,165500,0.0,1.0
2000-01-25,28.44,31.38,28.44,30.5,30.1465967724,226400,0.0,1.0
2000-01-26,31.56,34.0,30.56,31.5,31.1350097813,244600,0.0,1.0
2000-01-27,32.0,32.25,27.88,28.94,28.6046724785,289100,0.0,1.0
2000-01-28,26.88,30.38,26.75,30.25,29.8994935202,3695000,0.0,1.0
2000-01-31,29.75,30.75,28.75,30.31,29.9587983007,972000,0.0,1.0
2000-02-01,31.97,33.75,31.0,33.13,32.7461229859,675100,0.0,1.0
2000-02-02,33.94,34.0,32.63,34.0,33.6060423036,974600,0.0,1.0
2000-02-03,34.06,35.0,34.0,35.0,34.5944553126,889800,0.0,1.0
2000-02-04,35.0,35.0,33.75,34.5,34.1002488081,465100,0.0,1.0
2000-02-07,34.75,36.5,34.75,35.38,34.970052256,770400,0.0,1.0
2000-02-08,35.5,35.5,33.38,34.63,34.2287424993,176200,0.0,1.0
2000-02-09,34.31,34.63,31.25,33.75,33.3589390514,660500,0.0,1.0
