timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2014-07-31,23.0,24.0,22.6,23.0,20.4213515053,56477500,0.0,1.0
2014-08-01,22.9,23.0,22.67,23.0,20.4213515053,6458100,0.0,1.0
2014-08-04,23.1,23.13,22.9,23.0,20.4213515053,3453900,0.0,1.0
2014-08-05,22.99,23.01,22.67,23.0,20.4213515053,4449000,0.0,1.0
2014-08-06,22.8,22.98,22.67,22.98,20.4035938083,6993400,0.0,1.0
2014-08-07,22.89,23.0,22.8,22.93,20.3591995659,3186900,0.0,1.0
2014-08-08,22.93,23.03,22.8,22.95,20.3769572629,2855000,0.0,1.0
2014-08-11,22.9,22.93,22.8,22.93,20.3591995659,1767500,0.0,1.0
2014-08-12,22.89,23.0,22.83,23.0,20.4213515053,1549700,0.0,1.0
2014-08-13,23.0,23.23,22.88,23.18,20.581170778,1659100,0.0,1.0
2014-08-14,23.2,23.22,22.95,23.01,20.4302303538,1391700,0.0,1.0
2014-08-15,23.02,23.08,23.0,23.0,20.4213515053,1948100,0.0,1.0
2014-08-18,23.06,23.17,23.02,23.17,20.5722919295,1073700,0.0,1.0
2014-08-19,23.2,24.43,23.2,24.41,21.6732691411,2851800,0.0,1.0
2014-08-20,24.3,25.59,24.26,25.19,22.3658193226,3544500,0.0,1.0
2014-08-21,25.47,25.52,24.92,25.39,22.5433962922,2358000,0.0,1.0
2014-08-22,25.25,25.43,25.1,25.36,22.5167597467,891600,0.0,1.0
2014-08-25,25.37,25.4,24.88,25.12,22.3036673832,1185400,0.0,1.0
2014-08-26,25.0,25.1,24.94,25.05,22.2415154438,951000,0.0,1.0
2014-08-27,25.0,25.54,24.95,25.47,22.61442708,1230600,0.0,1.0
2014-08-28,25.4,25.84,25.31,25.69,22.8097617466,981700,0.0,1.0
2014-08-29,25.81,25.94,25.45,25.79,22.8985502314,981200,0.0,1.0
2014-09-02,25.7,25.9,25.52,25.79,22.8985502314,1873200,0.0,1.0
2014-09-03,25.99,26.0,25.63,25.79,22.8985502314,996500,0.0,1.0
2014-09-04,25.53,25.75,25.51,25.7,22.8186405951,1117500,0.0,1.0
2014-09-05,25.7,26.02,25.62,25.77,22.8807925344,1089800,0.0,1.0
2014-09-08,25.82,25.98,24.62,24.84,22.0550596257,2534800,0.0,1.0
2014-09-09,25.3,25.6,24.7,25.04,22.2326365953,3608600,0.0,1.0
2014-09-10,25.19,25.31,24.69,24.7,21.930755747,1974600,0.0,1.0
2014-09-11,24.75,25.02,24.63,24.65,21.8863615046,2029100,0.0,1.0
2014-09-12,24.53,24.75,24.44,24.5,21.7531787774,1106800,0.0,1.0
2014-09-15,24.35,24.38,23.92,24.15,21.4424190806,1125600,0.0,1.0
2014-09-16,24.24,24.36,23.88,24.31,21.5844806563,1512100,0.0,1.0
2014-09-17,24.45,24.69,24.36,24.55,21.7975730198,940400,0.0,1.0
2014-09-18,24.57,24.84,24.56,24.67,21.9041192016,879100,0.0,1.0
2014-09-19,24.85,25.49,24.71,25.41,22.5611539891,5257900,0.0,1.0
2014-09-22,25.28,25.36,24.75,24.84,22.0550596257,735765,0.0,1.0
2014-09-23,24.66,24.7,24.18,24.58,21.8242095652,939952,0.0,1.0
2014-09-24,24.73,25.0,24.675,24.92,22.1260904136,964606,0.0,1.0
2014-09-25,24.98,24.98,24.61,24.63,21.8686038076,1349775,0.0,1.0
2014-09-26,24.61,24.8,24.34,24.77,21.9929076864,1252820,0.0,1.0
2014-09-29,24.57,24.775,24.34,24.7,21.930755747,1482038,0.0,1.0
2014-09-30,24.87,25.12,24.21,24.55,21.7975730198,8795069,0.0,1.0
2014-10-01,24.44,24.59,24.18,24.22,21.5045710199,1196643,0.0,1.0
2014-10-02,24.35,24.69,23.76,24.58,21.8242095652,1252964,0.0,1.0
2014-10-03,24.78,25.09,24.41,24.83,22.0461807773,1737477,0.0,1.0
2014-10-06,24.86,25.105,24.75,25.0,22.1971212014,1057137,0.0,1.0
2014-10-07,24.94,24.967,24.55,24.85,22.0639384742,803747,0.0,1.0
2014-10-08,24.81,25.02,24.7,25.02,22.2148788984,1074471,0.0,1.0
2014-10-09,25.02,25.06,24.43,24.55,21.7975730198,2536330,0.0,1.0
2014-10-10,24.5,24.72,24.14,24.2,21.486813323,1561676,0.0,1.0
2014-10-13,24.26,24.77,24.2,24.46,21.7176633835,1726060,0.0,1.0
2014-10-14,24.63,24.95,24.5801,24.85,22.0639384742,1036448,0.0,1.0
2014-10-15,24.74,24.97,24.03,24.52,21.7709364744,1529454,0.0,1.0
2014-10-16,24.2,24.8,24.13,24.6,21.8419672622,1888961,0.0,1.0
2014-10-17,24.72,25.1,24.65,24.78,22.0017865349,981663,0.0,1.0
2014-10-20,24.75,24.855,24.4,24.71,21.9396345955,938297,0.0,1.0
2014-10-21,24.77,25.26,24.71,25.17,22.3480616256,1699674,0.0,1.0
2014-10-22,25.25,25.45,25.15,25.38,22.5345174437,1546051,0.0,1.0
2014-10-23,25.47,25.91,25.44,25.81,22.9163079284,970103,0.0,1.0
2014-10-24,25.75,26.36,25.75,26.11,23.1826733828,1223120,0.0,1.0
2014-10-27,26.08,26.794,26.02,26.53,23.555585019,1011418,0.0,1.0
