timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2007-06-14,37.0,39.26,37.0,38.85,25.840656222,662600,0.0,1.0
2007-06-15,39.1,39.1,38.25,38.8,25.8073992642,1150000,0.0,1.0
2007-06-18,39.05,39.1,37.15,37.15,24.7099196563,853600,0.0,1.0
2007-06-19,37.15,37.7,36.1,36.7,24.410607036,951000,0.0,1.0
2007-06-20,36.83,36.83,35.33,35.95,23.9117526688,1721800,0.0,1.0
2007-06-21,36.0,36.7,35.75,36.7,24.410607036,537700,0.0,1.0
2007-06-22,37.0,39.5,36.8,38.95,25.9071701376,250300,0.0,1.0
2007-06-25,39.1,40.0,38.25,39.25,26.1067118845,203200,0.0,1.0
2007-06-26,39.31,39.8,39.2,39.5,26.2729966736,119600,0.0,1.0
2007-06-27,39.5,39.8,39.0,39.75,26.4392814627,270700,0.0,1.0
2007-06-28,39.75,39.95,39.5,39.6,26.3395105892,151200,0.0,1.0
2007-06-29,39.83,39.9,38.75,39.06,25.9803354448,1701900,0.0,1.0
2007-07-02,39.2,40.63,38.98,39.97,26.5856120771,2000500,0.0,1.0
2007-07-03,39.98,40.61,39.08,39.66,26.3794189386,3752400,0.0,1.0
2007-07-05,39.6,41.28,39.24,39.45,26.2397397158,4277800,0.0,1.0
2007-07-06,39.4,39.92,38.8,39.82,26.4858412036,3950700,0.0,1.0
2007-07-09,39.55,40.4,38.48,40.3,26.8051079986,5369500,0.0,1.0
2007-07-10,39.5,39.5,38.48,39.0,25.9404270955,5483200,0.0,1.0
2007-07-11,39.0,39.25,38.7,39.06,25.9803354448,5964800,0.0,1.0
2007-07-12,38.95,39.06,38.31,39.01,25.947078487,4094400,0.0,1.0
2007-07-13,38.3,39.89,38.0,39.47,26.2530424989,2064600,0.0,1.0
2007-07-16,38.0,39.85,37.07,39.3,26.1399688424,2514800,0.0,1.0
2007-07-17,39.02,39.5,38.27,38.86,25.8473076136,3913400,0.0,1.0
2007-07-18,36.95,38.86,36.6,37.94,25.2353795898,4909400,0.0,1.0
2007-07-19,38.04,38.45,37.63,38.1,25.3418018548,2078400,0.0,1.0
2007-07-20,38.1,38.18,37.87,38.03,25.2952421139,3406800,0.0,1.0
2007-07-23,35.1,39.0,35.1,38.91,25.8805645714,2164400,0.0,1.0
2007-07-24,38.72,39.22,38.13,38.4,25.5413436017,2119000,0.0,1.0
2007-07-25,38.25,38.57,38.0,38.47,25.5879033426,2421500,0.0,1.0
2007-07-26,38.0,38.3,36.72,37.56,24.9826267104,3610800,0.0,1.0
2007-07-27,36.0,38.13,35.73,36.95,24.5768918251,2912600,0.0,1.0
2007-07-30,36.4,36.45,35.58,36.05,23.9782665844,2915500,0.0,1.0
2007-07-31,36.05,36.08,35.7,35.82,23.8252845784,2148800,0.0,1.0
2007-08-01,34.92,36.0,34.76,35.22,23.4262010847,3771700,0.0,1.0
2007-08-02,34.61,35.5,34.09,35.27,23.4594580425,2519100,0.0,1.0
2007-08-03,35.1,35.43,35.0,35.09,23.3397329944,2445000,0.0,1.0
2007-08-06,35.2,35.32,34.98,35.15,23.3796413437,3896600,0.0,1.0
2007-08-07,34.85,35.38,34.0,34.85,23.1800995968,2624200,0.0,1.0
2007-08-08,32.09,35.47,32.09,34.74,23.1069342897,3355800,0.0,1.0
2007-08-09,34.3,34.77,33.62,33.73,22.4351437418,2058600,0.0,1.0
2007-08-10,33.73,33.73,32.38,32.81,21.823215718,6034600,0.0,1.0
2007-08-13,33.0,33.25,32.39,32.99,21.9429407661,3860000,0.0,1.0
2007-08-14,33.13,33.25,32.12,32.45,21.5837656217,6021900,0.0,1.0
2007-08-15,32.53,33.24,32.5,32.96,21.9229865914,4280500,0.0,1.0
2007-08-16,32.06,33.25,32.0,33.04,21.976197724,4133300,0.0,1.0
2007-08-17,33.9,35.23,33.5,35.1,23.3463843859,3026600,0.0,1.0
2007-08-20,34.87,35.98,34.6,34.95,23.2466135125,1948800,0.0,1.0
2007-08-21,33.9,34.97,33.85,34.67,23.0603745487,2257600,0.0,1.0
2007-08-22,34.75,35.34,34.3,34.86,23.1867509884,2233000,0.0,1.0
2007-08-23,35.25,35.53,34.87,35.36,23.5193205666,3054100,0.0,1.0
2007-08-24,35.28,37.0,35.1,36.27,24.1245971988,2105000,0.0,1.0
2007-08-27,36.2,36.56,35.4,35.47,23.5924858737,1431200,0.0,1.0
2007-08-28,34.95,35.63,34.9,35.12,23.359687169,2243100,0.0,1.0
2007-08-29,35.32,35.5,34.81,35.36,23.5193205666,1615900,0.0,1.0
2007-08-30,35.08,35.97,34.63,34.96,23.253264904,1590000,0.0,1.0
2007-08-31,34.53,35.55,34.0,34.87,23.19340238,2286900,0.0,1.0
2007-09-04,34.87,35.02,34.3,34.91,23.2200079462,1909800,0.0,1.0
2007-09-05,34.5,34.77,33.95,34.69,23.0736773318,2133000,0.0,1.0
2007-09-06,32.0,36.69,32.0,35.23,23.4328524762,3414500,0.0,1.0
2007-09-07,34.8,34.81,33.15,33.5,22.2821617358,1869400,0.0,1.0
2007-09-10,33.41,33.95,33.17,33.2,22.082619989,2339000,0.0,1.0
2007-09-11,33.27,33.46,32.6,33.04,21.976197724,1921100,0.0,1.0
2007-09-12,32.82,33.19,32.4,32.56,21.6569309289,2867900,0.0,1.0
2007-09-13,33.01,33.22,32.65,32.89,21.8764268505,2351800,0.0,1.0
2007-09-14,32.68,33.69,32.63,33.06,21.9895005071,2744500,0.0,1.0
2007-09-17,32.8,33.31,32.59,33.14,22.0427116396,2246100,0.0,1.0
2007-09-18,33.03,34.99,32.62,33.59,22.3420242599,2236900,0.0,1.0
2007-09-19,33.95,34.59,32.54,33.07,21.9961518986,13839200,0.0,1.0
2007-09-20,33.07,33.66,32.8,33.46,22.2555561696,1813000,0.0,1.0
2007-09-21,33.86,33.97,33.18,33.45,22.248904778,2627700,0.0,1.0
2007-09-24,33.53,33.71,33.03,33.39,22.2089964287,1549200,0.0,1.0
2007-09-25,33.33,33.77,33.14,33.77,22.461749308,1516500,0.0,1.0
2007-09-26,34.25,35.35,34.22,34.54,22.9739064584,3838100,0.0,1.0
2007-09-27,34.74,35.75,34.54,35.18,23.3995955184,2099800,0.0,1.0
2007-09-28,35.02,35.53,34.85,35.43,23.6589997894,1689100,0.14,1.0
2007-10-01,35.7,36.64,34.93,36.28,24.2266020987,2717400,0.0,1.0
2007-10-02,36.0,36.25,35.72,35.95,24.0062388492,3089200,0.0,1.0
2007-10-03,35.96,36.0,35.25,35.66,23.8125862966,2326900,0.0,1.0
2007-10-04,35.66,36.47,34.92,35.9,23.9728504781,3080200,0.0,1.0
2007-10-05,35.85,36.89,35.81,36.05,24.0730155915,2334300,0.0,1.0
2007-10-08,36.23,37.33,36.18,37.12,24.7875267339,1454000,0.0,1.0
2007-10-09,37.12,37.33,36.57,36.73,24.527097439,1705100,0.0,1.0
2007-10-10,36.39,37.12,36.33,36.84,24.6005518555,5578300,0.0,1.0
