timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,27.5,27.81,26.38,26.75,2.63905155597,1155000,0.0,1.0
1999-11-02,26.75,27.25,26.0,26.0,2.56505945627,1649500,0.0,1.0
1999-11-03,26.25,26.31,24.88,25.06,2.47232269131,2177600,0.0,1.0
1999-11-04,25.56,26.13,25.25,25.44,2.50981202182,2381700,0.0,1.0
1999-11-05,25.63,26.31,25.13,25.25,2.49106735657,1310600,0.0,1.0
1999-11-08,24.5,25.0,23.25,23.38,2.31003335263,2435800,0.035,1.0
1999-11-09,23.25,23.81,22.5,23.5,2.32188981124,4420200,0.0,1.0
1999-11-10,23.5,24.56,22.5,22.88,2.26063144176,3215500,0.0,1.0
1999-11-11,23.0,23.5,22.44,23.5,2.32188981124,4448400,0.0,1.0
1999-11-12,24.25,24.25,23.25,23.31,2.30311708511,3203000,0.0,1.0
1999-11-15,23.88,24.88,23.88,24.63,2.43353812983,2554300,0.0,1.0
1999-11-16,24.63,25.63,23.81,25.3,2.4997366904,5510900,0.0,1.0
1999-11-17,24.0,24.0,22.0,22.94,2.26655967106,3769800,0.0,1.0
1999-11-18,23.19,23.5,22.88,23.38,2.31003335263,2505700,0.0,1.0
1999-11-19,23.38,23.88,23.0,23.25,2.2971888558,2450300,0.0,1.0
1999-11-22,23.38,23.5,23.0,23.31,2.30311708511,2870800,0.0,1.0
1999-11-23,23.31,23.38,21.25,22.0,2.17368407861,6825900,0.0,1.0
1999-11-24,21.81,24.0,21.5,23.81,2.35251899599,3145900,0.0,1.0
1999-11-26,23.81,24.63,23.81,24.63,2.43353812983,907600,0.0,1.0
1999-11-29,24.63,25.38,24.63,24.88,2.45823908527,2107000,0.0,1.0
1999-11-30,24.88,26.63,24.88,26.19,2.58767209176,2806200,0.0,1.0
1999-12-01,25.5,25.81,23.81,23.88,2.35943526351,3384100,0.0,1.0
1999-12-02,20.0,21.25,19.0,20.63,2.03832284281,17131700,0.0,1.0
1999-12-03,20.5,20.63,19.19,19.75,1.95137547966,10566200,0.0,1.0
1999-12-06,19.0,20.13,19.0,19.94,1.9701482058,3516100,0.0,1.0
