timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,15.5,15.75,15.25,15.75,11.9072174741,155700,0.0,1.0
1999-11-02,15.75,16.19,15.69,15.88,12.0054992692,261100,0.0,1.0
1999-11-03,15.94,16.38,15.94,16.25,12.2852243781,203900,0.0,1.0
1999-11-04,16.38,16.5,16.25,16.38,12.3835061731,205000,0.0,1.0
1999-11-05,16.38,16.75,16.38,16.69,12.6178704536,254600,0.0,1.0
1999-11-08,16.56,16.56,16.25,16.5,12.4742278301,298500,0.0,1.0
1999-11-09,16.5,16.5,16.25,16.44,12.4288670016,209400,0.0,1.0
1999-11-10,16.31,17.0,16.25,16.88,12.7615130771,257700,0.0,1.0
1999-11-11,16.88,17.5,16.81,17.25,13.041238186,366500,0.0,1.0
1999-11-12,17.25,17.56,17.0,17.44,13.1848808095,262600,0.0,1.0
1999-11-15,17.44,17.44,16.69,17.44,13.1848808095,295800,0.0,1.0
1999-11-16,17.31,17.75,17.19,17.25,13.041238186,269700,0.0,1.0
1999-11-17,17.31,17.63,17.13,17.44,13.1848808095,184400,0.0,1.0
1999-11-18,17.5,18.0,17.44,18.0,13.6082485419,239100,0.0,1.0
1999-11-19,18.0,18.0,17.5,17.56,13.2756024664,323000,0.0,1.0
1999-11-22,17.63,17.94,17.5,17.5,13.2302416379,167000,0.0,1.0
1999-11-23,17.56,18.13,17.5,17.63,13.328523433,363300,0.0,1.0
1999-11-24,17.69,17.75,17.5,17.5,13.2302416379,462400,0.0,1.0
1999-11-26,17.5,17.63,17.0,17.63,13.328523433,237400,0.0,1.0
1999-11-29,17.38,17.38,16.75,17.25,13.0714787383,192000,0.04,1.0
1999-11-30,17.06,17.38,16.94,17.38,13.1699884331,265800,0.0,1.0
1999-12-01,17.19,17.5,17.13,17.5,13.2609204591,160300,0.0,1.0
1999-12-02,17.31,17.69,17.19,17.63,13.359430154,140100,0.0,1.0
1999-12-03,17.5,17.75,17.25,17.31,13.1169447513,204500,0.0,1.0
1999-12-06,17.06,17.19,16.63,17.19,13.0260127253,188800,0.0,1.0
1999-12-07,17.31,17.31,16.88,17.19,13.0260127253,207100,0.0,1.0
1999-12-08,17.19,17.19,17.0,17.06,12.9275030304,129300,0.0,1.0
1999-12-09,17.19,17.69,17.13,17.5,13.2609204591,241500,0.0,1.0
1999-12-10,17.38,17.44,16.88,17.0,12.8820370174,181300,0.0,1.0
1999-12-13,16.88,16.88,16.5,16.68,12.6395516148,191700,0.0,1.0
1999-12-14,16.56,17.31,16.56,17.13,12.9805467123,296100,0.0,1.0
1999-12-15,17.0,17.13,16.56,16.56,12.5486195888,631300,0.0,1.0
1999-12-16,16.56,16.75,16.19,16.5,12.5031535758,455800,0.0,1.0
1999-12-17,16.38,16.88,16.38,16.69,12.6471292836,310400,0.0,1.0
1999-12-20,16.63,16.81,16.38,16.56,12.5486195888,116800,0.0,1.0
1999-12-21,16.69,16.75,16.38,16.44,12.4576875627,227400,0.0,1.0
1999-12-22,16.38,17.13,16.31,16.94,12.8365710044,185100,0.0,1.0
1999-12-23,16.94,17.19,16.81,16.94,12.8365710044,205100,0.0,1.0
1999-12-27,16.81,16.94,16.69,16.81,12.7380613096,144900,0.0,1.0
1999-12-28,16.63,16.88,15.88,16.0,12.1242701341,328800,0.0,1.0
1999-12-29,16.13,16.31,16.0,16.25,12.3137118549,218100,0.0,1.0
1999-12-30,16.38,16.63,16.31,16.31,12.3591778679,211400,0.0,1.0
1999-12-31,16.31,16.56,16.19,16.25,12.3137118549,457000,0.0,1.0
2000-01-03,16.38,16.38,16.0,16.06,12.1697361471,235200,0.0,1.0
2000-01-04,16.0,16.13,15.94,16.0,12.1242701341,188600,0.0,1.0
2000-01-05,16.0,16.31,16.0,16.06,12.1697361471,168900,0.0,1.0
2000-01-06,16.19,16.31,16.0,16.19,12.2682458419,177700,0.0,1.0
2000-01-07,16.31,16.94,16.31,16.94,12.8365710044,170300,0.0,1.0
2000-01-10,16.94,16.94,16.69,16.75,12.6925952966,204000,0.0,1.0
2000-01-11,16.5,16.94,16.5,16.88,12.7911049914,182200,0.0,1.0
2000-01-12,16.81,16.94,16.5,16.56,12.5486195888,90500,0.0,1.0
2000-01-13,17.38,17.38,17.0,17.19,13.0260127253,602200,0.0,1.0
2000-01-14,17.19,17.19,16.13,16.31,12.3591778679,227500,0.0,1.0
2000-01-18,16.31,16.38,15.94,16.0,12.1242701341,228600,0.0,1.0
2000-01-19,16.0,16.06,15.75,15.75,11.9348284132,199800,0.0,1.0
2000-01-20,15.88,15.94,15.63,15.63,11.8438963872,215600,0.0,1.0
2000-01-21,15.69,15.69,15.38,15.44,11.6999206794,152800,0.0,1.0
2000-01-24,15.38,15.5,14.81,14.81,11.2225275428,293500,0.0,1.0
2000-01-25,14.88,14.88,13.63,14.25,10.7981780881,723800,0.0,1.0
2000-01-26,14.25,14.56,13.88,14.0,10.6087363673,262000,0.0,1.0
2000-01-27,14.0,14.25,13.81,14.19,10.7527120751,239100,0.0,1.0
2000-01-28,14.25,14.31,13.88,14.25,10.7981780881,251700,0.0,1.0
2000-01-31,14.38,14.38,13.56,13.69,10.3738286335,506400,0.0,1.0
2000-02-01,13.69,14.0,13.69,13.88,10.5178043413,348800,0.0,1.0
2000-02-02,14.0,14.13,13.5,13.56,10.2753189386,717300,0.0,1.0
2000-02-03,13.63,13.75,13.13,13.25,10.0404112048,486700,0.0,1.0
2000-02-04,13.13,13.25,12.94,13.0,9.85096948393,442700,0.0,1.0
2000-02-07,13.0,13.0,12.56,12.88,9.76003745792,217400,0.0,1.0
2000-02-08,12.88,12.88,12.56,12.81,9.70699377608,539500,0.0,1.0
2000-02-09,12.88,12.94,12.44,12.5,9.47208604224,280900,0.0,1.0
2000-02-10,12.38,12.56,11.75,11.94,9.04773658754,414400,0.0,1.0
2000-02-11,11.94,12.0,11.0,11.25,8.52487743801,826500,0.0,1.0
2000-02-14,11.25,11.44,10.75,11.0,8.33543571717,605600,0.0,1.0
2000-02-15,11.0,11.13,10.75,10.81,8.19146000933,714100,0.0,1.0
2000-02-16,10.94,11.0,10.75,10.75,8.14599399632,423500,0.0,1.0
2000-02-17,10.94,11.06,10.63,10.75,8.14599399632,518300,0.0,1.0
2000-02-18,10.75,10.81,10.56,10.69,8.10052798332,353300,0.0,1.0
2000-02-22,10.81,10.94,10.5,10.63,8.05506197032,443700,0.0,1.0
2000-02-23,10.63,10.63,9.813,9.938,7.53068728702,455300,0.0,1.0
2000-02-24,10.0,10.06,9.75,9.938,7.53068728702,769400,0.0,1.0
2000-02-25,10.13,11.56,10.13,10.94,8.28996970416,720700,0.0,1.0
