timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,53.0,53.0,50.94,51.0,14.1166720972,570500,0.0,1.0
1999-11-02,51.13,51.25,50.25,50.25,13.9090739781,1193000,0.0,1.0
1999-11-03,50.25,50.31,46.75,48.94,13.5464692634,2650100,0.0,1.0
1999-11-04,48.94,49.25,46.88,47.75,13.2170802478,1286800,0.0,1.0
1999-11-05,47.13,48.69,47.13,48.5,13.4246783669,1576250,0.0,1.0
1999-11-08,48.63,48.63,47.88,48.38,13.3914626679,623850,0.0,1.0
1999-11-09,47.88,47.94,46.63,47.88,13.2530639218,780700,0.0,1.0
1999-11-10,46.75,47.38,46.5,46.81,12.9568906053,1007700,0.0,1.0
1999-11-11,47.13,47.81,47.0,47.31,13.0952893513,887400,0.0,1.0
1999-11-12,47.56,48.13,46.88,47.56,13.211544298,420400,0.17,1.0
1999-11-15,47.75,49.88,47.63,49.38,13.7171164305,778200,0.0,1.0
1999-11-16,50.0,53.0,50.0,52.69,14.6365910231,1649100,0.0,1.0
1999-11-17,52.5,52.94,51.81,52.0,14.4449180718,923600,0.0,1.0
1999-11-18,51.75,52.13,51.19,51.5,14.3060246288,1376650,0.0,1.0
1999-11-19,50.75,51.0,48.56,49.0,13.6115574138,1424500,0.0,1.0
1999-11-22,49.0,50.38,48.75,49.0,13.6115574138,1051550,0.0,1.0
1999-11-23,49.5,49.5,46.06,47.06,13.072650855,2103600,0.0,1.0
1999-11-24,46.81,48.0,45.75,47.25,13.1254303633,1275650,0.0,1.0
1999-11-26,47.5,47.88,47.25,47.25,13.1254303633,352550,0.0,1.0
1999-11-29,46.63,47.44,46.0,47.25,13.1254303633,852100,0.0,1.0
1999-11-30,47.25,48.88,47.25,48.44,13.4559967577,1109850,0.0,1.0
1999-12-01,48.25,49.25,47.0,47.38,13.1615426585,2144550,0.0,1.0
1999-12-02,46.0,46.5,45.19,45.63,12.675415608,2092550,0.0,1.0
1999-12-03,46.13,48.38,46.06,48.25,13.4032172493,1820900,0.0,1.0
1999-12-06,47.25,48.5,47.19,47.63,13.23098938,1941700,0.0,1.0
1999-12-07,47.63,47.63,45.5,46.16,12.8226426576,856600,0.0,1.0
1999-12-08,45.63,46.56,45.06,46.25,12.8476434773,579300,0.0,1.0
1999-12-09,46.13,46.25,44.88,45.63,12.675415608,720500,0.0,1.0
1999-12-10,46.75,47.69,45.38,46.81,13.0032041335,1305550,0.0,1.0
1999-12-13,46.56,46.94,46.06,46.75,12.9865369203,706500,0.0,1.0
1999-12-14,46.88,47.69,46.75,47.56,13.211544298,1334100,0.0,1.0
1999-12-15,47.63,49.25,47.63,49.19,13.6643369222,1553200,0.0,1.0
1999-12-16,49.19,50.31,48.94,49.88,13.8560098735,1439000,0.0,1.0
1999-12-17,49.75,50.94,49.75,49.75,13.8198975783,1530650,0.0,1.0
1999-12-20,50.25,50.88,48.5,49.0,13.6115574138,656900,0.0,1.0
1999-12-21,49.13,50.06,48.19,49.94,13.8726770867,722250,0.0,1.0
1999-12-22,49.75,49.81,48.88,49.19,13.6643369222,479250,0.0,1.0
1999-12-23,49.44,50.94,49.44,50.81,14.1143516775,414500,0.0,1.0
1999-12-27,51.13,51.88,50.19,51.5,14.3060246288,677700,0.0,1.0
1999-12-28,51.75,54.63,51.75,54.0,15.0004918438,643000,0.0,1.0
1999-12-29,54.0,54.75,53.38,54.38,15.1060508605,603200,0.0,1.0
1999-12-30,54.5,54.88,53.5,54.19,15.0532713521,489400,0.0,1.0
1999-12-31,54.63,55.25,54.06,55.06,15.294945943,169100,0.0,1.0
2000-01-03,54.56,54.63,51.44,53.0,14.7227049578,727150,0.0,1.0
2000-01-04,52.75,53.25,51.38,51.94,14.4282508586,999200,0.0,1.0
2000-01-05,51.88,53.25,51.25,52.75,14.6532582363,816550,0.0,1.0
