timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-10,65.0,70.31,64.5,68.25,40.0380466206,80793700,0.0,1.0
1999-11-11,68.75,76.94,68.75,75.0,43.9978534292,28309000,0.0,1.0
1999-11-12,76.0,76.63,69.25,70.5,41.3579822235,14768100,0.0,1.0
1999-11-15,70.5,70.88,67.31,69.0,40.4780251549,8675100,0.0,1.0
1999-11-16,67.88,68.0,65.0,66.0,38.7181110177,6978600,0.0,1.0
1999-11-17,65.56,68.19,65.13,67.69,39.709529315,5806900,0.0,1.0
1999-11-18,67.94,68.94,66.13,66.31,38.8999688119,4718700,0.0,1.0
1999-11-19,66.31,66.31,64.25,65.0,38.131472972,5091100,0.0,1.0
1999-11-22,64.06,64.25,61.0,63.13,37.0344598265,4785400,0.0,1.0
1999-11-23,63.38,67.0,63.25,66.19,38.8295722464,2832200,0.0,1.0
1999-11-24,66.0,68.19,65.94,67.69,39.8855207287,2179400,0.3,1.0
1999-11-26,68.44,69.44,68.19,69.13,40.7340234595,1322500,0.0,1.0
1999-11-29,70.0,70.25,67.0,68.13,40.144785452,1987000,0.0,1.0
1999-11-30,67.38,67.63,66.06,66.06,38.9250627765,1686100,0.0,1.0
1999-12-01,66.25,67.38,65.63,65.88,38.8189999351,1405700,0.0,1.0
1999-12-02,66.0,67.06,65.88,67.06,39.514300784,1391000,0.0,1.0
1999-12-03,67.44,67.69,66.31,66.44,39.1489732193,1753500,0.0,1.0
1999-12-06,66.5,66.5,65.38,66.25,39.0370179979,1398900,0.0,1.0
1999-12-07,65.94,68.0,65.88,68.0,40.0681845111,1793100,0.0,1.0
1999-12-08,68.0,68.38,66.75,68.38,40.2920949539,1774000,0.0,1.0
1999-12-09,68.38,68.75,66.63,67.5,39.7735655073,1713600,0.0,1.0
1999-12-10,66.38,67.0,65.38,66.13,38.966309437,1248600,0.0,1.0
1999-12-13,66.38,66.94,64.88,66.0,38.889708496,1417800,0.0,1.0
1999-12-14,66.0,66.0,64.75,65.0,38.3004704885,1886600,0.0,1.0
1999-12-15,65.0,65.06,63.69,63.75,37.5639229791,1602800,0.0,1.0
1999-12-16,63.75,64.06,63.25,64.0,37.711232481,1364600,0.0,1.0
1999-12-17,64.75,67.62,64.69,66.62,39.2550360607,1980800,0.0,1.0
1999-12-20,67.69,68.5,66.94,68.5,40.3628035148,1501300,0.0,1.0
1999-12-21,68.25,69.0,67.5,69.0,40.6574225186,1265200,0.0,1.0
1999-12-22,68.94,68.94,66.06,67.0,39.4789465035,1264700,0.0,1.0
1999-12-23,66.5,67.88,65.63,67.75,39.9208750092,1180600,0.0,1.0
1999-12-27,68.5,69.69,67.5,69.69,41.0639967438,1478800,0.0,1.0
