timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2009-10-07,27.0,28.97,26.41,27.22,26.8128340145,63739500,0.0,1.0
2009-10-08,27.33,27.44,26.5,26.6,26.2021081846,6906700,0.0,1.0
2009-10-09,26.83,27.49,26.38,26.4,26.0050998524,3361300,0.0,1.0
2009-10-12,27.29,27.9,26.1,26.25,25.8573436032,7177000,0.0,1.0
2009-10-13,26.67,27.26,26.54,27.19,26.7832827646,3296000,0.0,1.0
2009-10-14,27.25,28.2385,27.0,27.99,27.5713160935,3222400,0.0,1.0
2009-10-15,28.28,28.8,27.75,28.31,27.886529425,3181300,0.0,1.0
2009-10-16,28.45,28.6,27.55,28.568,28.1406701736,3974100,0.0,1.0
2009-10-19,28.52,28.89,27.5,27.5,27.0886456796,1892100,0.0,1.0
2009-10-20,27.5,28.1,27.35,28.06,27.6402690098,3387000,0.0,1.0
2009-10-21,28.0,28.35,27.86,28.0,27.5811665101,1079000,0.0,1.0
2009-10-22,27.76,28.48,27.32,27.89,27.4728119274,1172500,0.0,1.0
2009-10-23,28.0,28.39,27.5101,28.37,27.9456319247,2385700,0.0,1.0
2009-10-26,27.83,28.6,27.76,28.45,28.0244352576,834400,0.0,1.0
2009-10-27,28.54,29.25,27.93,28.56,28.1327898403,1578700,0.0,1.0
2009-10-28,28.21,28.55,27.56,27.69,27.2758035952,1153500,0.0,1.0
2009-10-29,27.88,28.0,27.75,27.89,27.4728119274,563500,0.0,1.0
2009-10-30,28.0,28.07,27.3,27.43,27.0196927633,819600,0.0,1.0
2009-11-02,27.38,27.65,26.6,27.37,26.9605902636,978000,0.0,1.0
2009-11-03,27.43,27.49,26.85,27.36,26.950739847,696500,0.0,1.0
2009-11-04,27.33,27.48,26.95,26.96,26.5567231826,461200,0.0,1.0
2009-11-05,27.02,27.6,26.97,27.3,26.8916373474,470400,0.0,1.0
2009-11-06,27.15,27.34,26.95,27.1,26.6946290151,310800,0.0,1.0
2009-11-09,27.25,27.69,27.05,27.58,27.1674490125,615600,0.0,1.0
2009-11-10,27.25,28.26,27.25,27.67,27.256102762,287300,0.0,1.0
2009-11-11,27.93,29.12,27.63,28.98,28.546507338,1174600,0.0,1.0
2009-11-12,28.78,30.0,28.43,28.9,28.4677040051,1211600,0.0,1.0
2009-11-13,28.78,29.08,28.51,28.9,28.4677040051,414900,0.0,1.0
2009-11-16,28.75,29.01,28.25,28.85,28.418451922,1424300,0.0,1.0
2009-11-17,28.55,28.96,27.4,27.85,27.4334102609,2496000,0.0,1.0
2009-11-18,28.39,29.0,28.16,28.5,28.0736873406,730900,0.0,1.0
2009-11-19,28.81,28.89,27.94,28.54,28.1130890071,1223600,0.0,1.0
2009-11-20,28.5,28.6399,28.42,28.55,28.1229394237,875700,0.0,1.0
2009-11-23,28.68,28.68,27.67,28.4,27.9751831745,447600,0.0,1.0
2009-11-24,28.18,28.18,27.65,27.78,27.3644573447,685400,0.0,1.0
2009-11-25,27.72,27.811,27.17,27.3,26.8916373474,892800,0.0,1.0
2009-11-27,26.96,27.18,26.66,26.99,26.5862744324,264600,0.0,1.0
2009-11-30,27.34,27.4,26.73,26.91,26.5074710995,888700,0.0,1.0
2009-12-01,26.91,28.05,26.91,27.78,27.3644573447,617200,0.0,1.0
2009-12-02,27.76,27.81,27.35,27.51,27.0984960962,820900,0.0,1.0
2009-12-03,27.81,27.94,27.5,27.72,27.305354845,491800,0.0,1.0
