timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,5.0,5.375,4.938,5.188,1.27729565621,299700,0.0,1.0
1999-11-02,5.125,5.188,5.0,5.125,1.2617849341,64300,0.0,1.0
1999-11-03,5.063,5.125,5.0,5.125,1.2617849341,61600,0.0,1.0
1999-11-04,5.063,5.125,5.063,5.063,1.24652041392,54000,0.0,1.0
1999-11-05,5.063,5.125,5.063,5.063,1.24652041392,41600,0.0,1.0
1999-11-08,5.063,5.125,5.063,5.125,1.2617849341,79800,0.0,1.0
1999-11-09,5.063,5.125,5.0,5.063,1.24652041392,153900,0.0,1.0
1999-11-10,5.0,5.063,5.0,5.063,1.24652041392,96700,0.0,1.0
1999-11-11,4.938,5.063,4.875,4.875,1.20023444951,50100,0.0,1.0
1999-11-12,4.875,4.875,4.75,4.813,1.18496992933,28500,0.0,1.0
1999-11-15,4.875,5.0,4.875,4.938,1.21574517162,43400,0.0,1.0
1999-11-16,4.875,4.938,4.625,4.625,1.13868396492,149200,0.0,1.0
1999-11-17,4.688,4.688,4.5,4.5,1.10790872262,53400,0.0,1.0
1999-11-18,4.375,4.563,4.375,4.5,1.10790872262,42100,0.0,1.0
1999-11-19,4.438,4.5,4.25,4.313,1.06186896015,125900,0.0,1.0
1999-11-22,4.313,4.313,4.125,4.188,1.03109371785,40600,0.0,1.0
1999-11-23,3.938,4.125,3.938,4.125,1.01558299574,45900,0.0,1.0
1999-11-24,4.0,4.25,4.0,4.125,1.01558299574,59300,0.0,1.0
1999-11-26,4.125,4.313,4.125,4.25,1.04635823803,18900,0.0,1.0
1999-11-29,4.25,4.5,4.25,4.5,1.10790872262,53100,0.0,1.0
1999-11-30,4.375,4.938,4.25,4.938,1.21574517162,102500,0.0,1.0
1999-12-01,4.875,4.875,4.5,4.75,1.16945920721,122200,0.0,1.0
1999-12-02,4.688,4.75,4.5,4.5,1.10790872262,144600,0.0,1.0
1999-12-03,4.563,4.625,4.188,4.188,1.03109371785,69900,0.0,1.0
1999-12-06,4.25,4.438,4.188,4.375,1.07713348033,68600,0.0,1.0
1999-12-07,4.25,4.313,4.188,4.25,1.04635823803,44000,0.0,1.0
1999-12-08,4.25,4.375,4.188,4.25,1.04635823803,73700,0.0,1.0
1999-12-09,4.25,4.313,4.188,4.313,1.06186896015,66800,0.0,1.0
1999-12-10,4.25,4.313,4.188,4.25,1.04635823803,51300,0.0,1.0
1999-12-13,4.25,4.313,4.188,4.25,1.04635823803,31000,0.0,1.0
1999-12-14,4.25,4.375,4.188,4.188,1.03109371785,65800,0.0,1.0
1999-12-15,4.188,4.188,4.0,4.0,0.984807753442,222700,0.0,1.0
1999-12-16,4.0,4.125,3.813,3.875,0.954032511147,69700,0.0,1.0
1999-12-17,3.938,3.938,3.938,3.938,0.969543233264,235500,0.0,1.0
1999-12-20,3.875,3.938,3.75,3.938,0.969543233264,94600,0.0,1.0
1999-12-21,3.813,3.875,3.688,3.75,0.923257268852,139400,0.0,1.0
1999-12-22,3.75,3.875,3.75,3.75,0.923257268852,67300,0.0,1.0
1999-12-23,3.813,3.875,3.75,3.75,0.923257268852,47200,0.0,1.0
1999-12-27,3.75,3.938,3.75,3.813,0.938767990969,589200,0.0,1.0
1999-12-28,3.75,3.875,3.75,3.75,0.923257268852,155400,0.0,1.0
1999-12-29,3.75,3.875,3.75,3.875,0.954032511147,362700,0.0,1.0
1999-12-30,3.813,3.938,3.688,3.75,0.923257268852,193400,0.0,1.0
1999-12-31,3.75,4.313,3.75,4.188,1.03109371785,916700,0.0,1.0
2000-01-03,4.25,4.25,4.0,4.0,0.984807753442,17100,0.0,1.0
2000-01-04,4.0,4.0,3.938,4.0,0.984807753442,39800,0.0,1.0
2000-01-05,3.938,4.063,3.938,4.0,0.984807753442,30400,0.0,1.0
2000-01-06,3.938,4.125,3.938,4.0,0.984807753442,27500,0.0,1.0
2000-01-07,3.938,4.0,3.875,3.938,0.969543233264,84500,0.0,1.0
2000-01-10,3.938,4.125,3.938,4.0,0.984807753442,54100,0.0,1.0
2000-01-11,3.875,3.938,3.875,3.938,0.969543233264,52300,0.0,1.0
2000-01-12,3.875,3.938,3.875,3.875,0.954032511147,15600,0.0,1.0
2000-01-13,3.875,4.063,3.875,3.938,0.969543233264,31000,0.0,1.0
2000-01-14,3.938,4.0,3.938,4.0,0.984807753442,36200,0.0,1.0
2000-01-18,4.0,4.063,3.938,4.063,1.00031847556,20600,0.0,1.0
2000-01-19,4.0,4.063,3.938,4.063,1.00031847556,28300,0.0,1.0
2000-01-20,4.063,4.063,4.0,4.0,0.984807753442,32100,0.0,1.0
2000-01-21,4.0,4.0,3.938,3.938,0.969543233264,40600,0.0,1.0
2000-01-24,3.938,4.0,3.688,3.688,0.907992748674,104500,0.0,1.0
2000-01-25,3.75,3.75,3.438,3.5,0.861706784262,357600,0.0,1.0
2000-01-26,3.438,3.625,3.375,3.5,0.861706784262,74100,0.0,1.0
2000-01-27,3.5,3.625,3.375,3.5,0.861706784262,108200,0.0,1.0
2000-01-28,3.438,3.5,3.375,3.438,0.846442264083,126200,0.0,1.0
2000-01-31,3.5,3.75,3.375,3.625,0.892482026557,226600,0.0,1.0
2000-02-01,3.625,3.75,3.563,3.688,0.907992748674,91500,0.0,1.0
2000-02-02,3.625,3.813,3.625,3.75,0.923257268852,39100,0.0,1.0
2000-02-03,3.688,3.875,3.625,3.688,0.907992748674,175400,0.0,1.0
2000-02-04,3.625,3.625,3.5,3.5,0.861706784262,125700,0.0,1.0
2000-02-07,3.75,3.813,3.563,3.688,0.907992748674,40900,0.0,1.0
2000-02-08,3.625,3.813,3.375,3.5,0.861706784262,62800,0.0,1.0
2000-02-09,3.5,3.563,3.5,3.5,0.861706784262,60400,0.0,1.0
2000-02-10,3.5,3.5,3.438,3.438,0.846442264083,124800,0.0,1.0
2000-02-11,3.375,3.438,3.188,3.25,0.800156299672,125000,0.0,1.0
2000-02-14,3.25,3.25,3.125,3.188,0.784891779493,65900,0.0,1.0
2000-02-15,3.125,3.188,3.125,3.188,0.784891779493,68100,0.0,1.0
