timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,25.19,25.31,24.63,24.94,17.4114698648,2509400,0.0,1.0
1999-11-02,25.0,25.5,25.0,25.19,17.586003444,2967700,0.0,1.0
1999-11-03,25.5,25.63,25.13,25.38,17.7186489642,2116600,0.0,1.0
1999-11-04,25.38,25.38,25.0,25.19,17.586003444,2959100,0.0,1.0
1999-11-05,25.31,25.94,25.31,25.69,17.9350706025,3995200,0.0,1.0
1999-11-08,26.0,27.13,25.94,26.31,18.367913879,3855500,0.0,1.0
1999-11-09,27.25,27.25,26.06,26.25,18.32602582,1792000,0.0,1.0
1999-11-10,26.25,27.0,26.19,26.69,18.6567669526,2380700,0.0338,1.0
1999-11-11,26.56,27.19,25.81,27.13,18.9643344858,2868800,0.0,1.0
1999-11-12,27.5,27.75,26.75,27.63,19.3138430461,2076900,0.0,1.0
1999-11-15,27.69,28.69,27.5,28.56,19.9639289684,1990000,0.0,1.0
1999-11-16,28.63,29.5,28.5,29.44,20.5790640347,2490400,0.0,1.0
1999-11-17,28.88,29.38,28.56,28.75,20.0967422214,1942900,0.0,1.0
1999-11-18,28.5,28.94,28.19,28.88,20.1876144471,1462400,0.0,1.0
1999-11-19,28.88,28.88,27.44,27.69,19.3557840734,1890400,0.0,1.0
1999-11-22,29.25,29.75,28.25,29.31,20.488191809,3568400,0.0,1.0
1999-11-23,29.44,29.94,29.13,29.94,20.9285725951,2601700,0.0,1.0
1999-11-24,29.94,29.94,29.25,29.56,20.6629460892,1568800,0.0,1.0
1999-11-26,29.81,29.88,29.13,29.5,20.6210050619,835800,0.0,1.0
1999-11-29,29.38,30.0,28.94,29.63,20.7118772876,1747400,0.0,1.0
1999-11-30,29.5,29.88,28.94,29.13,20.3623687272,1657000,0.0,1.0
1999-12-01,29.13,29.25,28.69,28.69,20.0548011941,1694200,0.0,1.0
1999-12-02,28.75,29.44,28.19,29.38,20.5371230074,1896200,0.0,1.0
1999-12-03,30.0,30.63,29.75,30.63,21.4108944084,3987400,0.0,1.0
1999-12-06,31.38,32.88,31.0,32.75,22.8928107043,3804200,0.0,1.0
1999-12-07,32.44,32.44,31.63,31.63,22.1099115291,2042000,0.0,1.0
1999-12-08,32.13,32.13,30.19,30.91,21.6066192022,1875400,0.0,1.0
1999-12-09,31.13,31.38,30.25,31.0,21.669530743,1475800,0.0,1.0
1999-12-10,30.63,31.75,30.5,31.63,22.1099115291,1179900,0.0,1.0
1999-12-13,31.31,32.25,31.25,32.06,22.410488891,1449800,0.0,1.0
1999-12-14,32.13,32.25,31.0,31.13,21.7604029687,1743400,0.0,1.0
1999-12-15,31.19,31.19,29.81,30.13,21.061385848,2523400,0.0,1.0
1999-12-16,29.88,30.0,28.44,28.81,20.1386832486,2458600,0.0,1.0
1999-12-17,28.5,29.12,27.44,28.5,19.9219879412,4183200,0.0,1.0
1999-12-20,28.63,28.63,27.31,27.63,19.3138430461,1923400,0.0,1.0
1999-12-21,27.63,28.44,27.25,28.13,19.6633516065,1790500,0.0,1.0
1999-12-22,27.94,28.44,27.69,28.0,19.5724793808,1631200,0.0,1.0
1999-12-23,28.5,29.13,28.38,29.06,20.3134375288,1201000,0.0,1.0
1999-12-27,28.88,29.44,28.75,29.11,20.3483883848,1292200,0.0,1.0
1999-12-28,29.19,29.94,29.19,29.88,20.8866315678,1388300,0.0,1.0
1999-12-29,29.81,29.88,28.06,28.63,20.0128601669,1139100,0.0,1.0
1999-12-30,28.69,28.88,28.31,28.81,20.1386832486,714300,0.0,1.0
1999-12-31,28.63,29.31,28.5,29.25,20.4462507817,585000,0.0,1.0
2000-01-03,28.5,28.63,28.13,28.56,19.9639289684,2095900,0.0,1.0
2000-01-04,27.81,28.38,27.13,27.5,19.2229708204,1709100,0.0,1.0
2000-01-05,27.75,27.94,27.31,27.75,19.3977251006,2167800,0.0,1.0
