timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,47.0,47.19,46.31,46.88,12.851615969,5041900,0.0,1.0
1999-11-02,46.69,48.06,46.5,47.38,12.9886852519,4988200,0.0,1.0
1999-11-03,47.19,47.31,46.13,46.13,12.7008397577,4102200,0.2,1.0
1999-11-04,46.63,47.31,46.63,47.0,12.9403743467,4433500,0.0,1.0
1999-11-05,48.0,48.38,46.63,46.81,12.8880621951,5443800,0.0,1.0
1999-11-08,46.0,47.13,45.75,47.13,12.9761668715,5332900,0.0,1.0
1999-11-09,47.13,47.19,45.0,45.44,12.5108640493,4573000,0.0,1.0
1999-11-10,44.5,45.44,44.0,44.94,12.3732004924,4090400,0.0,1.0
1999-11-11,45.0,45.75,44.5,45.44,12.5108640493,3001300,0.0,1.0
1999-11-12,46.13,47.88,45.75,47.75,13.146869682,4847200,0.0,1.0
1999-11-15,47.88,47.94,46.75,47.25,13.0092061252,3201300,0.0,1.0
1999-11-16,47.06,48.25,47.06,48.13,13.2514939853,3096500,0.0,1.0
1999-11-17,48.0,48.0,47.0,47.13,12.9761668715,2588200,0.0,1.0
1999-11-18,47.69,48.06,47.19,47.94,13.1991818337,3537900,0.0,1.0
1999-11-19,47.94,48.13,47.5,47.5,13.0780379036,3359300,0.0,1.0
1999-11-22,46.81,47.94,46.56,46.81,12.8880621951,3446500,0.0,1.0
1999-11-23,47.0,47.25,45.81,46.13,12.7008397577,3117300,0.0,1.0
1999-11-24,46.0,46.63,46.0,46.0,12.665047233,2324700,0.0,1.0
1999-11-26,46.25,46.31,45.94,45.94,12.6485276061,1040200,0.0,1.0
1999-11-29,45.63,45.81,45.0,45.0,12.3897201192,3103800,0.0,1.0
1999-11-30,45.0,46.94,45.0,46.5,12.8027107898,4779900,0.0,1.0
1999-12-01,46.38,47.06,46.25,46.88,12.9073350931,3343900,0.0,1.0
1999-12-02,46.63,47.5,46.63,47.06,12.9568939735,3079800,0.0,1.0
1999-12-03,47.75,48.63,47.19,47.19,12.9926864983,4833700,0.0,1.0
1999-12-06,47.44,47.63,45.44,45.75,12.5962154545,4232700,0.0,1.0
1999-12-07,45.0,45.56,43.94,44.06,12.1309126323,6214400,0.0,1.0
1999-12-08,43.56,44.0,43.44,43.7,12.0317948713,5712500,0.0,1.0
1999-12-09,43.56,45.0,43.56,44.75,12.3208883408,4040600,0.0,1.0
1999-12-10,45.44,45.5,44.88,44.88,12.3566808655,3576900,0.0,1.0
1999-12-13,44.25,44.56,43.88,44.2,12.1694584282,2733700,0.0,1.0
1999-12-14,43.88,44.31,43.06,43.5,11.9767294486,2969300,0.0,1.0
1999-12-15,43.06,43.44,41.63,41.81,11.5114266263,4565100,0.0,1.0
1999-12-16,38.56,40.63,38.5,39.44,10.8589013667,8570100,0.0,1.0
1999-12-17,39.94,39.94,39.94,39.94,10.9965649236,6781800,0.0,1.0
1999-12-20,39.94,40.94,39.88,40.66,11.1948004455,3656700,0.0,1.0
1999-12-21,40.31,41.31,39.5,40.0,11.0130845504,5215700,0.0,1.0
1999-12-22,40.0,40.69,40.0,40.44,11.1342284805,2767100,0.0,1.0
1999-12-23,40.81,41.56,40.31,41.5,11.426075221,2716100,0.0,1.0
1999-12-27,41.06,42.0,40.81,40.88,11.2553724105,2540600,0.0,1.0
1999-12-28,41.13,41.44,40.75,41.19,11.3407238158,2488200,0.0,1.0
1999-12-29,41.25,41.44,40.25,40.56,11.1672677341,2203000,0.0,1.0
1999-12-30,40.63,41.13,40.5,40.63,11.1865406321,1328800,0.0,1.0
1999-12-31,40.56,40.63,40.13,40.44,11.1342284805,1178400,0.0,1.0
2000-01-03,40.31,40.38,38.0,39.12,10.7707966903,4518500,0.0,1.0
2000-01-04,37.25,37.69,36.0,37.19,10.2394153607,7618600,0.0,1.0
2000-01-05,37.0,37.75,36.06,37.06,10.2036228359,4114100,0.0,1.0
2000-01-06,37.06,39.0,36.94,38.44,10.5835742529,4163400,0.0,1.0
2000-01-07,39.25,39.69,38.56,39.13,10.7735499614,3855600,0.0,1.0
2000-01-10,38.38,38.63,37.75,37.88,10.4293910692,4476600,0.0,1.0
2000-01-11,37.81,38.0,37.06,37.25,10.2559349876,3085400,0.0,1.0
2000-01-12,37.31,38.63,37.31,38.31,10.5477817281,3515000,0.0,1.0
2000-01-13,39.88,40.5,39.69,40.44,11.1342284805,5538500,0.0,1.0
2000-01-14,43.75,43.75,41.13,41.69,11.4783873727,5748700,0.0,1.0
2000-01-18,39.75,40.25,38.5,38.88,10.704718183,6372000,0.0,1.0
2000-01-19,38.38,38.94,36.5,36.75,10.1182714307,8570300,0.0,1.0
2000-01-20,36.81,37.31,35.81,36.38,10.0164003986,7482600,0.0,1.0
2000-01-21,36.5,37.63,36.06,36.63,10.085232177,7008300,0.0,1.0
2000-01-24,37.0,37.44,35.44,35.88,9.87873684171,4770000,0.0,1.0
2000-01-25,35.81,38.0,35.81,37.63,10.3605592908,5350500,0.0,1.0
2000-01-26,37.44,38.5,37.0,38.0,10.4624303229,7293600,0.0,1.0
2000-01-27,38.63,39.75,38.19,39.0,10.7377574366,5127500,0.0,1.0
2000-01-28,38.88,39.13,38.19,38.75,10.6689256582,4044500,0.0,1.0
2000-01-31,38.31,40.0,38.31,40.0,11.0130845504,4633700,0.0,1.0
2000-02-01,40.0,40.69,39.81,40.44,11.1342284805,4764400,0.0,1.0
2000-02-02,40.44,40.5,39.0,39.0,10.7983294017,3318800,0.22,1.0
2000-02-03,39.31,39.63,38.06,38.88,10.7651037727,5402800,0.0,1.0
2000-02-04,39.13,39.13,38.44,38.56,10.6765020956,3573400,0.0,1.0
2000-02-07,38.25,38.63,38.0,38.19,10.5740564064,4436600,0.0,1.0
2000-02-08,38.31,39.56,38.31,38.94,10.7817165872,4222500,0.0,1.0
2000-02-09,38.44,38.63,37.75,37.88,10.4882235317,4501800,0.0,1.0
2000-02-10,37.88,38.06,36.69,36.75,10.1753488593,7125400,0.0,1.0
2000-02-11,37.69,38.63,37.13,37.88,10.4882235317,5587400,0.0,1.0
2000-02-14,38.38,38.63,37.63,37.81,10.4688419148,4151900,0.0,1.0
2000-02-15,37.38,37.94,36.75,37.69,10.4356162859,3787300,0.0,1.0
2000-02-16,37.75,37.75,36.0,36.0,9.96768867846,3930500,0.0,1.0
2000-02-17,37.06,37.13,34.38,34.94,9.67419562293,4814500,0.0,1.0
2000-02-18,34.75,34.75,32.75,33.5,9.27548807579,10309600,0.0,1.0
2000-02-22,33.75,35.0,32.75,35.0,9.69080843739,5273000,0.0,1.0
2000-02-23,34.25,34.69,32.75,34.0,9.41392819633,4393100,0.0,1.0
2000-02-24,33.13,33.56,32.0,32.88,9.10382232633,4898600,0.0,1.0
2000-02-25,33.19,33.88,32.25,32.69,9.05121508053,4013400,0.0,1.0
2000-02-28,33.38,34.56,33.0,34.13,9.44992262766,4331800,0.0,1.0
2000-02-29,34.13,34.19,32.63,33.06,9.15366076972,5566700,0.0,1.0
2000-03-01,33.06,34.94,33.06,34.69,9.60497556266,5652900,0.0,1.0
2000-03-02,35.56,35.69,33.44,33.94,9.39731538186,5278100,0.0,1.0
2000-03-03,34.63,35.0,34.06,34.69,9.60497556266,4415700,0.0,1.0
2000-03-06,34.69,35.5,34.44,34.44,9.5357555024,3772700,0.0,1.0
2000-03-07,34.69,34.69,32.63,33.06,9.15366076972,4391300,0.0,1.0
2000-03-08,32.81,33.94,31.0,31.0,8.58328747312,4655200,0.0,1.0
2000-03-09,34.31,34.31,32.25,32.81,9.08444070945,4573300,0.0,1.0
2000-03-10,33.0,33.25,32.0,32.19,8.91277495999,4277000,0.0,1.0
2000-03-13,31.75,32.94,31.38,32.63,9.03460226606,4271200,0.0,1.0
2000-03-14,32.44,32.56,31.81,31.88,8.82694208526,3951900,0.0,1.0
2000-03-15,32.0,36.0,32.0,36.0,9.96768867846,7644300,0.0,1.0
2000-03-16,35.88,38.75,35.5,38.5,10.6598892811,9810800,0.0,1.0
2000-03-17,38.13,39.56,38.06,38.5,10.6598892811,7097700,0.0,1.0
2000-03-20,38.5,38.56,37.38,37.94,10.5048363461,5411100,0.0,1.0
2000-03-21,37.69,39.94,37.69,39.56,10.9533823367,6204600,0.0,1.0
2000-03-22,39.44,40.25,39.19,40.0,11.0752096427,5166900,0.0,1.0
2000-03-23,39.88,41.94,39.75,41.44,11.4739171899,6296600,0.0,1.0
2000-03-24,41.38,42.62,40.75,41.0,11.3520898838,6364500,0.0,1.0
2000-03-27,40.88,41.81,40.25,40.91,11.3271706621,7106700,0.0,1.0
2000-03-28,40.5,41.25,40.25,40.69,11.2662570091,5627900,0.0,1.0
2000-03-29,40.25,40.69,38.81,39.44,10.9201567077,5410500,0.0,1.0
2000-03-30,40.25,40.81,39.19,39.19,10.8509366475,4834100,0.0,1.0
2000-03-31,39.44,41.31,38.75,40.75,11.2828698235,5045400,0.0,1.0
2000-04-03,40.94,44.38,40.63,43.69,12.0968977323,7704400,0.0,1.0
