timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,37.27,37.7,36.96,37.52,13.3913606023,1320400,0.0,1.0
1999-11-02,37.64,37.77,37.08,37.33,13.3235472091,1821800,0.0,1.0
1999-11-03,36.46,36.77,35.29,35.66,12.7275031737,3178600,0.0,1.0
1999-11-04,36.22,36.59,35.29,35.66,12.7275031737,2580700,0.0,1.0
1999-11-05,35.53,36.09,34.48,34.73,12.3955744594,2316900,0.0,1.0
1999-11-08,33.74,35.97,33.67,35.53,12.6811045362,2269100,0.0,1.0
1999-11-09,35.91,36.22,34.67,34.79,12.4169892152,1524500,0.0,1.0
1999-11-10,34.54,34.98,34.11,34.48,12.3063463104,1394800,0.0,1.0
1999-11-11,34.67,35.16,34.17,34.6,12.349175822,1197300,0.0,1.0
1999-11-12,36.09,36.15,34.79,35.66,12.7275031737,1528200,0.0,1.0
1999-11-15,35.6,36.4,35.35,35.35,12.616860269,1739900,0.0,1.0
1999-11-16,35.35,36.22,34.85,36.22,12.9273742275,2263600,0.0,1.0
1999-11-17,36.22,36.84,35.16,35.47,12.6596897805,1870200,0.0,1.0
1999-11-18,35.72,35.84,34.17,35.72,12.7489179295,3994400,0.0,1.0
1999-11-19,35.53,35.84,34.98,35.66,12.7275031737,1867600,0.0,1.0
1999-11-22,35.41,35.6,33.86,33.92,12.1064752567,1939500,0.0,1.0
1999-11-23,33.74,33.86,32.0,32.49,11.5960902444,2742600,0.0,1.0
1999-11-24,32.99,33.74,32.8,33.74,12.0422309894,2156800,0.0,1.0
1999-11-26,33.86,33.86,32.74,32.87,11.7317170309,704900,0.0,1.0
1999-11-29,32.93,34.05,32.31,33.74,12.0422309894,2395900,0.0,1.0
1999-11-30,33.49,34.05,33.11,33.49,11.9530028404,1443300,0.0,1.0
1999-12-01,33.24,33.49,32.8,32.87,11.7317170309,1127600,0.0,1.0
1999-12-02,33.74,33.92,33.18,33.67,12.0172471077,1869400,0.0,1.0
1999-12-03,33.98,34.48,33.24,33.43,11.9315880846,1921100,0.0,1.0
1999-12-06,33.74,33.86,33.18,33.43,11.9315880846,1757900,0.0,1.0
1999-12-07,33.24,33.3,30.76,31.5,11.2427467743,3812600,0.0,1.0
1999-12-08,30.9,31.47,30.16,31.03,11.1285347436,3536300,0.15,1.0
1999-12-09,31.53,32.21,30.78,31.78,11.3975131857,1881500,0.0,1.0
1999-12-10,31.53,31.59,30.16,30.78,11.0388752629,1389300,0.0,1.0
1999-12-13,30.16,31.22,29.53,30.9,11.0819118136,5055500,0.0,1.0
1999-12-14,30.78,31.4,29.91,30.47,10.9276975068,2859000,0.0,1.0
1999-12-15,30.28,30.59,29.66,29.91,10.7268602701,5018200,0.0,1.0
1999-12-16,29.78,29.91,28.35,28.91,10.3682223473,6506100,0.0,1.0
1999-12-17,29.35,29.72,28.85,28.97,10.3897406227,4309200,0.0,1.0
1999-12-20,29.04,29.28,28.35,28.82,10.3359449343,3247300,0.0,1.0
1999-12-21,28.91,29.1,28.47,28.47,10.2104216613,2711300,0.0,1.0
1999-12-22,28.79,28.97,27.91,27.98,10.0346890791,2183300,0.0,1.0
1999-12-23,28.23,30.53,28.1,30.16,10.8165197508,3161000,0.0,1.0
1999-12-27,30.09,31.03,29.91,29.97,10.7483785455,2037900,0.0,1.0
1999-12-28,30.41,31.78,30.41,31.03,11.1285347436,1783400,0.0,1.0
1999-12-29,30.9,31.28,30.53,30.84,11.0603935383,984000,0.0,1.0
1999-12-30,30.59,31.03,30.16,30.66,10.9958387122,1749300,0.0,1.0
1999-12-31,29.85,31.28,29.85,30.47,10.9276975068,1058700,0.0,1.0
2000-01-03,31.0,31.81,30.63,31.0,11.1177756059,2366700,0.0,1.0
2000-01-04,29.5,31.38,29.5,30.31,10.8703154392,3364600,0.0,1.0
2000-01-05,30.5,32.25,30.5,32.0,11.4764135287,2731700,0.0,1.0
2000-01-06,32.19,33.13,32.19,32.88,11.7920149007,8654600,0.0,1.0
2000-01-07,33.0,33.94,33.0,33.75,12.1040298935,2319500,0.0,1.0
2000-01-10,33.88,34.38,33.06,33.13,11.8816743814,1683300,0.0,1.0
2000-01-11,33.0,33.13,32.44,32.75,11.7453919708,1411600,0.0,1.0
2000-01-12,33.0,33.31,31.69,32.31,11.5875912847,3164000,0.0,1.0
2000-01-13,32.5,33.56,32.5,33.06,11.8565697268,2522400,0.0,1.0
2000-01-14,33.75,35.0,33.69,34.94,12.5308090216,3368000,0.0,1.0
2000-01-18,35.81,36.75,35.19,36.56,13.1118024565,2556000,0.0,1.0
2000-01-19,36.44,36.44,35.69,35.81,12.8428240144,2138900,0.0,1.0
2000-01-20,35.81,38.25,35.81,38.0,13.6282410653,2515400,0.0,1.0
2000-01-21,40.5,40.75,38.56,39.19,14.0550201934,4951000,0.0,1.0
2000-01-24,40.0,40.0,37.13,37.56,13.4704403793,2783200,0.0,1.0
2000-01-25,37.56,37.56,36.5,37.0,13.2696031425,2112800,0.0,1.0
2000-01-26,37.0,41.0,36.94,40.63,14.5714588022,5487700,0.0,1.0
2000-01-27,40.5,40.56,38.06,38.81,13.9187377828,2717200,0.0,1.0
2000-01-28,38.75,38.94,36.63,37.81,13.56009986,2277100,0.0,1.0
2000-01-31,38.06,39.0,36.81,38.06,13.6497593407,2711400,0.0,1.0
2000-02-01,38.81,39.0,37.75,38.0,13.6282410653,3587300,0.0,1.0
2000-02-02,37.69,38.81,37.5,38.63,13.8541829567,2302700,0.0,1.0
2000-02-03,38.13,38.88,37.94,38.19,13.6963822706,1977400,0.0,1.0
2000-02-04,37.56,38.38,37.38,37.56,13.4704403793,2406400,0.0,1.0
2000-02-07,37.56,39.0,37.56,38.44,13.7860417513,1858000,0.0,1.0
2000-02-08,40.0,41.75,39.25,41.5,14.883473795,4547900,0.0,1.0
2000-02-09,41.94,42.0,39.56,40.94,14.6826365583,3414700,0.0,1.0
2000-02-10,41.88,42.88,40.88,42.25,15.1524522371,4474600,0.0,1.0
2000-02-11,42.94,43.0,41.31,42.0,15.0627927564,3936900,0.0,1.0
2000-02-14,42.25,43.0,41.69,41.94,15.041274481,1993800,0.0,1.0
2000-02-15,41.94,43.5,41.94,43.13,15.4680536091,4551100,0.0,1.0
2000-02-16,44.75,45.19,43.63,45.0,16.1387065247,4315900,0.0,1.0
2000-02-17,44.56,44.69,42.88,43.44,15.5792313652,2144800,0.0,1.0
2000-02-18,43.19,43.56,40.88,42.0,15.0627927564,3043700,0.0,1.0
2000-02-22,42.0,42.19,40.75,41.13,14.7507777636,1979000,0.0,1.0
2000-02-23,41.75,43.25,40.69,40.75,14.6144953529,2283400,0.0,1.0
2000-02-24,40.75,40.75,39.13,40.19,14.4136581162,1665200,0.0,1.0
2000-02-25,39.94,40.13,38.38,39.25,14.0765384688,1375100,0.0,1.0
2000-02-28,39.88,41.25,39.63,41.0,14.7041548336,2554800,0.0,1.0
2000-02-29,41.0,42.56,40.31,41.81,14.9946515511,1933800,0.0,1.0
2000-03-01,42.25,44.88,42.13,44.69,16.0275287687,3182100,0.0,1.0
2000-03-02,45.0,47.88,44.69,45.06,16.1602248001,3121300,0.0,1.0
2000-03-03,45.31,47.44,45.25,47.19,16.9241235756,3876500,0.0,1.0
2000-03-06,46.94,48.63,46.25,48.0,17.214620293,3712700,0.0,1.0
2000-03-07,48.0,49.75,47.94,48.69,17.4620804597,3718200,0.0,1.0
2000-03-08,48.69,48.94,44.94,46.13,16.5977630659,4353600,0.15,1.0
2000-03-09,46.0,46.0,44.19,45.56,16.3926747297,2355300,0.0,1.0
2000-03-10,46.0,49.0,46.0,48.69,17.5188615581,5945900,0.0,1.0
2000-03-13,46.94,47.31,45.69,46.31,16.6625278036,1969000,0.0,1.0
2000-03-14,46.13,46.31,45.06,45.88,16.5078120412,2563500,0.0,1.0
2000-03-15,46.13,46.63,44.5,45.44,16.3494982379,2103000,0.0,1.0
2000-03-16,47.0,47.0,43.38,46.06,16.572576779,2564800,0.0,1.0
2000-03-17,45.38,46.0,44.5,45.5,16.3710864838,2159300,0.0,1.0
2000-03-20,45.13,45.81,43.88,44.13,15.8781548688,1925400,0.0,1.0
2000-03-21,44.13,45.81,43.75,45.81,16.4826257543,1848300,0.0,1.0
2000-03-22,45.56,45.75,44.31,44.81,16.1228216558,1393000,0.0,1.0
2000-03-23,44.69,45.0,43.25,44.5,16.0112823852,1966700,0.0,1.0
2000-03-24,44.25,44.94,42.69,43.19,15.5399390161,1934900,0.0,1.0
2000-03-27,43.31,45.19,43.31,45.0,16.1911844345,4413100,0.0,1.0
2000-03-28,44.56,44.75,41.0,41.56,14.9534583355,2579100,0.0,1.0
2000-03-29,42.0,44.75,41.75,43.88,15.7882038441,3611600,0.0,1.0
2000-03-30,44.38,45.5,42.94,43.44,15.6298900408,3380300,0.0,1.0
2000-03-31,43.0,44.31,41.63,43.94,15.8097920901,2061900,0.0,1.0
2000-04-03,44.0,44.25,42.56,43.63,15.6982528195,1842400,0.0,1.0
2000-04-04,43.69,44.13,35.63,40.75,14.6620170157,3094800,0.0,1.0
2000-04-05,40.25,40.38,39.0,39.94,14.3705756959,2101400,0.0,1.0
2000-04-06,41.5,41.5,40.69,41.38,14.8886935978,1257300,0.0,1.0
2000-04-07,43.5,43.88,41.63,42.25,15.2017231635,2361600,0.0,1.0
2000-04-10,42.38,42.5,40.5,40.75,14.6620170157,1425400,0.0,1.0
2000-04-11,40.56,41.0,38.56,39.13,14.0791343761,1553700,0.0,1.0
2000-04-12,39.75,40.0,37.25,37.44,13.4710654495,2050500,0.0,1.0
2000-04-13,38.0,39.94,37.56,38.75,13.9424088186,2794200,0.0,1.0
2000-04-14,38.13,38.75,35.63,36.38,13.0896731051,2908400,0.0,1.0
2000-04-17,35.0,37.56,34.25,37.0,13.3127516462,2409200,0.0,1.0
2000-04-18,37.5,37.63,36.25,36.69,13.2012123756,2932100,0.0,1.0
2000-04-19,37.0,38.88,36.94,38.38,13.8092813021,2179900,0.0,1.0
2000-04-20,38.06,38.5,37.56,37.88,13.6293792529,1709700,0.0,1.0
2000-04-24,37.25,37.81,36.19,36.5,13.1328495969,1177800,0.0,1.0
2000-04-25,37.0,37.75,36.63,37.69,13.5610164741,2264700,0.0,1.0
2000-04-26,37.69,38.0,37.06,37.5,13.4926536954,1772400,0.0,1.0
2000-04-27,35.94,37.5,35.88,36.94,13.2911634002,1340800,0.0,1.0
2000-04-28,37.06,38.13,37.0,37.5,13.4926536954,1730800,0.0,1.0
2000-05-01,37.81,39.13,37.69,38.38,13.8092813021,2707800,0.0,1.0
2000-05-02,38.44,39.75,38.19,39.13,14.0791343761,2734200,0.0,1.0
2000-05-03,39.88,39.94,36.25,37.38,13.4494772036,2513300,0.0,1.0
2000-05-04,37.38,37.88,36.5,37.88,13.6293792529,1650100,0.0,1.0
2000-05-05,37.56,37.69,37.19,37.63,13.5394282282,1262600,0.0,1.0
2000-05-08,37.38,39.31,37.0,38.31,13.7840950152,1330400,0.0,1.0
2000-05-09,37.25,38.31,36.94,37.56,13.5142419413,1437900,0.0,1.0
2000-05-10,37.56,37.63,34.5,35.5,12.7730454983,4518200,0.0,1.0
2000-05-11,38.44,39.81,36.69,37.4,13.4566732856,5277600,0.0,1.0
2000-05-12,39.38,39.69,38.81,39.5,14.2122618925,2062000,0.0,1.0
2000-05-15,39.63,40.75,39.19,40.06,14.4137521877,2034200,0.0,1.0
2000-05-16,41.19,41.25,39.5,39.94,14.3705756959,1525200,0.0,1.0
2000-05-17,39.25,39.81,39.16,39.75,14.3022129172,1354000,0.0,1.0
2000-05-18,39.63,40.75,39.63,40.13,14.4389384746,1410800,0.0,1.0
2000-05-19,39.75,39.81,38.75,39.31,14.1438991138,1934700,0.0,1.0
2000-05-22,39.44,39.56,38.69,38.88,13.9891833514,2680200,0.0,1.0
2000-05-23,39.75,39.88,39.0,39.38,14.1690854007,2249500,0.0,1.0
