timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
1999-11-01,34.62,34.81,34.0,34.19,12.3322092607,43800,0.0,1.0
1999-11-02,34.19,34.5,34.19,34.31,12.3754928264,65100,0.0,1.0
1999-11-03,34.38,34.5,33.06,33.88,12.2203933826,57200,0.0,1.0
1999-11-04,33.94,34.0,33.5,34.0,12.2636769483,15900,0.0,1.0
1999-11-05,33.94,33.94,33.81,33.94,12.2420351655,6300,0.0,1.0
1999-11-08,33.88,33.88,33.56,33.56,12.1049705408,21500,0.0,1.0
1999-11-09,33.56,33.69,33.56,33.69,12.1518610703,6200,0.0,1.0
1999-11-10,33.56,33.81,33.5,33.5,12.0833287579,21400,0.0,1.0
1999-11-11,33.5,33.81,33.5,33.75,12.1735028531,13000,0.0,1.0
1999-11-12,33.81,33.81,33.75,33.81,12.195144636,1300,0.0,1.0
1999-11-15,33.75,33.75,33.56,33.62,12.1266123236,3900,0.0,1.0
1999-11-16,33.75,33.91,33.75,33.81,12.195144636,7400,0.0,1.0
1999-11-17,33.94,33.94,33.88,33.88,12.2203933826,1800,0.0,1.0
1999-11-18,33.62,34.69,33.62,34.69,12.5125574511,16000,0.0,1.0
1999-11-19,34.69,35.25,34.69,34.75,12.534199234,10400,0.0,1.0
1999-11-22,34.81,35.0,34.81,35.0,12.6243733292,2300,0.0,1.0
1999-11-23,35.0,35.0,34.81,34.88,12.5810897635,6000,0.0,1.0
1999-11-24,34.81,35.38,34.75,35.31,12.7361892072,6500,0.0,1.0
1999-11-26,35.31,35.31,35.31,35.31,12.7361892072,0,0.0,1.0
1999-11-29,35.31,35.38,35.0,35.0,12.6243733292,5000,0.0,1.0
1999-11-30,34.94,34.94,34.94,34.94,12.6027315463,3600,0.0,1.0
1999-12-01,34.94,34.94,34.75,34.81,12.5558410168,7600,0.0,1.0
1999-12-02,34.88,34.88,34.88,34.88,12.5810897635,2200,0.0,1.0
1999-12-03,34.88,35.0,34.88,34.94,12.6027315463,3500,0.0,1.0
1999-12-06,35.0,35.0,34.44,34.44,12.4223833559,11300,0.0,1.0
1999-12-07,34.44,34.5,34.19,34.19,12.3322092607,4700,0.0,1.0
1999-12-08,34.19,34.38,34.19,34.25,12.3538510435,4500,0.0,1.0
1999-12-09,34.19,34.19,33.94,33.94,12.2420351655,5500,0.0,1.0
1999-12-10,33.94,34.0,33.56,33.62,12.1266123236,14000,0.0,1.0
1999-12-13,33.5,33.5,33.38,33.5,12.0833287579,7300,0.0,1.0
1999-12-14,33.5,33.5,33.31,33.31,12.0147964456,5600,0.0,1.0
1999-12-15,33.25,33.38,33.0,33.0,11.9029805675,6500,0.0,1.0
1999-12-16,33.0,33.0,32.5,32.5,11.7226323771,14800,0.0,1.0
1999-12-17,32.25,32.31,32.19,32.19,11.610816499,10600,0.0,1.0
1999-12-20,32.19,32.5,32.12,32.12,11.5855677524,6300,0.0,1.0
1999-12-21,32.0,32.0,31.88,31.88,11.499000621,2000,0.0,1.0
1999-12-22,31.94,32.0,31.69,31.81,11.4737518743,6900,0.0,1.0
1999-12-23,31.94,31.94,31.88,31.94,11.5206424038,2200,0.0,1.0
1999-12-27,31.94,31.94,31.44,31.44,11.3402942134,9700,0.0,1.0
1999-12-28,31.38,32.12,31.19,31.19,11.2501201182,28200,0.0,1.0
1999-12-29,31.06,31.06,30.94,31.0,11.1815878058,4200,0.0,1.0
1999-12-30,31.0,31.0,30.88,30.88,11.1383042401,3200,0.0,1.0
